ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
151D43,RA-73027,A21N,Airbus,A321-251NX,Airbus A321-251NX,0,North-West Air Company,NWC,9512,2020
151D44,RA-73028,A21N,Airbus,A321-251NX,Airbus A321-251NX,0,North-West Air Company,NWC,9524,2020
151D45,RA-73029,B752,Boeing,757-2K2,Boeing 757-2K2,0,Azur Air,AZV,26330,1996
151D4B,RA-73035,B735,Boeing,737-524,Boeing 737-524,0,UTair Aviation,UTA,27315,1994
151D4C,RA-73036,B735,Boeing,737-524,Boeing 737-524,0,UTair Aviation,UTA,27316,1994
151D4E,RA-73038,B735,Boeing,737-524,Boeing 737-524,0,UTair Aviation,UTA,27331,1994
151D51,RA-73041,B735,Boeing,737-524,Boeing 737-524,0,UTair Aviation,UTA,28920,1998
151D54,RA-73044,B735,Boeing,737-524,Boeing 737-524,0,UTair Aviation,UTA,28900,1997
151D56,RA-73046,B735,Boeing,737-524,Boeing 737-524,0,UTair Aviation,UTA,28911,1997
151D57,RA-73047,B735,Boeing,737-524,Boeing 737-524,0,UTair Aviation,UTA,28912,1997
151D65,RA-73061,B735,Boeing,737-524,Boeing 737-524,0,UTair Aviation,UTA,28907,1997
151D67,RA-73063,B735,Boeing,737-524,Boeing 737-524,0,UTair Aviation,UTA,27532,1995
151D68,RA-73064,B734,Boeing,737-46M,Boeing 737-46M,0,UTair Aviation,UTA,28549,1996
151D69,RA-73065,B734,Boeing,737-45S,Boeing 737-45S,0,UTair Aviation,UTA,28473,1998
151D6A,RA-73066,B734,Boeing,737-45S,Boeing 737-45S,0,UTair Aviation,UTA,28474,1998
151D6B,RA-73067,B734,Boeing,737-45S,Boeing 737-45S,0,UTair Aviation,UTA,28476,1999
151D6C,RA-73068,B734,Boeing,737-45S,Boeing 737-45S,0,UTair Aviation,UTA,28477,2000
151D77,RA-73079,B763,Boeing,767-3Y0(ER),Boeing 767-3Y0(ER),0,Azur Air,AZV,24947,1991
151D7A,RA-73082,B762,Boeing,767-224(ER),Boeing 767-224(ER),0,UTair Aviation,UTA,30437,2001
151D7D,RA-73085,B738,Boeing,737-8AS,Boeing 737-8AS,0,UTair Aviation,UTA,32779,2002
151D83,RA-73091,B738,Boeing,737-8GU,Boeing 737-8GU,0,UTair Aviation,UTA,36387,2011
151D85,RA-73093,B738,Boeing,737-8LJ(WL),Boeing 737-8LJ(WL),0,Aeroflot,AFL,41215,2015
151D87,RA-73095,B738,Boeing,737-8LJ,Boeing 737-8LJ,0,Aeroflot,AFL,41217,2016
151D8C,RA-73100,B738,Boeing,737-8MC,Boeing 737-8MC,0,Aeroflot,AFL,44440,2017
151D8D,RA-73101,B738,Boeing,737-8MC,Boeing 737-8MC,0,Aeroflot,AFL,44441,2017
151D90,RA-73104,B738,Boeing,737-8MC,Boeing 737-8MC,0,Aeroflot,AFL,44443,2017
151D92,RA-73106,B738,Boeing,737-8MC(WL),Boeing 737-8MC(WL),0,Aeroflot,AFL,44434,2017
151D93,RA-73107,B738,Boeing,737-8MC,Boeing 737-8MC,0,Aeroflot,AFL,44439,2017
151D97,RA-73111,B738,Boeing,737-8MC,Boeing 737-8MC,0,Aeroflot,AFL,44432,2017
151D98,RA-73112,B738,Boeing,737-8LJ,Boeing 737-8LJ,0,Aeroflot,AFL,41200,2014
151D9C,RA-73116,B738,Boeing,737-8LJ,Boeing 737-8LJ,0,Aeroflot,AFL,41197,2013
151D9E,RA-73118,B738,Boeing,737-8LJ,Boeing 737-8LJ,0,Aeroflot,AFL,41198,2014
151DA4,RA-73124,B738,Boeing,737-8LJ,Boeing 737-8LJ,0,Aeroflot,AFL,41209,2015
151DA8,RA-73128,B738,Boeing,737-8LJ,Boeing 737-8LJ,0,Aeroflot,AFL,41211,2015
151DAA,RA-73130,B77W,Boeing,777-3M0(ER),Boeing 777-3M0(ER),0,Aeroflot,AFL,41688,2014
151DAD,RA-73133,B77W,Boeing,777-3M0(ER),Boeing 777-3M0(ER),0,Aeroflot,AFL,41684,2014
151DAE,RA-73134,B773,Boeing,777-3M0ER,Boeing 777-3M0ER,0,Aeroflot,AFL,41689,2014
151DB5,RA-73141,B773,Boeing,777-300ER,Boeing 777-300ER,0,Aeroflot,AFL,65312,2021
151DBB,RA-73147,B77W,Boeing,777-3M0(ER),Boeing 777-3M0(ER),0,Aeroflot,AFL,41693,2017
151DBD,RA-73149,B77W,Boeing,777-3M0(ER),Boeing 777-3M0(ER),0,Aeroflot,AFL,41694,2016
151DC9,RA-73161,A321,Airbus,A321-211,Airbus A321-211,0,Aeroflot,AFL,8205,2018
151DCD,RA-73165,A321,Airbus,A321-211,Airbus A321-211,0,Aeroflot,AFL,5720,2013
151DCF,RA-73167,A320,Airbus,A320-214,Airbus A320-214,0,Aeroflot,AFL,8418,2018
151DD0,RA-73168,A320,Airbus,A320-214,Airbus A320-214,0,Aeroflot,AFL,8319,2018
151DD2,RA-73170,A320,Airbus,A320-214(WL),Airbus A320-214(WL),0,Aeroflot,AFL,7279,2016
151DD8,RA-73176,A320,Airbus,A320-214,Airbus A320-214,0,Aeroflot,AFL,4712,2011
151DD9,RA-73177,A321,Airbus,A321-211,Airbus A321-211,0,Aeroflot,AFL,8378,2018
151DDE,RA-73182,A320,Airbus,A320-214,Airbus A320-214,0,S7 Airlines,SBI,5559,2013
151DDF,RA-73183,A320,Airbus,A320-214,Airbus A320-214,0,S7 Airlines,SBI,6066,2014
151DE0,RA-73184,B738,Boeing,737-85R,Boeing 737-85R,0,Izhavia,IZA,39069,2014
151DE1,RA-73185,B738,Boeing,737-8KN,Boeing 737-8KN,0,Izhavia,IZA,40242,2011
151DE2,RA-73186,A319,Airbus,A319-111,Airbus A319-111,0,Rossiya,SDM,3942,2009
151DE6,RA-73190,B738,Boeing,737-8LJ,Boeing 737-8LJ,0,Rossiya,SDM,41212,2015
151DE7,RA-73191,B738,Boeing,737-8AS,Boeing 737-8AS,0,Rossiya,SDM,33622,2006
151DE9,RA-73193,B738,Boeing,737-8AS,Boeing 737-8AS,0,Rossiya,SDM,33602,2006
151DF0,RA-73200,A319,Airbus,A319-111,Airbus A319-111,0,Rossiya,SDM,1851,2002
151DF5,RA-73205,A319,Airbus,A319-111,Airbus A319-111,0,Rossiya,SDM,2179,2004
151DF6,RA-73206,A319,Airbus,A319-111,Airbus A319-111,0,Rossiya,SDM,1876,2002
151DF7,RA-73207,A320,Airbus,A320-214,Airbus A320-214,0,Rossiya,SDM,2151,2003
151DF9,RA-73209,B738,Boeing,737-8LJ,Boeing 737-8LJ,0,Rossiya,SDM,41236,2017
151DFA,RA-73210,A319,Airbus,A319-114,Airbus A319-114,0,Rossiya,SDM,649,1997
151DFD,RA-73213,A320,Airbus,A320-214,Airbus A320-214,0,Rossiya,SDM,5989,2014
151DFE,RA-73214,A320,Airbus,A320-214,Airbus A320-214,0,Rossiya,SDM,2163,2004
151E00,RA-73216,A319,Airbus,A319-111,Airbus A319-111,0,Rossiya,SDM,3998,2009
151E01,RA-73217,A320,Airbus,A320-214,Airbus A320-214,0,Rossiya,SDM,3640,2008
151E06,RA-73222,A319,Airbus,A319-111,Airbus A319-111,0,Rossiya,SDM,1890,2002
151E07,RA-73223,B738,Boeing,737-8LJ,Boeing 737-8LJ,0,Rossiya,SDM,41224,2018
151E09,RA-73225,B738,Boeing,737-8MC(WL),Boeing 737-8MC(WL),0,Pobeda,PBD,64862,2018
151E0A,RA-73226,B738,Boeing,737-8MC(WL),Boeing 737-8MC(WL),0,Pobeda,PBD,64863,2018
151E0B,RA-73227,B738,Boeing,737-8MC(WL),Boeing 737-8MC(WL),0,Pobeda,PBD,64864,2018
151E0C,RA-73228,B738,Boeing,737-8MC(WL),Boeing 737-8MC(WL),0,Pobeda,PBD,64865,2018
151E0D,RA-73229,B738,Boeing,737-8MC(WL),Boeing 737-8MC(WL),0,Pobeda,PBD,64866,2019
151E0E,RA-73230,B738,Boeing,737-8MC,Boeing 737-8MC,0,Pobeda,PBD,64867,2019
151E0F,RA-73231,B738,Boeing,737-8MC(WL),Boeing 737-8MC(WL),0,Pobeda,PBD,64868,2019
151E10,RA-73232,B738,Boeing,737-8MC,Boeing 737-8MC,0,Pobeda,PBD,64869,2019
151E12,RA-73234,B738,Boeing,737-8LJ(WL),Boeing 737-8LJ(WL),0,Pobeda,PBD,41244,2017
151E13,RA-73235,B738,Boeing,737-8LJ,Boeing 737-8LJ,0,Pobeda,PBD,41205,2015
151E14,RA-73236,B738,Boeing,737-8LJ(WL),Boeing 737-8LJ(WL),0,Pobeda,PBD,41206,2015
151E15,RA-73237,B738,Boeing,737-8LJ(WL),Boeing 737-8LJ(WL),0,Pobeda,PBD,41208,2015
151E16,RA-73238,B738,Boeing,737-8LJ(WL),Boeing 737-8LJ(WL),0,Pobeda,PBD,41219,2018
