ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
33FCEB,MM62332,GLF5,Gulfstream Aerospace,G550,Gulfstream Aerospace G550,0,Italian Air Force,IAM,5559,
33FCEE,MM81481,NH90,NHIndustries,SH-90A,NHIndustries SH-90A,0,Italian Air Force,IAM,,
33FD02,MM81617,NH90,NHIndustries,SH-90A,NHIndustries SH-90A,0,Italian Navy,,HITN41,
33FD03,MM82058,A169,Leonardo,AW169M,Leonardo AW169M,0,Italy Carabinieri,,72008,
33FD0A,MM62329,GLF5,Gulfstream Aerospace,G550,Gulfstream G550,0,Italian Air Force,IAM,5581,
33FD31,MM55251,M345,Aermacchi,M-345,Aermacchi M-345,0,Italian Air Force,IAM,,
33FD3C,MM82018,A139,Leonardo,AW139,Leonardo AW139,0,Italian Air Force,IAM,31941,
33FD42,MM82007,A139,Leonardo,AW139,Leonardo AW139,0,Italian Air Force,IAM,31927,
33FD43,MM82003,A139,AgustaWestland,HH-139B,AgustaWestland HH-139B,0,Italian Air Force,IAM,31926,
33FD4D,MM81985,A139,Leonardo,AW-139,Leonardo AW-139,0,Italian Air Force,IAM,31906,
33FD50,MM81567,NH90,NH Industries,NH90 TTH (UH-90A),NH Industries NH90 TTH (UH-90A),0,Italian Army,,GITA51,
33FD52,MM81612,NH90,NH Industries,NH90 NFH (SH-90A),NH Industries NH90 NFH (SH-90A),0,Italian Navy,,,
33FD62,X-AV-T-007,VFHC,Leonardo,AW Hero,Leonardo AW Hero,0,Italian Navy,,,
33FD6E,MM55229,M346,Alenia Aermacchi,T-346 Master,Alenia Aermacchi T-346 Master,0,Italy - Air Force,,,
33FD8E,,M346,Alenia Aermacchi,M-346 Master,Alenia Aermacchi M-346 Master,0,Italian Air Force,IAM,,
33FD90,MM55222,M346,Alenia Aermacchi,T-346 Master,Alenia Aermacchi T-346 Master,0,Italian Air Force,IAM,7099,
33FD91,MM55221,M346,Alenia Aermacchi,M-346 Master,Alenia Aermacchi M-346 Master,0,Italian Air Force,IAM,,
33FD92,MM55218,M346,Alenia Aermacchi,T-346A,Alenia Aermacchi T-346A,0,Italian Air Force,IAM,7091,
33FD98,MM81556,NH90,NHIndustries,NH-90 TTH,NHIndustries NH-90 TTH,0,Italian Army,,GITA40,
33FDA3,MM55216,M346,Alenia Aermacchi,T-346 Master,Alenia Aermacchi T-346 Master,0,Italian Air Force,IAM,7089,
33FDAC,MM55213,M346,Alenia Aermacchi,T-346 Master,Alenia Aermacchi T-346 Master,0,Italian Air Force,IAM,30041,
33FDBE,MM81867,EH10,AgustaWestland,HH-101 Caesar,AgustaWestland HH-101 Caesar,0,Italian Air Force,IAM,50260,
33FDDB,MM55214,M346,Alenia Aermacchi,T-346 Master,Alenia Aermacchi T-346 Master,0,Italian Air Force,IAM,61-07,
33FDF1,MM73XX,EUFI,Eurofighter,EF-2000,Eurofighter EF-2000,0,Italian Air Force,IAM,,
33FE00,MM7051,TOR,Panavia,Tornado ECR,Panavia Tornado ECR,0,Italian Air Force,IAM,419/ECR.../5060,
33FE24,MM81797,A139,Leonardo,AW-139,Leonardo AW-139,0,Italian Air Force,IAM,31413,
33FE32,MM7052,TOR,Panavia,Tornado IDS,Panavia Tornado IDS,0,Italian Air Force,IAM,5061,
33FFAA,MM7163,AMX,Aeritalia,A-11A AMX,Aeritalia A-11A AMX,0,Italian Air Force,IAM,IX075,
33FFAC,MM7161,AMX,Aeritalia,A-11A AMX,Aeritalia A-11A AMX,0,Italian Air Force,IAM,IX073,
33FFC2,MM55091,M339,Aermacchi,MB.339 CD,Aermacchi MB.339 CD,0,Italian Air Force,IAM,6960,
33FFCA,MM55083,M339,Aermacchi,MB-339CDj,Aermacchi MB-339CDj,0,Italian Air Force,,,
33FFF9,MM62174,A319,Airbus,A319-115(CJ),Airbus A319-115(CJ),0,Italian Air Force,IAM,1157,2000
