ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
3D4149,D-EWYZ,HR10,Robin,HR-100 Safari,Robin HR-100 Safari,1,Private,,,
3D4179,D-EXAV,C172,Cessna,172S Skyhawk SP,Cessna 172S Skyhawk SP,0,Flight Center Hannover GmbH,,172S10953,2009
3D446A,D-EYDU,JUNR,Bolkow,BO-208 Junior,Bolkow BO-208 Junior,1,Private,,699,1969
3D46AA,D-EYZY,DA40,Diamond,DA-40 Club Star,Diamond DA-40 Club Star,1,Private,,,
3D46D0,D-EZBK,M20T,Mooney,M-20K 252TSE,Mooney M-20K 252TSE,1,Private,,25-1150,
3D4997,D-FACT,TBM9,Daher,TBM-960,Daher TBM-960,1,Private,,,
3D4A12,D-FAHM,M600,Piper,PA-46-600TP M600,Piper PA-46-600TP M600,1,Private,,4698108,2019
3D4A70,D-FALC,PC12,Pilatus,PC-12 NG,Pilatus PC-12 NG,0,flYellow,,1689,2017
3D4A78,D-FALK,C208,Cessna,208,Cessna 208,0,Business Wings,JMP,20800023,1985
3D4A79,D-FALL,C208,Cessna,208B Grand Caravan,Cessna 208B Grand Caravan,0,SkyDive-Hildesheim,,208B5525,2019
3D4B37,D-FAST,C208,Cessna,208 Caravan I,Cessna 208 Caravan I,0,Business Wings,JMP,20800207,1991
3D4C0F,D-FBBB,TBM9,Daher,TBM-960,Daher TBM-960,1,Private,,1474,2023
3D4D5B,D-FBNV,TBM9,SOCATA,TBM-940,SOCATA TBM-940,1,Private,,1403,2021
3D4D77,D-FBOX,PC12,Pilatus,PC-12 NGX,Pilatus PC-12 NGX,1,Private,,2105,
3D4E36,D-FBWG,PC12,Pilatus,PC-12 NGX,Pilatus PC-12 NGX,1,Private,,2331,2023
3D4F54,D-FCHG,P46T,Piper,PA-46-500TP Malibu Meridian,Piper PA-46-500TP Malibu Meridian,1,Private,,4697524,2013
3D4FE2,D-FCMS,PC12,Pilatus,PC-12 NGX,Pilatus PC-12 NGX,1,Private,,2415,2024
