ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
3FF0B9,D-MODU,BREZ,Aerostyle,Breezer CL,Aerostyle Breezer CL,1,Private,,88,
3FF106,D-MSSQ,EV97,Evektor,EuroStar,Evektor EuroStar,1,Private,,,
3FF28D,D-MSPR,S450,Aero-East-Europe,SILA-450C,Aero-East-Europe SILA-450C,1,Private,,130509-AEE-0012,
3FF2F7,D-MMRP,NG5,BRM Aero,Bristell,BRM Aero Bristell,1,Private,,067,
3FF32F,D-MCFT,ULAC,Vidor,Champion V,Vidor Champion V,1,Private,,,
3FF345,D-MRKF,COY2,Rans,S-6TD Coyote 2,Rans S-6TD Coyote 2,1,Private,,1294703,
3FF34E,D-MHLE,MT,AutoGyro,MT-03,AutoGyro MT-03,1,Private,,,
3FF384,D-MNUT,WT9,Aerospool,WT-9 Dynamic,Aerospool WT-9 Dynamic,1,Private,,DY520/2014,
3FF3D8,D-MEDY,GLID,,Glider,Glider,1,Private,,,
3FF413,D-MBHF,FK14,B & F Technik,FK-14 B2 Polaris,B & F Technik FK-14 B2 Polaris,1,Private,,014-119,
3FF447,D-MRFX,GX,Remos,GX,Remos GX,1,Private,,439,2005
3FF476,D-MEMZ,FDCT,Flight Design,CT,Flight Design CT,1,Private,,,
3FF4B9,D-MHJF,C42,Ikarus,C-42,Ikarus C-42,1,Private,,,
3FF52E,D-MIGB,AP22,A22,Aeroprakt,A22 Aeroprakt,1,Private,,498,
3FF549,D-MBUH,FM25,Flying Machines,FM-250 Vampire,Flying Machines FM-250 Vampire,1,Private,,,
3FF556,D-MDDN,C42,Ikarus,C-42,Ikarus C-42,1,Private,,,
3FF561,D-MTRW,FK9,FK-Lightplanes,FK-9 Mk II,FK-Lightplanes FK-9 Mk II,1,Private,,14,
3FF5EE,D-MSCK,ECHO,Tecnam,P-92 Echo,Tecnam P-92 Echo,1,Private,,,
3FF644,D-MMDG,WT9,Aerospool,WT-9 Dynamic,Aerospool WT-9 Dynamic,1,Private,,,
3FF65A,D-MYSP,BREZ,Breezer,B400-6 Sport,Breezer B400-6 Sport,1,Private,,,
3FF6DE,D-MFOG,CH60,Roland,Z-602 Zodiac,Roland Z-602 Zodiac,1,Private,,Z-9600,
3FF742,D-MCTC,FDCT,Flight Design,CT-LS,Flight Design CT-LS,1,Private,,,
3FF74B,D-MLVN,BREZ,Breezer,B400,Breezer B400,1,Private,,,
3FF759,D-MIAY,PNR3,Alpi,Pioneer 300,Alpi Pioneer 300,1,Private,,,
3FF791,D-MPMM,BW60,Blackwing,Sweden 600RG,Blackwing Sweden 600RG,1,Private,,,
3FF795,D-MTOA,AP22,Aeroprakt,A-22LS,Aeroprakt A-22LS,1,Private,,,
3FF79F,D-MCPF,FK9,B & F Technik,FK-9,B & F Technik FK-9,1,Private,,09-06-008,
3FF7A2,D-MMFG,NG5,BRM Aero,Bristell,BRM Aero Bristell,1,Private,,,
3FF7A5,D-MZWT,WT9,Aerospool,WT-9 Dynamic,Aerospool WT-9 Dynamic,1,Private,,,
3FF7CA,D-MDEK,WT9,Aerospool,WT-9 Dynamic,Aerospool WT-9 Dynamic,1,Private,,,
3FF7D4,D-MMKG,VL3,JMB Aircraft,VL-3,JMB Aircraft VL-3,1,Private,,VL-3-114,
3FF7EA,D-MJOJ,AP32,Aeroprakt,A-32 Vixxen,Aeroprakt A-32 Vixxen,1,Private,,,
3FF802,D-MMFC,VL3,Aveko,VL-3 Sprint,Aveko VL-3 Sprint,1,Private,,,
3FF803,D-MKTL,C42,Ikarus,C-42,Ikarus C-42,1,Private,,,
3FF807,D-MBBT,EV97,Evektor,EV-97 EuroStar,Evektor EV-97 EuroStar,1,Private,,,
3FF808,D-MMUC,BREZ,Breezer,B600,Breezer B600,1,Private,,1604,
