ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
45D022,OY-TAB,FA7X,Dassault,Falcon 7X,Dassault Falcon 7X,1,Private,,225,2013
45D04D,OY-TBM,TBM9,Daher,TBM-940,Daher TBM-940,1,Private,,1404,
45D06E,OY-TCN,A321,Airbus,A321-200,Airbus A321-200,0,Sunclass Airlines,VKG,06515,2015
45D1C1,OY-TNA,C25B,Cessna,525B Citation CJ3,Cessna 525B Citation CJ3,1,Private,,525B-0638,2021
45D1D3,OY-TNS,P68,VulcanAir,P.68C,VulcanAir P.68C,0,Bioflight,BIO,510/C,2019
45D20A,OY-TPJ,C25M,Cessna,525 Citation M2,Cessna 525 Citation M2,1,Private,,525-0893,
45D2ED,OY-TWM,PC12,Pilatus,PC-12,Pilatus PC-12,0,Flexflight,FXT,1506,2014
45D961,OY-VKA,A21N,Airbus,A321-251NX,Airbus A321-251NX,0,Sunclass Airlines,VKG,11690,2023
45D962,OY-VKB,A21N,Airbus,A321-251NX,Airbus A321-251NX,0,Sunclass Airlines,VKG,11742,2024
45D96A,OY-VKJ,A339,Airbus,A330-941,Airbus A330-941,0,Sunclass Airlines,VKG,1929,2019
45D96F,OY-VKO,A339,Airbus,A330-941,Airbus A330-941,0,Sunclass Airlines,VKG,1981,2021
45D970,OY-VKP,A339,Airbus,A330-941,Airbus A330-941,0,Sunclass Airlines,VKG,2050,2023
45DA01,OY-VPA,P68,Vulcanair,P.68 Observer 2,Vulcanair P.68 Observer 2,0,Bioflight,BIO,523-53/OB2,2022
45DA02,OY-VPB,P68,Vulcanair,P68 Observer 2,Vulcanair P68 Observer 2,0,Bioflight,BIO,524-54/OB2,
45DA04,OY-VPD,P68,Vulcanair,P68 Observer 2,Vulcanair P68 Observer 2,0,Bioflight,BIO,526/OB2,
45DA05,OY-VPE,P68,Vulcanair,P.68 Observer 2,Vulcanair P.68 Observer 2,0,Bioflight,BIO,527-56/OB2,2022
45DA61,OY-VSA,P68,VulcanAir,P-68C,VulcanAir P-68C,0,Bioflight,BIO,525/C,2023
45DACF,OY-VVO,GL5T,Bombardier,Global 5500,Bombardier Global 5500,0,Journey Jet,JNJ,60119,2024
