ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
47B02F,LN-FNG,B789,Boeing,787-9 Dreamliner,Boeing 787-9 Dreamliner,0,Norse Atlantic Airways,NBT,63319,2019
47B0E7,LN-FNE,B789,Boeing,787-9 Dreamliner,Boeing 787-9 Dreamliner,0,Norse Atlantic Airways,NBT,38789,2018
47B121,LN-FND,B789,Boeing,787-9 Dreamliner,Boeing 787-9 Dreamliner,0,Norse Atlantic Airways,NBT,38788,2018
47B12E,LN-FNC,B789,Boeing,787-9 Dreamliner,Boeing 787-9 Dreamliner,0,Norse Atlantic Airways,NBT,38790,2018
47B1DC,LN-FNB,B789,Boeing,787-9 Dreamliner,Boeing 787-9 Dreamliner,0,Norse Atlantic Airways,NBT,63346,2019
47B217,LN-FNA,B789,Boeing,787-9 Dreamliner,Boeing 787-9 Dreamliner,0,Norse Atlantic Airways,NBT,63345,2019
47B8C2,LN-SMF,DA42,Diamond,DA42 NG Twin Star,Diamond DA42 NG Twin Star,1,Private,,42.N466,2022
47BF9D,LN-FGJ,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Norwegian Air Shuttle,NOZ,65903,2022
47BFA2,LN-OIK,S92,Sikorsky,S-92A,Sikorsky S-92A,0,Bristow Norway,NOR,920296,2016
47BFB3,LN-FGF,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Norwegian Air Shuttle,NOZ,43324,2022
47BFE0,LN-FRI,DA50,Diamond,DA50 RG,Diamond DA50 RG,1,Private,,50.C.A.A.046,2023
47BFF9,LN-MEP,PA31,Piper,Navajo C/R,Piper Navajo C/R,0,Scandinavian Air Charter,,31-7512027,1975
