ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
4B9084,TC-DDD,GLEX,Bombardier,Global Express XRS,Bombardier Global Express XRS,0,BikiniJet,,9286,2008
4B912F,TC-DIO,H25B,Raytheon,Hawker 900XP,Raytheon Hawker 900XP,1,Private,,HA-0086,
4B934D,TC-DZM,BE4W,Nextant,400XTi,Nextant 400XTi,1,Private,,RK-377,2004
4B9432,TC-EAR,CL30,Bombardier,Challenger 300,Bombardier Challenger 300,1,Private,,20284,2009
4B9832,TC-FAR,LJ60,Bombardier,Learjet 60,Bombardier Learjet 60,1,Private,,60-203,
4B9909,TC-FHI,A320,Airbus,A320-214,Airbus A320-214,0,Freebird Airlines,FHY,03984,2009
4B990B,TC-FHK,A320,Airbus,A320-214,Airbus A320-214,0,Freebird Airlines,FHY,4102,2009
4B990C,TC-FHL,A20N,Airbus,A320-214,Airbus A320-214,0,Freebird Airlines,FHY,4154,2009
4B9910,TC-FHP,A320,Airbus,A320-214,Airbus A320-214,0,Freebird Airlines,FHY,5906,2013
4B9E01,TC-GPA,A321,Airbus,A321-231,Airbus A321-231,0,BBN Airlines,BBT,3462,2008
4B9E02,TC-GPB,A321,Airbus,A321-232,Airbus A321-232,0,BBN Airlines,BBT,3527,2008
4B9E03,TC-GPC,A321,Airbus,A321-231,Airbus A321-231,0,BBN Airlines,BBT,3302,2007
4B9E41,TC-GRA,A332,Airbus,A330-223,Airbus A330-223,0,Southwind,STW,1256,2011
4B9E42,TC-GRB,A332,Airbus,A330-223,Airbus A330-223,0,Southwind,STW,1266,2011
4B9E43,TC-GRC,A321,Airbus,A321-211,Airbus A321-211,0,Southwind,STW,1233,2000
4B9E44,TC-GRD,A321,Airbus,A321-231,Airbus A321-231,0,Southwind,STW,5836,2013
4B9E45,TC-GRE,A21N,Airbus,A321-253NX,Airbus A321-253NX,0,Southwind,STW,11039,2022
4B9E4F,TC-GRO,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwind,STW,65184,2022
4B9E59,TC-GRY,B773,Boeing,777-312,Boeing 777-312,0,Southwind,STW,32327,2004
