ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
4BB025,TC-LAE,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,AJet,TKJ,44656,2022
4BB026,TC-LAF,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,AJet,TKJ,65741,2022
4BB027,TC-LAG,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,AJet,TKJ,61810,2021
4BB028,TC-LAH,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Turkish Airlines,THY,61845,2022
4BB029,TC-LAI,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,AJet,TKJ,64947,2022
4BB02A,TC-LAJ,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,AJet,TKJ,61811,2022
4BB02B,TC-LAK,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,AJet,TKJ,61848,2022
4BB042,TC-LBB,A20N,Airbus,A320-271N,Airbus A320-271N,0,AJet,TKJ,11361,2023
4BB075,TC-LCU,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Turkish Airlines,THY,60068,2021
4BB0E6,TC-LGF,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,496,2022
4BB0E7,TC-LGG,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,565,2022
4BB0E8,TC-LGH,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,596,2023
4BB0E9,TC-LGI,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,457,2022
4BB0EA,TC-LGJ,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,463,2021
4BB0EB,TC-LGK,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,471,2022
4BB0EC,TC-LGL,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,493,2022
4BB0ED,TC-LGM,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,618,2023
4BB0EE,TC-LGN,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,621,2023
4BB0EF,TC-LGO,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,638,2023
4BB0F0,TC-LGP,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,644,2023
4BB0F2,TC-LGR,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,651,2024
4BB0F3,TC-LGS,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,659,2024
4BB0F4,TC-LGT,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,667,2024
4BB0F5,TC-LGU,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,669,2024
4BB0F6,TC-LGV,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,675,2024
4BB0F9,TC-LGY,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,678,2024
4BB0FA,TC-LGZ,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,682,2024
4BB101,TC-LHA,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,688,2024
4BB102,TC-LHB,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,716,2025
4BB103,TC-LHC,A359,Airbus,A350-941,Airbus A350-941,0,Turkish Airlines,THY,721,2025
