ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
4CA0C2,EI-JRD,B734,Boeing,737-4Y0(SF),Boeing 737-4Y0(SF),0,ASL Airlines Ireland,ABR,24917,1991
4CA383,EI-STI,B734,Boeing,737-476(SF),Boeing 737-476(SF),0,ASL Airlines Ireland,ABR,24435,1990
4CA394,,-GND,,Ground Vehicle,Ground Vehicle,0,Dublin Airport,,,
4CA3A3,,-GND,,Ground Vehicle,Ground Vehicle,0,Dublin Airport,,,
4CA3B8,,-GND,,Ground Vehicle,Ground Vehicle,0,Dublin Airport,,,
4CA3DA,,-GND,,Ground Vehicle,Ground Vehicle,0,Dublin Airport,,,
4CA3E3,,-GND,,Ground Vehicle,Ground Vehicle,0,Dublin Airport,,,
4CA3E6,,-GND,,Ground Vehicle,Ground Vehicle,0,Dublin Airport,,,
4CA620,EI-FPB,CRJ9,Bombardier,CRJ-900LR,Bombardier CRJ-900LR,0,CityJet,BCY,15399,2016
4CAA53,EI-GPN,AT76,ATR,72-600,ATR 72-600,0,Emerald Airlines,EAI,1300,2015
4CAA55,EI-GPP,AT76,Avions de Transport Regional,72-600,Avions de Transport Regional 72-600,0,Emerald Airlines,EAI,1322,2016
4CAAD8,EI-FAT,AT76,ATR,72-600,ATR 72-600,0,Emerald Airlines,EAI,1097,2013
4CABC4,EI-GUM,AT76,ATR,72-600,ATR 72-600,0,Federal Express,FDX,1717,2021
4CABC5,EI-GUO,AT76,ATR,72-600F,ATR 72-600F,0,Federal Express,FDX,1722,2022
4CABD2,EI-LRF,A21N,Airbus,A321-253NX,Airbus A321-253NX,0,Aer Lingus,EIN,10264,2021
4CABD3,EI-LRG,A21N,Airbus,A321-253NX,Airbus A321-253NX,0,Aer Lingus,EIN,10291,2021
4CABEC,EI-EIL,A333,Airbus,A330-302,Airbus A330-302,0,Aer Lingus,EIN,2007,893
4CABFA,EI-KBA,A320,Airbus,A320-232,Airbus A320-232,0,Air Astana,KZR,5401,2012
4CABFB,EI-KBB,A320,Airbus,A320-232,Airbus A320-232,0,Air Astana,KZR,5613,2013
4CABFD,EI-KBD,A320,Airbus,A320-232,Airbus A320-232,0,Air Astana,KZR,5870,2013
4CABFE,EI-KBE,A320,Airbus,A320-232,Airbus A320-232,0,Air Astana,KZR,5968,2014
4CABFF,EI-KBF,A320,Airbus,A320-232,Airbus A320-232,0,Air Astana,KZR,6037,2014
4CAC00,EI-KBG,A320,Airbus,A320-232,Airbus A320-232,0,Air Astana,KZR,6029,2014
4CAC01,EI-KBH,A20N,Airbus,A320-271N,Airbus A320-271N,0,Air Astana,KZR,7124,2016
