ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
76CC73,9V-SCS,B78X,Boeing,787-10 Dreamliner,Boeing 787-10 Dreamliner,0,Singapore Airlines,SIA,60268,2023
76CC74,9V-SCT,B78X,Boeing,787-10 Dreamliner,Boeing 787-10 Dreamliner,0,Singapore Airlines,SIA,60274,2023
76CC75,9V-SCU,B78X,Boeing,787-10 Dreamliner,Boeing 787-10 Dreamliner,0,Singapore Airlines,SIA,60271,2023
76CC76,9V-SCV,B78X,Boeing,787-10 Dreamliner,Boeing 787-10 Dreamliner,0,Singapore Airlines,SIA,67156,2023
76CC77,9V-SCW,B78X,Boeing,787-10 Dreamliner,Boeing 787-10 Dreamliner,0,Singapore Airlines,SIA,67155,2023
76CC79,9V-SCY,B78X,Boeing,787-10 Dreamliner,Boeing 787-10 Dreamliner,0,Singapore Airlines,SIA,60272,2024
76CD19,9V-SHY,A359,Airbus,A350-941,Airbus A350-941,0,Singapore Airlines,SIA,494,2022
76CD43,9V-SJC,A359,Airbus,A350-941,Airbus A350-941,0,Singapore Airlines,SIA,564,2022
76CD44,9V-SJD,A359,Airbus,A350-941,Airbus A350-941,0,Singapore Airlines,SIA,569,2022
76CD45,9V-SJE,A359,Airbus,A350-941,Airbus A350-941,0,Singapore Airlines,SIA,460,2021
76CD46,9V-SJF,A359,Airbus,A350-941,Airbus A350-941,0,Singapore Airlines,SIA,599,2023
76CD47,9V-SJG,A359,Airbus,A350-941,Airbus A350-941,0,Singapore Airlines,SIA,629,2023
76CD48,9V-SJH,A359,Airbus,A350-941,Airbus A350-941,0,Singapore Airlines,SIA,665,2024
76CD8E,9V-SLN,A320,Airbus,A320-233,Airbus A320-233,0,SilkAir,SLK,4701,2011
