ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
7A4281,20041,Y20,Xian,Y-20 A,Xian Y-20 A,0,Chinese Air Force,,20025,
7A4282,20042,Y20,Xian,Y-20 A,Xian Y-20 A,0,Chinese Air Force,,20026,
7A428A,20142,Y20,Xian,Y-20A,Xian Y-20A,0,Chinese Air Force,,20142,
7A431D,0DECE,AN12,Shaanxi,Y-8 ASW,Shaanxi Y-8 ASW,0,Chinese Air Force,,82014,
7A432F,1234ABCD,AN12,Shaanxi,Y-8 ASW,Shaanxi Y-8 ASW,0,Chinese Air Force,,,
7A4330,4420ABCD,AN12,Shaanxi,KJ-500 AEW,Shaanxi KJ-500 AEW,0,Chinese Air Force,,,
7A4332,2246BCEF,AN12,Shaanxi,Y-9,Shaanxi Y-9,0,Chinese Air Force,,,
7A4333,0234ABCD,AN12,Shaanxi,Y-8 ASW,Shaanxi Y-8 ASW,0,Chinese Air Force,,,
7A43FE,20146,Y20,Xian,Y-20A,Xian Y-20A,0,Chinese Air Force,,20146,
7A4416,,Y20,Xian,Y-20 Kunpeng,Xian Y-20 Kunpeng,0,Chinese Air Force,,20843,
