ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
7C66E2,VH-ULW,A321,Airbus,A321-231(P2F),Airbus A321-231(P2F),0,Express Freighters Australia,QFA,1195,2000
7C66E4,VH-ULY,A321,Airbus,A321-231(P2F),Airbus A321-231(P2F),0,Qantas Freight,QFA,1408,2001
7C683D,VH-UVJ,A320,Airbus,A320-232,Airbus A320-232,0,Network Aviation,NWK,2356,2005
7C6844,VH-UVQ,A320,Airbus,A320-232,Airbus A320-232,0,Network Aviation,NWK,2423,2005
7C68A2,VH-UYC,E190,Embraer,ERJ-190AR,Embraer ERJ-190AR,0,Airnorth,ANO,19000016,2005
7C68A8,VH-UYI,E190,Embraer,E190AR,Embraer E190AR,0,Alliance Airlines,UTY,19000053,2006
7C68A9,VH-UYJ,E190,Embraer,ERJ 190-111 IGW,Embraer ERJ 190-111 IGW,0,Alliance Airlines,UTY,19000056,2006
7C68AA,VH-UYK,E190,Embraer,E190LR,Embraer E190LR,0,Alliance Airlines,UTY,19000089,2007
7C68AD,VH-UYN,E190,Embraer,E190AR,Embraer E190AR,0,Alliance Airlines,UTY,19000095,2007
7C68B1,VH-UYR,E190,Embraer,E190AR,Embraer E190AR,0,Alliance Airlines,UTY,19000100,2007
7C68B4,VH-UYU,E190,Embraer,E190AR,Embraer E190AR,0,Alliance Airlines,UTY,19000126,2007
7C68C7,VH-UZD,E190,Embraer,E190AR,Embraer E190AR,0,Qantas,QFA,19000152,2008
7C6AF0,VH-VEQ,SF34,SAAB,340B+,SAAB 340B+,0,Virgin Australia,VOZ,340B-424,1997
7C6CE2,VH-VSK,GLEX,Bombardier,Global Express XRS,Bombardier Global Express XRS,0,Execujet Australia,,9248,2007
