ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
A05173,N12BA,C750,Cessna,750 Citation 10,Cessna 750 Citation 10,1,Private,,750-0222,2024
A05232,N12JS,G280,Gulfstream Aerospace,G280,Gulfstream Aerospace G280,1,Private,,2220,2021
A05273,N12MG,C25C,Cessna,525C Citation CJ4,Cessna 525C Citation CJ4,1,Private,,525C-0370,2021
A05298,N12NU,GLF6,Gulfstream,G650ER,Gulfstream G650ER,1,Private,,6326,2018
A05521,N120QS,GL5T,Bombardier,Global 5500,Bombardier Global 5500,0,NetJets,EJA,60066,2022
A055B1,N120WL,PC12,Pilatus,PC-12 NGX,Pilatus PC-12 NGX,1,Private,,2418,2024
A05669,N12020,B78X,Boeing,787-10 Dreamliner,Boeing 787-10 Dreamliner,0,United Airlines,UAL,66989,2022
A0566A,N12021,B78X,Boeing,787-10 Dreamliner,Boeing 787-10 Dreamliner,0,United Airlines,UAL,66990,2022
A057D3,N121EF,GLF6,Gulfstream,G650ER,Gulfstream G650ER,1,Private,,6508,2022
A058D8,N121QS,GLEX,Bombardier,Global 6500,Bombardier Global 6500,0,NetJets,EJA,60070,2022
A05A19,N1212T,E545,Embraer,Legacy 450,Embraer Legacy 450,1,Private,,55010051,2018
A05A1B,N1212V,E55P,Embraer,Phenom 300,Embraer Phenom 300,1,Private,,50500784,2023
A05BB7,N122GA,GA7C,Gulfstream,G700,Gulfstream G700,0,Fertitta Enterprises,,87022,2024
A05C8F,N122QS,GLEX,Bombardier,Global 6500,Bombardier Global 6500,0,NetJets,EJA,60073,2022
A05EFC,N123BM,SR22,Cirrus,SR-22,Cirrus SR-22,1,Private,,3513,2009
A05F1A,N123CS,S22T,Cirrus,SR22T,Cirrus SR22T,1,Private,,9404,2023
A05F35,N123DU,P28A,Piper,Cherokee Warrior II,Piper Cherokee Warrior II,1,Private,,28-7716195,1977
A05F36,N123DV,SR22,Cirrus,SR22,Cirrus SR22,1,Private,,1313,2005
