ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
A2B10B,N27251,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,43931,2021
A2B10C,N27252,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,43932,2021
A2B10D,N27253,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,43930,2021
A2B10F,N27255,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,43440,2021
A2B110,N27256,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,64447,2021
A2B112,N27258,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,66593,2021
A2B12D,N27260,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,43458,2021
A2B12E,N27261,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,43464,2021
A2B130,N27263,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,66595,2021
A2B133,N27266,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,66597,2021
A2B134,N27267,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,67522,2022
A2B135,N27268,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,67523,2022
A2B136,N27269,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,67524,2022
A2B150,N27270,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,67525,2022
A2B151,N27271,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,67526,2022
A2B153,N27273,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,67528,2022
A2B154,N27274,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,67529,2022
A2B156,N27276,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,64611,2019
A2B157,N27277,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,64612,2019
A2B176,N27283,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,61857,2019
A2B17A,N27287,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,60709,2019
A2B196,N27290,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,44309,2019
A2B198,N27292,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,67553,2022
A2B416,N27304,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,United Airlines,UAL,67562,2023
A2B5F3,N274GE,B738,Boeing,737-86N,Boeing 737-86N,0,AerCap,,36541,2008
A2BBF2,N27539,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,United Airlines,UAL,64468,2022
A2BC12,N27546,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,United Airlines,UAL,64478,2022
A2BC5A,N27568,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,United Airlines,UAL,67191,2023
A2BCC2,N27597,B763,Boeing,767-316(ER),Boeing 767-316(ER),0,Cargojet Airways,CJT,27597,1996
A2BD59,N276FX,S76,Sikorsky,S-76C,Sikorsky S-76C,1,Private,,760509,
A2BD72,N276GX,A320,Airbus,A320-214,Airbus A320-214,0,Global X,GXA,2695,2006
