ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
A6E361,N543DE,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Delta Air Lines,DAL,11553,2023
A6E413,N543LH,PC12,Pilatus,PC-12,Pilatus PC-12,1,Private,,543,2004
A6E570,N5430G,GLF5,Gulfstream,G550,Gulfstream G550,1,Private,,5430,2013
A6E720,N544DN,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Delta Air Lines,DAL,11607,2023
A6E94D,N5441K,A333,Airbus,A330-343(P2F),Airbus A330-343(P2F),0,Hawaiian Airlines,HAL,1874,2018
A6EA8F,N545AR,GLF6,Gulfstream,G650ER,Gulfstream G650ER,1,Private,,6501,2022
A6EA99,N545BA,CL60,Bombardier,Challenger 650,Bombardier Challenger 650,1,Private,,6186,2023
A6EAB0,N545BZ,GL5T,Bombardier,Global 5500,Bombardier Global 5500,1,Private,,60130,2024
A6EACF,N545DE,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Delta Air Lines,DAL,11644,2023
A6EB21,N545GM,BE35,Beech,V35B Bonanza,Beech V35B Bonanza,1,Private,,D-9318,1972
A6EC65,N545VL,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris,VOI,10495,2021
A6EE8E,N546DN,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Delta Air Lines,DAL,11692,2023
