ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
A6F01C,N546VL,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris,VOI,10846,2022
A6F04C,N546XJ,CL30,Bombardier,Challenger 300,Bombardier Challenger 300,0,Vista America,VJA,20280,2009
A6F23D,N547DE,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Delta Air Lines,DAL,11595,2024
A6F3D3,N547VL,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris,VOI,11258,2022
A6F5FC,N548DN,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Delta Air Lines,DAL,11620,2023
A6F78A,N548VL,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris Costa Rica,VOC,11311,2023
A6F96B,N549AR,B350,Beech,King Air 350C,Beech King Air 350C,1,Private,,FM-11,2003
A6F993,N549CF,GLF5,Gulfstream,V,Gulfstream V,1,Private,,519,1997
A6F9B3,N549DN,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Delta Air Lines,DAL,11693,2023
A6FD72,N55DW,PC12,Pilatus,PC-12 NG,Pilatus PC-12 NG,1,Private,,1624,2016
A6FDA8,N55G,C68A,Cessna,680A Citation Latitude,Cessna 680A Citation Latitude,1,Private,,680A0116,2017
A6FE23,N55LY,TBM9,Socata,TBM 910,Socata TBM 910,1,Private,,1219,
A6FE73,N55QC,GLF5,Gulfstream,G550,Gulfstream G550,1,Private,,5495,2014
A6FEF7,N55VK,BE36,Beech,36 Bonanza,Beech 36 Bonanza,1,Private,,1,2004
A6FF0E,N55WH,P46T,Piper,PA-46 JetPROP,Piper PA-46 JetPROP,1,Private,,4636204,1999
A6FF8B,N550BG,GLF5,Gulfstream Aerospace,G550,Gulfstream Aerospace G550,1,Private,,5482,2014
A6FFC3,N550DN,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Delta Air Lines,DAL,11734,2023
A6FFE4,N550EW,GLF5,Gulfstream,G550,Gulfstream G550,1,Private,,5102,2006
A6FFEA,N550FB,GLF5,Gulfstream,V,Gulfstream V,1,Private,,615,2000
A6FFEF,N550FG,GLF5,Gulfstream,G550,Gulfstream G550,1,Private,,5180,2008
A6FFF8,N550FR,GLF5,Gulfstream,G550,Gulfstream G550,1,Private,,5415,2013
