ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
AA4031,N76LH,E545,Embraer,Praetor 500,Embraer Praetor 500,1,Private,,55010088,2021
AA4125,N76WB,CL60,Bombardier,CL-600-2B16,Bombardier CL-600-2B16,1,Private,,6090,2017
AA4230,N760GT,B77L,Boeing,777-F,Boeing 777-F,0,Atlas Air,GTI,68186,2024
AA42AA,N760MQ,E170,Embraer,ERJ 170-100 STD,Embraer ERJ 170-100 STD,0,Envoy Air,ENY,17000294,2009
AA43C4,N760YX,E75L,Embraer,E175LR,Embraer E175LR,0,Republic Airways,RPA,17000937,2023
AA4400,N76007,SF50,Cirrus,Vision SF50,Cirrus Vision SF50,1,Private,,0152,2019
AA45E7,N761GT,B77L,Boeing,777-F,Boeing 777-F,0,Atlas Air,GTI,69033,2025
AA46CB,N761RW,E170,Embraer,E170STD,Embraer E170STD,0,Envoy Air,ENY,17000296,2009
AA477B,N761YX,E75L,Embraer,E175LR,Embraer E175LR,0,Republic Airways,RPA,17000939,2023
AA4953,N762DT,E170,Embraer,E170STD,Embraer E170STD,0,Envoy Air,ENY,17000298,2009
AA4B32,N762YX,E75L,Embraer,E175LR,Embraer E175LR,0,Republic Airways,RPA,17000941,2023
AA4D47,N763GD,GA7C,Gulfstream,G700,Gulfstream G700,0,Gulfstream Aerospace,GLF,87063,2024
AA4EE9,N763YX,E75L,Embraer,E175LR,Embraer E175LR,0,Republic Airways,RPA,17000944,2023
