ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
AB209E,N816KY,H25B,Hawker Beechcraft,800XP,Hawker Beechcraft 800XP,1,Private,,258680,2004
AB23AD,N817DE,GLF4,Gulfstream,G450,Gulfstream G450,0,Double Eagle Aviation,,4253,2012
AB2747,N818CA,GA5C,Gulfstream,G500,Gulfstream G500,1,Private,,72078,2021
AB274C,N818CF,C750,Cessna,750 Citation 10,Cessna 750 Citation 10,0,,,750-0009,1996
AB2AE7,N819BC,FA7X,Dassault,Falcon 7X,Dassault Falcon 7X,1,Private,,095,
AB2B45,N819EX,FA50,Dassault,Falcon 50EX,Dassault Falcon 50EX,1,Private,,347,2006
AB2CAA,N819VD,GLF4,Gulfstream,G300,Gulfstream G300,1,Private,,1535,2004
AB2ED4,N82DG,HDJT,Honda,HA-420 HondaJet,Honda HA-420 HondaJet,1,Private,,42000012,2015
AB2EF2,N82EM,GLEX,Bombardier,Global Express XRS,Bombardier Global Express XRS,1,Private,,9239,2007
AB2F3F,N82HP,GLEX,Bombardier,Global 6500,Bombardier Global 6500,1,Private,,60028,2020
AB2FD5,N82PP,NG5,BRM Aero,Bristell LSA,BRM Aero Bristell LSA,1,Private,,552/2021,2021
