ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
AC225D,N881JJ,GLF4,Gulfstream Aerospace,G450,Gulfstream Aerospace G450,0,Chantilly Air,,4298,2013
AC238C,N881WM,DH8D,De Havilland Canada,DHC-8-402,De Havilland Canada DHC-8-402,0,Waltzing Matilda Aviation,,4216,2008
AC252A,N8819L,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67476,2022
AC2567,N882BL,B788,Boeing,787-8 Dreamliner,Boeing 787-8 Dreamliner,0,American Airlines,AAL,66002,2021
AC27A6,N8820L,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67475,2022
AC27CF,N8821S,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67480,2022
AC27F0,N8822Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67479,2022
AC2813,N8823Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67478,2022
AC2836,N8824Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67477,2022
AC2859,N8825Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67472,2022
AC287C,N8826Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67473,2022
AC289F,N8827Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,42598,2022
AC28BE,N8828L,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67474,2022
AC28E5,N8829Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67487,2022
AC290A,N883AR,B738,Boeing,737-8K5,Boeing 737-8K5,1,Private,,30883,2001
AC29D0,N883JP,SR22,Cirrus,SR-22,Cirrus SR-22,1,Private,,0363,
AC2B61,N8830Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67750,2022
AC2B80,N8831L,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67482,2022
AC2BA0,N8832H,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67751,2022
AC2BC6,N8833L,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67481,2022
AC2BE9,N8834L,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67752,2022
AC2C10,N8835Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67486,2022
AC2C33,N8836Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,1,Private,,67483,2022
AC2C56,N8837Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67485,2022
AC2C79,N8838Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67484,2022
AC2C9C,N8839Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67489,2023
AC2CB2,N884AA,B788,Boeing,787-8 Dreamliner,Boeing 787-8 Dreamliner,0,American Airlines,AAL,66004,2022
AC2F18,N8840Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67493,2023
AC2F37,N8841L,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67492,2023
AC2F5A,N8842L,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67793,2023
AC2F83,N8843S,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67491,2023
AC2FA4,N8844Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67488,2023
AC2FC3,N8845L,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67794,2023
AC2FEA,N8846Q,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67490,2023
