ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
ACA23B,N913EG,SR20,Cirrus,SR20,Cirrus SR20,1,Private,,9152,2023
ACA2AE,N913JX,E145,Embraer,ERJ-145LR,Embraer ERJ-145LR,0,JSX,JSX,145558,2002
ACA665,N914JX,E145,Embraer,ERJ-145LR,Embraer ERJ-145LR,0,JSX,JSX,145595,2002
ACA685,N914LD,F2TH,Dassault,Falcon 2000EX,Dassault Falcon 2000EX,1,Private,,25,2003
ACA6C9,N914NX,E550,Embraer,EMB-550 Praetor 600,Embraer EMB-550 Praetor 600,1,Private,,55020190,2023
ACA794,N914X,GLF5,Gulfstream Aerospace,G550,Gulfstream Aerospace G550,0,Solairus Aviation,TWY,5503,2014
ACA82D,N9142H,M20P,Mooney,M-20J 201,Mooney M-20J 201,1,Private,,24-3381,1996
ACAA06,N915J,E190,Embraer,Lineage 1000,Embraer Lineage 1000,1,Private,,19000204,
ACAA1C,N915JX,E145,Embraer,ERJ-145LR,Embraer ERJ-145LR,0,JSX,JSX,145603,2002
ACAAAD,N915QS,C68A,Cessna,680A Citation Latitude,Cessna 680A Citation Latitude,0,NetJets,EJA,680A0336,2022
ACAB3C,N915WK,E55P,Embraer,Phenom 300,Embraer Phenom 300,1,Private,,50500021,
ACACF6,N916AA,GLF6,Gulfstream Aerospace,G650ER,Gulfstream Aerospace G650ER,1,Private,,6505,2022
ACAD03,N916AP,R44,Robinson,R44 Raven II,Robinson R44 Raven II,1,Private,,11216,2006
ACADD3,N916JX,E145,Embraer,ERJ-145LR,Embraer ERJ-145LR,0,JSX,JSX,145611,2002
