ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
ACE354,N93AD,P46T,Piper,PA-46-500TP Malibu Meridian,Piper PA-46-500TP Malibu Meridian,1,Private,,4697291,2007
ACE4AA,N93PW,SR22,Cirrus,SR-22,Cirrus SR-22,1,Private,,8796,2022
ACE4D9,N93RT,S76,Sikorsky,S-76D,Sikorsky S-76D,1,Private,,761006,2023
ACE64A,N930GL,GLF6,Gulfstream,G650,Gulfstream G650,1,Private,,6128,2015
ACE764,N930TT,TBM9,SOCATA,TBM-930,SOCATA TBM-930,1,Private,,1228,2018
ACE96A,N931AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,43353,2021
ACE974,N931AV,A20N,Airbus,A320-251N,Airbus A320-251N,0,Avianca,AVA,11714,2023
ACEA3E,N931JX,E145,Embraer,ERJ-145LR,Embraer ERJ-145LR,0,JSX,JSX,145612,2002
ACED21,N932AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,44089,2021
ACEDF0,N932JS,C680,Cessna,680 Citation Sovereign,Cessna 680 Citation Sovereign,0,flyExclusive,JRE,680-0135,2007
ACEDF5,N932JX,E145,Embraer,ERJ-145LR,Embraer ERJ-145LR,0,JSX,JSX,145630,2002
ACEEF5,N932VC,CL35,Bombardier,Challenger 350,Bombardier Challenger 350,0,Talon Air,TFF,20932,2022
