ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
AD4102,N953NK,A20N,Airbus,A320-271N,Airbus A320-271N,0,Spirit Airlines,NKS,10686,2022
AD4397,N954AV,A320,Airbus,A320-214,Airbus A320-214,0,Avianca,AVA,3699,2008
AD44B9,N954NK,A20N,Airbus,A320-271N,Airbus A320-271N,0,Spirit Airlines,NKS,10697,2022
AD4521,N954SP,GLEX,Bombardier,Global Express,Bombardier Global Express,0,TVPX Aircraft Solutions Inc Trustee,,9113,2002
AD4744,N955AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,63810,2022
AD474E,N955AV,A320,Airbus,A320-214,Airbus A320-214,0,Avianca,AVA,3835,2009
AD4870,N955NK,A20N,Airbus,A320-271N,Airbus A320-271N,0,Spirit Airlines,NKS,10812,2022
AD4AFB,N956AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,43360,2022
AD4B05,N956AV,A320,Airbus,A320-214,Airbus A320-214,0,Avianca,AVA,6050,2014
AD4C27,N956NK,A20N,Airbus,A320-271N,Airbus A320-271N,0,Spirit Airlines,NKS,10857,2022
AD4EBC,N957AV,A320,Airbus,A320-214,Airbus A320-214,0,Avianca,AVA,6057,2014
AD4FDE,N957NK,A20N,Airbus,A320-271N,Airbus A320-271N,0,Spirit Airlines,NKS,10899,2022
