ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
ADD0DD,N99FX,GLEX,Bombardier,BD-700-1A10 Global Express XRS,Bombardier BD-700-1A10 Global Express XRS,0,Flexjet,LXJ,9341,
ADD170,N99MU,SR22,Cirrus,SR-22,Cirrus SR-22,1,Private,,5144,2021
ADD2AD,N990AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,67424,2023
ADD3BB,N990ME,TBM9,Socata,TBM 960,Socata TBM 960,1,Private,,1466,
ADD3D9,N990NK,A20N,Airbus,A320-271N,Airbus A320-271N,0,Spirit Airlines,NKS,11859,2024
ADD790,N991NK,A20N,Airbus,A320-271N,Airbus A320-271N,0,Spirit Airlines,NKS,11862,2024
ADDA77,N992EB,C510,Cessna,510 Citation Mustang,Cessna 510 Citation Mustang,1,Private,,510-0409,2012
ADDB47,N992NK,A20N,Airbus,A320-271N,Airbus A320-271N,0,Spirit Airlines,NKS,11900,2024
ADDDFF,N993CE,F2TH,Dassault,Falcon 2000,Dassault Falcon 2000,1,Private,,208,2004
ADDE93,N993JC,E135,Embraer,Legacy,Embraer Legacy,0,ST Aerospace Resources,,14501064,2008
ADDEFE,N993NK,A20N,Airbus,A320-271N,Airbus A320-271N,0,Spirit Airlines,NKS,11902,2024
