ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
E80040,CC-DCB,A21N,Airbus,A321-251NX,Airbus A321-251NX,0,Sky Airline,SKU,10466,2021
E80041,CC-DCC,A21N,Airbus,A321-251NX,Airbus A321-251NX,0,Sky Airline,SKU,10456,2021
E80236,CC-COG,A320,Airbus,A320-233,Airbus A320-233,0,LATAM Chile,LAN,1491,2001
E80239,CC-COD,A320,Airbus,A320-233,Airbus A320-233,0,LATAM Chile,LAN,1332,2000
E8023A,CC-COE,A320,Airbus,A320-233,Airbus A320-233,0,LATAM Chile,LAN,1351,2000
E80246,CC-COH,A320,Airbus,A320-233,Airbus A320-233,0,LATAM Chile,LAN,1512,2001
E80247,CC-COI,A320,Airbus,A320-233,Airbus A320-233,0,LATAM Chile,LAN,1526,2001
E8024A,CC-COP,A320,Airbus,A320-233,Airbus A320-233,0,LATAM Chile,LAN,1858,1998
E8024C,CC-COQ,A320,Airbus,A320-233,Airbus A320-233,0,LATAM Chile,LAN,1877,2002
E80338,CC-AZU,A20N,Airbus,A320-251N,Airbus A320-251N,0,Sky Airline,SKU,10055,2020
E80339,CC-AZV,A20N,Airbus,A320-251N,Airbus A320-251N,0,Sky Airline,SKU,10111,2020
E8033B,CC-DBE,A20N,Airbus,A320-251N,Airbus A320-251N,0,Sky Airline,SKU,10226,2021
E8033C,CC-DBF,A20N,Airbus,A320-251N,Airbus A320-251N,0,Sky Airline,SKU,10034,2021
E8033D,CC-DBH,A20N,Airbus,A320-251N,Airbus A320-251N,0,Sky Airline,SKU,10123,2021
E8033E,CC-DBJ,A20N,Airbus,A320-251N,Airbus A320-251N,0,Sky Airline,SKU,10293,2021
E8033F,CC-DCA,A21N,Airbus,A321-251NX,Airbus A321-251NX,0,Sky Airline,SKU,10532,2021
E803CC,CC-DCU,RJ1H,British Aerospace,RJ-100,British Aerospace RJ-100,0,Aerovías DAP,DAP,3276,1995
E80419,CC-BAI,A320,Airbus,A320-233,Airbus A320-233,0,LATAM Chile,LAN,4543,2010
E8044B,CC-BGG,B789,Boeing,787-9 Dreamliner,Boeing 787-9 Dreamliner,0,LATAM Airlines,LAN,38461,2015
E8046A,CC-BLE,A320,Airbus,A320-214,Airbus A320-214,0,LATAM Chile,LAN,5845,2013
E80610,CC-AWQ,A20N,Airbus,A320-271N,Airbus A320-271N,0,JetSMART,JAT,10301,2021
E80611,CC-AWR,A20N,Airbus,A320-271N,Airbus A320-271N,0,JetSMART,JAT,10788,2022
E80615,CC-AWV,A20N,Airbus,A320-271N,Airbus A320-271N,0,JetSMART,JAT,11162,2022
