Code,Name,ICAO,IATA,PositioningFlightPattern,CharterFlightPattern
1B,Abacus International,,1B,,
1C,Electronic Data Systems,,1C,,
1D,Radixx Solutions International,,1D,,
1E,Travelsky Technology,,1E,,
1F,INFINI Travel Information,,1F,,
1G,Galileo International,,1G,,
1H,Siren-Travel,,1H,,
1M,JSC Transport Automated Information Systems,,1M,,
1N,Navitaire,,1N,,
1P,Worldspan,,1P,,
1Q,Sirena,,1Q,,
1R,Hainan Phoenix Information Systems,,1R,,
1S,Sabre,,1S,,
1Y,Electronic Data Systems,,1Y,,
2A,Deutsche Bahn,,2A,,
2C,SNCF,,2C,,
2H,Thalys,,2H,,
2R,VIA Rail Canada,,2R,,
2S,Star Equatorial Airlines,,2S,,
2V,Amtrak,,2V,,
4G,Advance Leasing Company,,4G,,
7A,Aztec Worldwide Airlines,,7A,,
7W,Wayraperú,,7W,,
8D,Servant Air,,8D,,
8Q,Princess Air,,8Q,,
8S,Scorpio Aviation,,8S,,
9O,National Airways Cameroon,,9O,,
AAB,Luxaviation Belgium,AAB,,,.*
AAC,Army Air Corps,AAC,,,
AAD,Mann Air Ltd,AAD,,,
AAE,Air Atlanta Europe,AAE,CT,,.*
AAG,Armenian Airlines,AAG,JI,,
AAH,Aloha Air Cargo,AAH,,,
AAI,Air Aurora,AAI,,,
AAJ,Alfa Airlines,AAJ,,,
AAK,Alaska Island Air,AAK,,,
AAL,American Airlines,AAL,AA,,
AAM,Aviation Management Corporation,AAM,,,
AAO,Alpha Aviation,AAO,,,.*
AAP,Arabasco Air Services,AAP,,,
AAQ,Copterline,AAQ,,,
AAR,Asiana Airlines,AAR,OZ,,
AAS,Askari Aviation,AAS,4K,,
AAT,Africa Airlines,AAT,,,
AAV,Pan Pacific Airlines,AAV,8Y,,
AAW,Afriqiyah Airways,AAW,8U,,
AAX,Advance Aviation,AAX,,,
AAY,Allegiant Air,AAY,G4,,
AAZ,Asian Air,AAZ,KJ,,
ABA,Aero-Beta,ABA,,,
ABB,Air Belgium,ABB,KF,,
ABC,OAG,ABC,CR,,
ABD,Air Atlanta Icelandic,ABD,CC,,
ABE,Aban Air,ABE,,,
ABF,Scanwings OY,ABF,,,
ABG,Royal Flight Airlines,ABG,RL,,.*
ABH,Hokuriki-Koukuu Company,ABH,,,
ABI,Antigua and Barbuda Airways,ABI,,,
ABJ,Abaeté Linhas Aéreas,ABJ,,,
ABK,Alberta Citylink,ABK,,,
ABL,Air Busan,ABL,BX,,
ABM,Aero Albatros,ABM,,,
ABN,Air Albania,ABN,ZB,,
ABO,APSA Colombia,ABO,,,
ABP,ABS Jets,ABP,,,
