Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
1AK0,Craig Cg Heliport,1AK0,,Craig,US,55.475201,-133.145996,20
1AK1,Crevice Creek Airport,1AK1,,Crevice Creek,US,67.372902,-152.016006,840
1AK2,Crosswind Lake Airport,1AK2,,Crosswind Lake,US,62.400902,-146.013000,2125
1AK4,Kenai River Airpark,1AK4,,Soldotna,US,60.524200,-150.751999,200
1AK5,Offshore Systems-Kenai Heliport,1AK5,,Nikiski,US,60.739700,-151.307999,150
1AK6,Talachulitna River Airport,1AK6,,Sketna,US,61.852798,-151.408005,282
1AK7,Valdez Hospital Heliport,1AK7,,Valdez,US,61.136600,-146.345001,96
1AK8,Talaheim Airport,1AK8,,Skwentna,US,61.676899,-151.386993,610
1AK9,Tundra Copter Heliport,1AK9,,Fairbanks,US,64.815399,-147.862000,434
1AL0,Boaz-Albertville Medical Center Heliport,1AL0,,Boaz,US,34.220798,-86.160599,1000
1AL1,Decatur General Hospital Heliport,1AL1,,Decatur,US,34.590801,-86.972198,588
1AL2,Tri-L Acres Airport,1AL2,,Columbiana,US,33.248600,-86.597504,580
1AL3,Russell Lands Heliport,1AL3,,Our Town,US,32.795799,-85.974998,573
1AL4,Elsanor Airport,1AL4,,Robertsdale,US,30.544701,-87.559402,180
1AL5,Berry Field,1AL5,,Loxley,US,30.636400,-87.747803,170
1AL6,Monroe County Hospital Heliport,1AL6,,Monroeville,US,31.497801,-87.321098,425
1AL7,Business Center of Alabama Heliport,1AL7,,Montgomery,US,32.377499,-86.298302,403
1AL8,Moore Field,1AL8,,Moody,US,33.611099,-86.474403,730
1AL9,Lake Tuscaloosa Seaplane Base,1AL9,,Northport,US,33.347801,-87.601898,224
1AR0,Breckenridge Airport,1AR0,,Beedeville,US,35.398701,-91.133499,221
1AR1,Walls Airport,1AR1,,Coy,US,34.527199,-91.872704,215
1AR2,Taylor Airstrip,1AR2,,Des Arc,US,34.986801,-91.550301,208
1AR3,Bob Norman Airstrip,1AR3,,Des Arc,US,34.973202,-91.526001,208
1AR4,Foggy River Airport,1AR4,,Elkins,US,36.017899,-94.018402,1240
1AR5,Cherokee Strip,1AR5,,Gentry,US,36.299400,-94.584702,1194
1AR6,Diamond Bluff Airport,1AR6,,Greers Ferry,US,35.503300,-92.196701,1000
1AR7,Medical Park Hospital Heliport,1AR7,,Hope,US,33.648399,-93.584999,375
1AR8,Flying W Air Park Inc Airport,1AR8,,Lavaca,US,35.325699,-94.186798,420
1AR9,Country Air Estates Airport,1AR9,,Lonoke,US,34.813900,-92.000000,250
1AZ0,Mobile Airport,1AZ0,,Mobile,US,33.111900,-112.268997,1261
1AZ1,Boulais Heliport,1AZ1,,Tolleson,US,33.514999,-112.255997,1060
1AZ2,Paradise Air Park,1AZ2,,Tolleson,US,33.411701,-112.181999,1015
1AZ3,Arizona State Prison - Safford Heliport,1AZ3,,Safford,US,32.828899,-109.565002,3000
1AZ4,Schuff Aviation Heliport,1AZ4,,Phoenix,US,33.443298,-112.098999,1101
1AZ5,Redman Residence Heliport,1AZ5,,Tucson,US,32.268101,-110.707001,2860
1AZ6,Pulice Construction Heliport,1AZ6,,Phoenix,US,33.574100,-112.102997,1235
1AZ7,S R P Tolleson Center Heliport,1AZ7,,Tolleson,US,33.449799,-112.230003,1140
1AZ8,Willow Springs Ranch Airport,1AZ8,,Bullhead City,US,35.295799,-114.373001,3750
