Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
2MA2,Digital Heliport,2MA2,,Hudson,US,42.326500,-71.409500,450
2MA3,Rider Heliport,2MA3,,Ipswich,US,42.664299,-70.839798,40
2MA4,Compaq Littleton Heliport,2MA4,,Littleton,US,42.549301,-71.472603,300
2MA5,Compaq Powdermill Road Heliport,2MA5,,Maynard,US,42.427898,-71.457603,175
2MA7,Falls Pond Seaplane Base,2MA7,,North Attleborough,US,41.958401,-71.326401,175
2MA8,Compaq Stow Heliport,2MA8,,Stow,US,42.430901,-71.541702,250
2MA9,Digital Heliport,2MA9,,Tewksbury,US,42.639301,-71.224503,130
2MD0,Anderson Farm Airport,2MD0,,Marion,US,38.048698,-75.703499,8
2MD1,Recompense Farm Airport,2MD1,,Clements,US,38.308498,-76.724701,30
2MD2,Aerospace Tech Center Heliport,2MD2,,Columbia,US,39.236500,-76.826103,415
2MD3,Fly Away Farm Airport,2MD3,,Boyds,US,39.229000,-77.345333,501
2MD4,Ennis Aerodrome,2MD4,,Salisbury,US,38.394600,-75.557404,44
2MD5,Memorial Hospital of Cumberland Heliport,2MD5,,Cumberland,US,39.642899,-78.751099,900
2MD6,Cherry Field,2MD6,,Lexington Park,US,38.144001,-76.472198,8
2MD7,Maritime Institute Heliport,2MD7,,Linthicum Heights,US,39.211201,-76.671898,170
2MD8,Greater Gortner Airport,2MD8,,Oakland,US,39.333401,-79.441399,2500
2ME3,Charleston / Harte Field,2ME3,,Charleston,US,45.041350,-68.990021,230
2MI0,Woodside Airport,2MI0,,Chesaning,US,43.216702,-84.047203,615
2MI1,Blodgett Memorial Medical Center Heliport,2MI1,,Grand Rapids,US,42.953400,-85.622299,800
2MI2,St. Mary Hospital Heliport,2MI2,,Livonia,US,42.427799,-83.404099,665
2MI3,Larry D Boven Airport,2MI3,,Galesburg,US,42.312500,-85.463303,890
2MI4,Mc Jilton Field,2MI4,,St Louis,US,43.405602,-84.571404,729
2MI5,Somerville Airport,2MI5,,Ada,US,42.941700,-85.486397,660
2MI7,Flugplatz Airport,2MI7,,Lexington,US,43.346901,-82.552200,700
