Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
4GA0,Pegasus Run Airport,4GA0,,Ball Ground,US,34.280102,-84.421303,900
4GA1,Thacker Field,4GA1,,Concord,US,33.044800,-84.398300,920
4GA2,Medical College of Georgia Heliport,4GA2,,Augusta,US,33.471100,-81.988297,255
4GA3,Memorial Hospital Heliport,4GA3,,Bainbridge,US,30.903200,-84.551903,120
4GA4,R.M. Harris Airport,4GA4,,Eton,US,34.846699,-84.754700,770
4GA5,Southwire Heliport,4GA5,,Carrollton,US,33.566799,-85.070503,1094
4GA6,Chattahoochee Air Park,4GA6,,Douglasville,US,33.662102,-84.680496,750
4GA7,Kitchens Field,4GA7,,Griffin,US,33.134602,-84.254097,800
4GA8,Andrews Airport,4GA8,,Arlington,US,31.415501,-84.712997,245
4GA9,Ebeneezer Airport,4GA9,,Cumming,US,34.242298,-84.057098,1230
4GE0,Millhaven Airport,4GE0,,Millhaven,US,32.936001,-81.662102,164
4GE1,Viola Farm Airport,4GE1,,Attapulgus,US,30.723700,-84.541100,285
4GE2,Gorden E Bellah International Airport,4GE2,,Stockbridge,US,33.550098,-84.166603,780
4GE3,Whitehall Airport,4GE3,,Montrose,US,32.498889,-83.191667,350
