Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
4LA1,Chevron Fourchon Heliport,4LA1,,Leeville,US,29.006599,-90.195099,5
4LA2,Green Hill Compressors Heliport,4LA2,,Leeville,US,29.076099,-90.285103,3
4LA3,Jackson Airport,4LA3,,Jackson,US,30.807800,-91.213303,204
4LA5,La Haye Center Heliport,4LA5,,Lafayette,US,30.190701,-92.009003,120
4LA6,Little Lake Heliport,4LA6,,Lafitte,US,29.496901,-90.118103,10
4LA7,West Jefferson Medical Center Heliport,4LA7,,Marrero,US,29.894899,-90.094002,2
4LA8,Overton Private Airport,4LA8,,Clinton,US,30.707701,-90.874298,110
4LA9,Blouin Flightpark Ultralightport,4LA9,,Raceland,US,29.736300,-90.634201,10
4LL0,Ranken Airport,4LL0,,Steward,US,41.835899,-89.093399,785
4LL1,Staton Airport,4LL1,,Steward,US,41.854198,-89.087601,770
4LL2,Covenant Medical Center Heliport,4LL2,,Champaign,US,40.113098,-88.234200,728
4LL3,John L Coppernoll Airport,4LL3,,Stockton,US,42.308300,-89.983498,930
4LL4,Enjoy Field,4LL4,,Chebanse,US,40.975800,-87.998596,685
4LL7,Willadae Farms Airport,4LL7,,Sycamore,US,42.000000,-88.666801,850
4LL8,Colonial Acres Airport,4LL8,,Sycamore,US,42.002800,-88.645897,840
4LL9,Alan B. Janssen Airport,4LL9,,Morrisonville,US,39.343700,-89.423698,642
