Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
67AK,South Hollywood Airport,67AK,,Wasilla,US,61.534599,-149.669998,375
67AR,Wedington Woods Airport,67AR,,Fayetteville,US,36.097801,-94.307503,1090
67AZ,Good Samaritan Hospital Heliport,67AZ,,Phoenix,US,33.465000,-112.059998,1139
67CA,Chapman Farms Airport,67CA,,Chowchilla,US,37.072701,-120.377998,175
67CL,Davis Airport,67CL,,Colusa,US,39.201000,-122.049004,45
67CN,Pacific Gas & Electric Co Camp 5 Heliport,67CN,,Placerville,US,38.768501,-120.549004,3800
67CO,Highline Farm Airstrip,67CO,,Bracewell,US,40.471500,-104.813004,4745
67FD,Gulf Coast Hospital Heliport,67FD,,Fort Myers,US,26.544167,-81.850000,18
67FL,Myakka Head Airport,67FL,,Zolfo Springs,US,27.455601,-82.105003,80
67GA,Apalachee Bluff Airpark,67GA,,Monroe,US,33.859299,-83.587700,735
67II,Schoettmer Farm Airport,67II,,Greensburg,US,39.371399,-85.592201,875
67IL,Mitchell RLA Restricted Landing Area,67IL,,Marseilles,US,41.366699,-88.650101,705
67IN,Smitty's Soaring Airport,67IN,,Knox,US,41.236401,-86.594200,720
67IS,Wabash General Hospital Heliport,67IS,,Mount Carmel,US,38.421398,-87.769501,469
67KS,Montezuma Coop Airport,67KS,,Montezuma,US,37.587502,-100.434998,2780
67KY,Estes Airport,67KY,,Florence,US,38.983398,-84.666100,890
67LA,Transcontinental Gas Pipeline Corp Heliport,67LA,,Baton Rouge,US,30.462999,-91.113998,50
67LL,County Poor Farm Airport,67LL,,Oregon,US,41.990299,-89.331497,695
67ME,Station-Kel Heliport,67ME,,Westbrook,US,43.722825,-70.346667,246
67MN,Pagel's Field,67MN,,Atwater,US,45.201900,-94.801102,1170
67MO,Ski Harbor Airport,67MO,,Pittsburg,US,37.810902,-93.369904,906
67NC,Hightower Areo Plantation Airport,67NC,,Wadesboro,US,34.970001,-80.028900,395
67ND,Waldie Farms Airport,67ND,,Marion,US,46.543301,-98.382301,1456
67NE,L J Bose Airstrip,67NE,,Orleans,US,40.137001,-99.498398,2000
67NJ,Mount Pleasant Landing Strip,67NJ,,Hainesburg,US,40.969799,-75.066803,800
67NY,Ultralight Port Ultralightport,67NY,,Little Valley,US,42.293098,-78.790001,1860
67OG,George Airport,67OG,,Sheridan,US,45.031389,-123.406111,440
67OH,Harper Ridge Airport,67OH,,Solon,US,41.413898,-81.452599,1235
67OI,Northside & Tod Children's Hospital Heliport,67OI,,Youngstown,US,41.099201,-80.650398,1140
67OK,Flying J Ranch Airport,67OK,,Peggs,US,36.033100,-95.078003,990
67OR,Mc Gee Airport,67OR,,Donald,US,45.233700,-122.856003,175
67PA,West Company Heliport,67PA,,Williamsport,US,41.166698,-76.916397,595
67PN,Masser Field,67PN,,Sacramento,US,40.633400,-76.596901,720
67TA,Tips Jewels Heliport,67TA,,Bulverde,US,29.656099,-98.455299,1120
67TE,Fisher Ranch Airport,67TE,,Killeen,US,30.949600,-97.796700,870
67TS,Aldine Heliport,67TS,,Houston,US,29.927999,-95.355797,88
67TX,Old Hoppe Place Airport,67TX,,Agua Dulce,US,27.800301,-97.851196,96
67VA,Karmy's Airport,67VA,,Woodstock,US,38.837601,-78.519501,890
67WA,Page Airport,67WA,,Walla Walla,US,46.016499,-118.371002,800
67WI,Accurate Airport,67WI,,Necedah,US,43.971100,-89.997101,890
67XS,Knapp Medical Center Heliport,67XS,,Weslaco,US,26.152472,-97.978806,78
