Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
6KS0,Republic County Hospital Heliport,6KS0,,Belleville,US,39.817799,-97.637299,1470
6KS1,Quinter Air Strip,6KS1,,Quinter,US,39.070599,-100.250000,2681
6KS2,Stevenson Private Airport,6KS2,,Selden,US,39.441700,-100.629997,2940
6KS3,Walker Strip,6KS3,,Sharon Springs,US,38.845600,-101.748001,3670
6KS4,Bussen Airport,6KS4,,Sharon Springs,US,38.905300,-101.783997,3475
6KS5,Yeamans Fox Nest Airport,6KS5,,Pleasanton,US,38.224998,-94.664497,782
6KS6,Kiowa Airport,6KS6,,Kiowa,US,37.015301,-98.495903,1333
6KS7,Shute Airport,6KS7,,Lebanon,US,39.984501,-98.510300,1960
6KS8,Mary's Place Airport,6KS8,,Emporia,US,38.383598,-96.146103,1138
6KS9,Providence Medical Center Heliport,6KS9,,Kansas City,US,39.126900,-94.787697,986
6KY3,Flying C Farms Airport,6KY3,,Shelbyville,US,38.328611,-85.214167,850
6KY4,Adair Airport,6KY4,,Fountain Run,US,36.753333,-85.953889,870
6KY6,Jeffries Farm Airport,6KY6,,Louisville,US,38.360600,-85.363098,803
6KY7,Alexander Field,6KY7,,Hickman,US,36.523000,-89.051693,445
