Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
8FA0,Lake Gibson Seaplane Base,8FA0,,Lakeland,US,28.108601,-81.958702,142
8FD1,Buckner Airport,8FD1,,Mc Alpin,US,30.098801,-82.927597,90
8FD2,The Flying Horseman Airport,8FD2,,Melrose,US,29.715200,-82.094299,192
8FD3,Blackwater Airfield,8FD3,,Munson,US,30.877701,-86.854401,200
8FD4,Wuesthoff Hospital Emergency Heliport,8FD4,,Rockledge,US,28.336100,-80.730301,100
8FD5,Lykes Brighton Airport,8FD5,,Okeechobee,US,27.188900,-81.086998,30
8FD7,Lucerne Medical Center Heliport,8FD7,,Orlando,US,28.530800,-81.378700,117
8FD8,Bayflite One Heliport,8FD8,,Odessa,US,28.193899,-82.620598,55
8FD9,Colony Heliport,8FD9,,La Belle,US,26.753099,-81.385101,17
8FL0,Hutson Airfield,8FL0,,Hastings,US,29.728001,-81.439796,50
8FL1,Mc Donald's Field,8FL1,,Arcadia,US,27.197001,-81.915604,54
8FL2,Norton Airport,8FL2,,Belleview,US,29.001101,-82.100601,67
8FL3,Back Achers Airport,8FL3,,Belleview,US,29.073000,-81.999496,90
8FL4,Bay Medical Center Heliport,8FL4,,Panama City,US,30.157801,-85.649399,30
8FL5,Dancing Oaks Heliport,8FL5,,Bartow,US,27.948400,-81.863503,107
8FL6,George T Mc Cutchan Airport,8FL6,,Harold,US,30.673500,-86.851898,160
8FL7,Capra Farms Heliport,8FL7,,Gainesville,US,29.685499,-82.475899,175
8FL8,Jacksonville Police Heliport,8FL8,,Jacksonville,US,30.325199,-81.651199,77
8FL9,Burnt Store Road Heliport,8FL9,,Punta Gorda,US,26.846631,-82.022228,9
