Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
8TA0,John B Connally Ranch Airport,8TA0,,Floresville,US,29.135799,-98.276398,530
8TA1,Whatley Flying Service Airport,8TA1,,Seadrift,US,28.478100,-96.761902,20
8TA2,Department of Public Safety Heliport,8TA2,,Sherman,US,33.650398,-96.609398,725
8TA3,Flying X River Ranch Airport,8TA3,,Spicewood,US,30.516899,-98.174202,820
8TA4,Laseair Airport,8TA4,,Texas City,US,29.445499,-95.007698,12
8TA5,Short Stop Airport,8TA5,,Farmersville,US,33.163200,-96.322197,645
8TA6,Hyco Heliport Nr 3 Heliport,8TA6,,Beaumont,US,30.146900,-94.178001,30
8TA7,Stark Field,8TA7,,Granbury,US,32.569599,-97.753098,900
8TA8,Bufords Field,8TA8,,Huntington,US,31.169100,-94.532402,200
8TA9,Star Dusters Airport,8TA9,,Washington,US,30.635799,-92.058403,37
8TE0,Gillingham Airport,8TE0,,Floresville,US,29.139099,-98.113297,450
8TE1,Wall Flying Service Airport,8TE1,,Floresville,US,29.018000,-98.206703,440
8TE2,J-Bar Ranch Airport,8TE2,,Crane,US,31.527901,-102.528000,2667
8TE3,Lopez Ranch Airport,8TE3,,Fort Mc Kavett,US,30.718201,-100.081001,2318
8TE4,H & F Properties Airport,8TE4,,Crystal City,US,28.815001,-99.758102,640
8TE5,Mt Vernon Medical Center Heliport,8TE5,,Mount Vernon,US,33.176201,-95.235802,482
8TE6,"Faith Cattle Company, Longfellow Ranch Airport",8TE6,,Fort Stockton,US,30.300200,-102.717003,3900
8TE7,Carter Ranch STOLport,8TE7,,Fredericksburg,US,30.320801,-98.912804,1840
8TE8,Tradewind Agricultural Airport,8TE8,,El Campo,US,29.162800,-96.225197,95
8TE9,Mc Gill Ranch Heliport,8TE9,,Harris,US,29.891199,-95.732697,118
8TN0,Le Bonheur Medical Center Heliport,8TN0,,Memphis,US,35.000099,-90.033699,300
8TN1,Parker Airport,8TN1,,Eads,US,35.196400,-89.626900,375
8TN2,Pleasant Grove Airpark,8TN2,,Shelbyville,US,35.398899,-86.553902,850
8TN3,Raby Airpark,8TN3,,Farragut,US,35.841702,-84.181099,830
8TN4,Flaglor Airport,8TN4,,Mosheim,US,36.244701,-82.968903,1135
8TN5,Nobuzzn Airport,8TN5,,Springfield,US,36.486401,-86.911102,650
8TN6,Baker Field,8TN6,,Murfreesboro,US,35.921101,-86.344704,560
8TN7,Short Creek Airport,8TN7,,Dover,US,36.400799,-87.991699,390
8TN8,Field of Dreams Ultralightport,8TN8,,Burlison,US,35.541698,-89.871399,250
8TN9,Bull Run Airport,8TN9,,Covington,US,35.515598,-89.677803,376
8TS0,Hamilton Ranch Airport,8TS0,,Bruni,US,27.553101,-98.732201,698
8TS1,Retta Airport,8TS1,,Burleson,US,32.541801,-97.241997,700
8TS2,Henrietta Airport,8TS2,,Henrietta,US,33.783401,-98.217003,932
8TS3,Bruner Airport,8TS3,,Latexo,US,31.390200,-95.473297,387
8TS4,Memorial City General Hospital Heliport,8TS4,,Houston,US,29.781601,-95.545502,88
8TS5,Stol Field,8TS5,,Joshua,US,32.467899,-97.368301,908
8TS6,Moore Airport,8TS6,,Kaufman,US,32.533199,-96.322502,418
8TS7,Wyatt 3-Rivers Airport,8TS7,,Glen Rose,US,32.244900,-97.726097,615
8TS8,Rnk Ranch Airport,8TS8,,Del Rio,US,29.917400,-100.913002,1945
8TS9,Strait Ranch Airport,8TS9,,Encinal,US,28.139999,-99.570297,620
8TX0,Hub Field,8TX0,,Jewett,US,31.429600,-96.130203,400
8TX1,Medical Emergency Gbc Heliport,8TX1,,Gun Barrel City,US,32.334900,-96.113297,395
8TX2,Freeman Ranch Airport,8TX2,,Rocksprings,US,29.978500,-100.202003,2380
8TX3,Edwards Airport,8TX3,,Goldthwaite,US,31.342899,-98.615601,1300
8TX4,Sartor Heliport,8TX4,,Willis,US,30.375799,-95.557404,203
8TX5,Texaco Chemical Company-East Heliport,8TX5,,Port Neches,US,29.962400,-93.932098,14
8TX6,Harper Airport,8TX6,,Palmer,US,32.427601,-96.716904,510
8TX7,Skyhaven Airport,8TX7,,Houston,US,29.833599,-95.148499,40
8TX8,Weeks Airport,8TX8,,Premont,US,27.360901,-98.179497,190
8TX9,North Texas Medical Center Heliport,8TX9,,Gainesville,US,33.645475,-97.163525,780
