Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
9XS0,Dobbs Ranch Airport,9XS0,,Yoakum,US,29.098000,-96.955299,170
9XS1,The Landing Airport,9XS1,,Hill,US,31.835600,-96.952797,570
9XS2,Beaver Creek Airport,9XS2,,Sherman,US,33.654263,-96.776360,708
9XS3,Macy Ranch Airport,9XS3,,Post,US,33.103401,-101.464996,2870
9XS4,Mc Keon Aviation Airport,9XS4,,Denison,US,33.734299,-96.626701,750
9XS5,Kitten Farm Private Airport,9XS5,,Slaton,US,33.350101,-101.641998,3050
9XS6,Sudan Airport,9XS6,,Sudan,US,34.053101,-102.522003,3769
9XS7,Reeder Airport,9XS7,,Lone Oak,US,32.947102,-95.958603,530
9XS8,Goodson Honda Heliport,9XS8,,Houston,US,30.000000,-95.425797,115
9XS9,Rancho Verde Airport,9XS9,,Brenham,US,30.283300,-96.447502,275
