Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
CBA8,Beaverley Airport,CBA8,,Beaverley,CA,53.855598,-122.907997,2420
CBA9,Ospika Airport,CBA9,,Ospika,CA,56.275002,-124.052002,2300
CBB2,Campbell River (West Coast) Heliport,CBB2,,Campbell River,CA,50.046398,-125.252998,7
CBB5,Port Alice (Hospital) Heliport,CBB5,,Port Alice,CA,50.425742,-127.488433,50
CBB7,Tipella Airport,CBB7,,Tipella,CA,49.743099,-122.163002,55
CBB9,Osoyoos Airport,CBB9,,Osoyoos,CA,49.037201,-119.488998,1100
CBBC,Bella Bella (Campbell Island) Airport,CBBC,,Bella Bella,CA,52.185001,-128.156998,141
CBC2,Ford Bay Airport,CBC2,,Ford Bay,CA,66.037498,-124.714996,673
CBC4,Kamloops (Royal Inland Hospital) Heliport,CBC4,,Kamloops,CA,50.669029,-120.333158,1349
CBC5,Victoria (BC Hydro) Heliport,CBC5,,Victoria,CA,48.490004,-123.390292,40
CBC6,Calgary / Blue-Con Heliport,CBC6,,Calgary,CA,50.996964,-113.893889,3440
CBC7,Harbour (Public) Heliport,CBC7,,Vancouver,CA,49.286892,-123.106112,2
CBC8,Tofino (Hospital) Heliport,CBC8,,Tofino,CA,49.151100,-125.908997,50
CBC9,Burgeo (Calder Health Care Corp) Heliport,CBC9,,Burgeo,CA,47.613179,-57.623999,100
CBD2,Delta (North) Heliport,CBD2,,Vancouver,CA,49.119961,-123.047268,10
CBD5,Takla Narrows Airport,CBD5,,Takla Narrows,CA,55.163549,-125.706124,2380
CBD6,Nahanni Butte Airport,CBD6,,Nahanni Butte,CA,61.029701,-123.389000,600
CBD9,White Saddle Ranch Heliport,CBD9,,White Saddle Ranch,CA,51.733299,-124.733002,2925
CBE2,Elko Airport,CBE2,,Elko,CA,49.283298,-115.150002,2850
CBE3,Beamsville/Panterra Heliport,CBE3,,Beamsville,CA,43.186553,-79.474245,300
CBE9,Whistler (Municipal) Heliport,CBE9,,Whistler,CA,50.168377,-122.904754,2116
CBF4,Mission (Public Safety) Heliport,CBF4,,Mission,CA,49.132754,-122.343615,85
CBF5,Mayne Island (Medical Emergency) Heliport,CBF5,,Mayne Island,CA,48.846510,-123.283568,100
CBF6,Seal Cove (Public) Heliport,CBF6,,Prince Rupert,CA,54.330002,-130.278000,17
CBF7,Victoria Harbour (Camel Point) Heliport,CBF7,,Victoria,CA,48.418098,-123.388000,15
