Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
CFA4,Carcross Airport,CFA4,,Carcross,CA,60.174198,-134.697998,2161
CFA5,Grande Airport,CFA5,,Grande,CA,56.299999,-112.233002,1750
CFA7,Taltheilei Narrows Airport,CFA7,,Taltheilei Narrows,CA,62.598099,-111.542999,570
CFA8,Three Hills (Hospital) Heliport,CFA8,,Three Hills,CA,51.708802,-113.252016,3000
CFB2,Frank Channel (Forestry) Heliport,CFB2,,Frank Channel,CA,62.786098,-115.945999,520
CFB3,Hespero Airport,CFB3,,Hespero,CA,52.299999,-114.463997,3175
CFB4,Trout Lake Airport,CFB4,,Trout Lake,CA,56.500000,-114.550003,2290
CFB5,Namur Lake Airport,CFB5,,Namur Lake,CA,57.383301,-112.800003,2560
CFB6,Edmonton / Josephburg Airport,CFB6,,Edmonton,CA,53.727998,-113.086567,2069
CFB7,Steen River Airport,CFB7,,Steen River,CA,59.633301,-117.167000,996
CFC4,Macmillan Pass Airport,CFC4,XMP,Macmillan Pass,CA,63.181099,-130.201996,3810
CFC6,Rockyford Airport,CFC6,,Rockyford,CA,51.266701,-113.116997,2860
CFC7,Rimbey Airport,CFC7,,Rimbey,CA,52.681900,-114.237999,2963
CFD4,Foremost Airport,CFD4,,Foremost,CA,49.483101,-111.494003,2909
CFD5,Grimshaw Airport,CFD5,,Grimshaw,CA,56.196110,-117.625278,2050
CFD8,Fort Simpson (Great Slave No. 2) Heliport,CFD8,,Fort Simpson,CA,61.836920,-121.325728,480
CFD9,Bjorgum Farm Airport,CFD9,,Bjorgum Farm,CA,53.083302,-112.803001,2415
CFE6,St. Francis Airport,CFE6,,St. Francis,CA,53.275600,-114.449997,2649
CFE7,Kananaskis Village Helistop,CFE7,,Kananaskis Village,CA,50.922798,-115.143997,5027
CFF2,Christina Basin Airport,CFF2,,Christina Basin,CA,55.590000,-111.822998,2365
CFF3,Jean Lake Airport,CFF3,,Jean Lake,CA,57.483299,-113.883003,2370
CFF4,Great Bear Lake Airport,CFF4,DAS,Great Bear Lake,CA,66.703102,-119.707001,562
CFF7,Wainwright / Camp Wainwright Field,CFF7,,Wainwright,CA,52.827934,-110.904279,2170
CFF9,Marek Farms Airport,CFF9,,Marek Farms,CA,53.031399,-112.778000,2449
CFG3,Consort Airport,CFG3,,Consort,CA,52.016701,-110.750000,2499
CFG4,Debolt Airport,CFG4,,Debolt,CA,55.233299,-118.032997,2120
CFG5,John D'Or Prairie Airport,CFG5,,John D'Or Prairie,CA,58.491402,-115.138000,950
CFG6,Fort Mackay / Firebag,CFG6,YFI,Suncor Energy Site,CA,57.275833,-110.976667,1762
CFG7,Steen Tower Airport,CFG7,,Steen Tower,CA,59.633301,-117.782997,2320
CFH4,Fox Harbour Airport,CFH4,,Fox Harbour,CA,45.869999,-63.461102,62
CFH7,Edmonton (Royal Alexandra Hospital) Heliport,CFH7,,Edmonton,CA,53.557909,-113.496559,2247
CFH8,Warburg / Zajes Airport,CFH8,,Warburg,CA,53.217778,-114.336605,2530
CFJ2,Wekweètì Airport,CFJ2,,Wekweètì,CA,64.190804,-114.077003,1208
CFJ7,Fort St. John (Hospital) Heliport,CFJ7,,Fort St. John,CA,56.246700,-120.842003,2304
CFK2,Bashaw Airport,CFK2,,Bashaw,CA,52.557499,-112.964996,2610
CFK3,Fontas Airport,CFK3,,Fontas,CA,57.799999,-119.449997,2950
CFK4,Calling Lake Airport,CFK4,,Calling Lake,CA,55.316700,-113.250000,2092
CFK6,Olds (Netook) Airport,CFK6,,Olds,CA,51.849998,-114.067001,3330
CFL2,Empress McNeill Spectra Energy Airport,CFL2,,Empress,CA,50.682499,-110.042000,2395
CFL3,Black Diamond (Oilfields General Hospital) Heliport,CFL3,,Black Diamond,CA,50.678902,-114.234001,3906
CFL9,Johnson Lake Airport,CFL9,,Johnson Lake,CA,57.566700,-110.317001,2000
CFM2,Birch Mountain Airport,CFM2,,Birch Mountain,CA,57.700001,-111.833000,2600
CFM4,Donnelly Airport,CFM4,,Donnelly,CA,55.709400,-117.094002,1949
CFM5,Hamburg Airport,CFM5,,Apache,CA,57.355284,-119.765310,2540
CFM6,Teepee Airport,CFM6,,Teepee,CA,56.459400,-114.119003,2565
CFM7,Boyle Airport,CFM7,,Boyle,CA,54.573299,-112.820000,2154
CFM8,Fort Macleod (Alcock Farm) Airport,CFM8,,Fort Macleod,CA,49.583302,-113.300003,3340
CFM9,Fort Macleod (Hospital) Heliport,CFM9,,Fort Macleod,CA,49.725766,-113.392178,3095
CFN2,Fort Nelson (Mile 301) Heliport,CFN2,,Fort Nelson,CA,58.805852,-122.728829,1400
CFN4,Embarras Airport,CFN4,,Embarras,CA,58.204749,-111.383901,778
CFN5,La Crete Airport,CFN5,,La Crete,CA,58.172875,-116.337919,1046
CFN7,Sundre Airport,CFN7,,Sundre,CA,51.774200,-114.677002,3656
CFN8,Fort Nelson (Guardian) Heliport,CFN8,,Fort Nelson,CA,58.752201,-122.686996,1292
CFP3,Calgary (Foothills Hospital) Heliport,CFP3,,Calgary,CA,51.065572,-114.133188,3635
CFP4,Mcquesten Airport,CFP4,,Mcquesten,CA,63.599998,-137.567001,1500
CFP5,Glendon Airport,CFP5,,Glendon,CA,54.270802,-111.067001,1835
CFP6,La Biche River Airport,CFP6,,La Biche River,CA,60.129200,-124.049004,1356
CFP7,Wainwright Field 21 Airport,CFP7,,Wainwright,CA,52.830601,-111.100998,2260
CFP8,Whitehorse / Cousins Airport,CFP8,,Whitehorse,CA,60.811734,-135.182133,2200
CFQ2,Calgary (Westport) Heliport,CFQ2,,Calgary,CA,51.036701,-114.195999,3983
CFQ3,Milk River (Madge) Airport,CFQ3,,Milk River,CA,49.144699,-112.084000,3400
CFQ4,Cheadle Airport,CFQ4,,Cheadle,CA,51.057499,-113.624001,3300
CFQ5,Silver City Airport,CFQ5,,Silver City,CA,61.028900,-138.408005,2570
CFQ6,Pelly Crossing Airport,CFQ6,,Pelly Crossing,CA,62.837200,-136.535004,1870
CFQ7,Edmonton / Gartner Airport,CFQ7,,Edmonton,CA,53.281700,-113.455002,2390
CFR2,Bawlf (Blackwells) Airport,CFR2,,Bawlf,CA,52.900002,-112.550003,2325
CFR5,Alban Airport,CFR5,,French River,CA,46.089699,-80.604401,700
CFR7,Red Deer Forestry Airport,CFR7,,Red Deer Forestry,CA,51.651402,-115.238998,4646
CFS4,Ogilvie River Airport,CFS4,,Ogilvie River,CA,65.666702,-138.117004,1640
CFS5,Spirit River Airport,CFS5,,Spirit River,CA,55.783600,-118.839996,2044
CFS6,Loon River Airport,CFS6,,Loon River,CA,57.141899,-115.074997,1550
CFS7,Twin Creeks Airport,CFS7,,Twin Creeks,CA,62.619400,-131.279007,2913
CFS8,Clearwater River Airport,CFS8,,Clearwater River,CA,51.988098,-115.227997,4100
CFS9,Vancouver (Vancouver Film Studios) Heliport,CFS9,,Vancouver,CA,49.260878,-123.028082,50
CFT2,Wilderman Farm Airport,CFT2,,Blackie,CA,50.552435,-113.583183,3350
CFT3,Finlayson Lake Airport,CFT3,,Finlayson Lake,CA,61.691399,-130.774002,3094
CFT5,Hyland Airport,CFT5,,Hyland,CA,61.523899,-128.268997,3000
CFT8,Pelican Airport,CFT8,,Pelican,CA,56.160801,-113.473999,2059
CFT9,Zama Lake Airport,CFT9,,Zama Lake,CA,59.063900,-118.889999,1242
CFU3,Chipman Airport,CFU3,,Chipman,CA,53.716702,-112.633003,2195
CFU4,Garden River Airport,CFU4,,Garden River,CA,58.713902,-113.875999,790
CFU8,Irma Airport,CFU8,,Irma,CA,52.912201,-111.174004,2230
CFU9,Olds (Hospital) Heliport,CFU9,,Olds,CA,51.801408,-114.116887,3360
CFV2,Beiseker Airport,CFV2,,Beiseker,CA,51.393299,-113.472000,3036
CFV3,Mobil Bistcho Airport,CFV3,,Mobil Bistcho,CA,59.474733,-119.006138,2000
CFV6,Margaret Lake Airport,CFV6,,Margaret Lake,CA,58.945802,-115.256538,2750
