Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
DE00,Doyle's Airport,DE00,,Felton,US,39.020699,-75.577103,51
DE01,Eagle Run Heliport,DE01,,Christiana,US,39.661201,-75.682999,75
DE02,Delaware State Police Heliport,DE02,,Dover,US,39.200100,-75.532997,50
DE03,Dover Downs Helistop,DE03,,Dover,US,39.183399,-75.524597,28
DE04,Newberg Airport,DE04,,Smyrna,US,39.291698,-75.574997,20
DE05,Wilmington Country Club Heliport,DE05,,Greenville,US,39.800098,-75.616302,360
DE06,Delaware Museum Heliport,DE06,,Greenville,US,39.792599,-75.613503,353
DE07,Flying C Airport,DE07,,Hartly,US,39.144299,-75.691299,70
DE08,Barcroft Company Heliport,DE08,,Lewes,US,38.781502,-75.105202,8
DE09,Johnsons Airport,DE09,,Magnolia,US,39.068199,-75.488503,43
DE10,Kimbowrosa Farm Airport,DE10,,Milford,US,38.966801,-75.466301,40
DE11,Drummond Airport,DE11,,Milford,US,38.905701,-75.401001,33
DE12,Owens Field,DE12,,Ellendale,US,38.805698,-75.412697,50
DE14,Huey Airport,DE14,,Bridgeville,US,38.743999,-75.534897,45
DE15,Pevey Airport,DE15,,Seaford,US,38.612598,-75.699699,40
DE16,Rollins Building Heliport,DE16,,Wilmington,US,39.783401,-75.549599,595
DE17,Sugar Hill Airport,DE17,,Greenwood,US,38.777901,-75.583298,45
DE18,Strawbridge Christiana Mall Heliport,DE18,,Christiana,US,39.679298,-75.678802,108
DE19,Duffy's Airport,DE19,,Townsend,US,39.325802,-75.741600,69
DE20,Spirit Airpark,DE20,,Townsend,US,39.373600,-75.745796,80
DE21,West Private Airport,DE21,,Roxana,US,38.517300,-75.165497,21
DE22,Del-Mar Ford Heliport,DE22,,Cheswold,US,39.216801,-75.583000,55
DE23,Ockel Farms Airport,DE23,,Milton,US,38.750301,-75.360001,47
DE24,Elliott Heliport,DE24,,Dover,US,39.111500,-75.505501,25
DE25,Eagle Crest-Hudson Airport,DE25,,Milton,US,38.776100,-75.233597,28
DE26,Christina Hospital Heliport,DE26,,Newark,US,39.687599,-75.667198,89
DE27,Warrington Field,DE27,,Selbyville,US,38.462601,-75.174896,26
DE28,A.I.Dupont Institute Heliport,DE28,,Wilmington,US,39.779999,-75.555496,327
DE29,Scotty's Place Airport,DE29,,Smyrna,US,39.375099,-75.644096,40
DE30,Bracebridge Iii Heliport,DE30,,Wilmington,US,39.735600,-75.535301,125
DE31,Greenville Heliport,DE31,,Wilmington,US,39.766701,-75.583298,80
DE32,Belfair Airport,DE32,,Felton,US,38.974998,-75.616699,64
DE33,Okolona Plantation Airport,DE33,,Middletown,US,39.482800,-75.697502,61
DE34,Townsend A Airport,DE34,,Townsend,US,39.414299,-75.663002,65
DE49,Josephs Airport,DE49,,Georgetown,US,38.637600,-75.355202,42
