Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
FZAA,Ndjili International Airport,FZAA,FIH,Kinshasa,CD,-4.385750,15.444600,1027
FZAD,Celo Zongo Airport,FZAD,,Celo Zongo,CD,-4.783000,14.917000,1660
FZAE,Kimpoko Airport,FZAE,,Kimpoko,CD,-4.217000,15.567000,1017
FZAF,Nsangi Airport,FZAF,,Nsangi,CD,-5.600000,15.317000,2297
FZAH,Tshela Airport,FZAH,,Tshela,CD,-4.983000,12.933000,361
FZAJ,Boma Airport,FZAJ,BOA,Boma,CD,-5.854000,13.064000,26
FZAL,Luozi Airport,FZAL,LZI,Luozi,CD,-4.950000,14.133000,722
FZAM,Tshimpi Airport,FZAM,MAT,Matadi,CD,-5.799610,13.440400,1115
FZAN,Inga Airport,FZAN,,Inga,CD,-5.531670,13.579400,741
FZAP,Lukala Airport,FZAP,,Lukala,CD,-5.517000,14.500000,1312
FZAR,Nkolo Fuma Airport,FZAR,NKL,Nkolo Fuma,CD,-5.450000,14.833000,1476
FZAS,Inkisi Airport,FZAS,,Inkisi,CD,-5.167000,15.000000,1968
FZAU,Konde Airport,FZAU,,Konde,CD,-5.750000,12.250000,7
FZAW,Kwilu-Ngongo Airport,FZAW,,Kwilu-Ngongo,CD,-5.500000,14.700000,1296
FZAX,Luheki Airport,FZAX,,Luheki,CD,-4.850000,13.767000,984
FZAY,Mvula Sanda Airport,FZAY,,Mvula Sanda,CD,-5.633000,13.417000,1148
FZBA,Inongo Airport,FZBA,INO,Inongo,CD,-1.947220,18.285801,1040
FZBB,Bongimba Airport,FZBB,,Bongimba,CD,-3.383000,20.000000,1476
FZBC,Bikoro Airport,FZBC,,Bikoro,CD,-0.733000,18.132999,1312
FZBD,Oshwe Airport,FZBD,,Oshwe,CD,-3.383000,19.500000,1542
FZBE,Beno Airport,FZBE,,Beno,CD,-3.600000,17.783001,1345
FZBF,Bonkita Airport,FZBF,,Bonkita,CD,-3.100000,18.733000,931
FZBG,Kempa Airport,FZBG,,Kempa,CD,-2.933000,18.400000,1148
FZBH,Isongo Airport,FZBH,,Isongo,CD,-1.400000,18.400000,1020
FZBI,Nioki Airport,FZBI,NIO,Nioki,CD,-2.717500,17.684700,1043
