Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
KF00,Jones Field,KF00,,Bonham,US,33.612801,-96.179298,618
KF01,Quanah Municipal Airport,KF01,,Quanah,US,34.277100,-99.759300,1602
KF02,Fairgrounds Airpark,KF02,,Hardin,US,45.724998,-107.600998,2911
KF05,Wilbarger County Airport,KF05,WIB,Vernon,US,34.225700,-99.283798,1265
KF06,Marian Airpark,KF06,,Wellington,US,34.845600,-100.195999,2008
KF08,Eufaula Municipal Airport,KF08,,Eufaula,US,35.295898,-95.625298,635
KF10,Henryetta Municipal Airport,KF10,,Henryetta,US,35.406898,-96.015800,849
KF14,Wichita Valley Airport,KF14,,Wichita Falls,US,33.947701,-98.616699,1005
KF17,Center Municipal Airport,KF17,,Center,US,31.831600,-94.156403,319
KF21,Memphis Municipal Airport,KF21,,Memphis,US,34.739601,-100.529999,2102
KF22,Perry Municipal Airport,KF22,,Perry,US,36.385601,-97.277199,1002
KF24,Minden Webster Airport,KF24,,Minden,US,32.646000,-93.298103,278
KF29,Clarence E Page Municipal Airport,KF29,,Oklahoma City,US,35.488098,-97.823601,1354
KF30,Sulphur Municipal Airport,KF30,,Sulphur,US,34.524502,-96.989700,1051
KF31,Lake Texoma State Park Airport,KF31,,Kingston,US,33.991001,-96.642799,693
KF32,Healdton Municipal Airport,KF32,,Healdton,US,34.249298,-97.473900,956
KF34,Firebaugh Airport,KF34,,Firebaugh,US,36.860001,-120.463997,157
KF35,Possum Kingdom Airport,KF35,,Graford,US,32.923199,-98.436401,1008
KF36,Cordell Municipal Airport,KF36,,Cordell,US,35.297600,-98.967400,1589
KF37,Carrizozo Municipal Airport,KF37,,Carrizozo,US,33.648899,-105.896004,5371
KF41,Ennis Municipal Airport,KF41,,Ennis,US,32.329700,-96.663902,500
KF43,El Dorado Downtown-Stevens field,KF43,,El Dorado,US,33.191200,-92.663200,256
KF44,Athens Municipal Airport,KF44,,Athens,US,32.163799,-95.828400,444
KF45,North Palm Beach County General Aviation Airport,KF45,,West Palm Beach,US,26.844400,-80.221298,22
KF46,Rockwall Municipal Airport,KF46,,Rockwall,US,32.930599,-96.435501,574
KF47,St George Island Airport,KF47,,Apalachicola,US,29.646000,-84.916603,3
KF48,Nocona Airport,KF48,,Nocona,US,33.773998,-97.738098,905
KF49,Slaton Municipal Airport,KF49,,Slaton,US,33.484798,-101.661003,3123
KF51,Winnsboro Municipal Airport,KF51,,Winnsboro,US,32.938801,-95.278900,513
KF53,Franklin County Airport,KF53,,Mount Vernon,US,33.215401,-95.237396,412
KF56,Arledge Field,KF56,,Stamford,US,32.909100,-99.736000,1561
KF62,Hayfork Airport,KF62,,Hayfork,US,40.547100,-123.181999,2321
KF68,Anadarko Municipal Airport,KF68,,Anadarko,US,35.052200,-98.264297,1286
KF69,Air Park Dallas Airport,KF69,,Dallas,US,33.023499,-96.836899,695
KF70,French Valley Airport,KF70,,Murrieta/Temecula,US,33.574200,-117.127998,1350
KF72,Franklin Field,KF72,,Franklin,US,38.304901,-121.430000,21
KF75,Harrison Field of Knox City Airport,KF75,,Knox City,US,33.438099,-99.812897,1500
KF82,Town & Country Airpark,KF82,,Lubbock,US,33.485600,-101.813004,3200
KF83,Abernathy Municipal Airport,KF83,,Abernathy,US,33.845901,-101.763000,3327
KF84,Stigler Regional Airport,KF84,,Stigler,US,35.289101,-95.093903,599
KF85,Cochran County Airport,KF85,,Morton,US,33.729301,-102.734001,3746
KF86,Columbia Airport,KF86,,Columbia,US,32.122398,-92.052902,67
KF87,Union Parish Airport,KF87,,Farmerville,US,32.724998,-92.337196,121
KF88,Jonesboro Airport,KF88,,Jonesboro,US,32.202000,-92.732903,256
KF89,Winnsboro Municipal Airport,KF89,,Winnsboro,US,32.153000,-91.698502,76
KF97,Seagraves Airport,KF97,,Seagraves,US,32.954601,-102.541000,3366
KF98,Yoakum County Airport,KF98,,Plains,US,33.217300,-102.830002,3704
KF99,Holdenville Municipal Airport,KF99,,Holdenville,US,35.085899,-96.416702,861
KFAF,Felker Army Air Field,KFAF,FAF,Fort Eustis,US,37.132500,-76.608803,12
KFAM,Farmington Regional Airport,KFAM,,Farmington,US,37.761101,-90.428597,946
KFAR,Hector International Airport,KFAR,FAR,Fargo,US,46.920700,-96.815804,902
KFAT,Fresno Yosemite International Airport,KFAT,FAT,Fresno,US,36.776199,-119.718002,336
KFAY,Fayetteville Regional Grannis Field,KFAY,FAY,Fayetteville,US,34.991199,-78.880302,189
