Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
KS01,Conrad Airport,KS01,,Conrad,US,48.168598,-111.975998,3545
KS03,Ashland Municipal Sumner Parker Field,KS03,AHM,Ashland,US,42.190300,-122.661003,1885
KS05,Bandon State Airport,KS05,BDY,Bandon,US,43.086498,-124.407997,122
KS10,Lake Chelan Airport,KS10,,Chelan,US,47.866001,-119.943001,1263
KS12,Albany Municipal Airport,KS12,,Albany,US,44.637798,-123.058998,226
KS17,Twin Lakes Airport,KS17,,Graniteville,US,33.645699,-81.867104,540
KS19,Mc Cormick County Airport,KS19,,Mc Cormick,US,33.908100,-82.266899,459
KS20,Goldendale Airport,KS20,,Goldendale,US,45.832100,-120.845001,1678
KS21,Sunriver Airport,KS21,SUO,Sunriver,US,43.876301,-121.453003,4164
KS23,Ione Municipal Airport,KS23,,Ione,US,48.708099,-117.413002,2108
KS24,Sandusky County Regional Airport,KS24,,Fremont,US,41.295700,-83.037201,665
KS25,Watford City Municipal Airport,KS25,,Watford City,US,47.795700,-103.253998,2111
KS27,Kalispell City Airport,KS27,,Kalispell,US,48.178600,-114.304001,2932
KS32,Cooperstown Municipal Airport,KS32,,Cooperstown,US,47.422798,-98.105904,1424
KS33,Madras Municipal Airport,KS33,,Madras,US,44.670200,-121.154999,2437
KS34,Plains Airport,KS34,,Plains,US,47.472401,-114.900002,2467
KS36,Crest Airpark,KS36,,Kent,US,47.337101,-122.103996,472
KS39,Prineville Airport,KS39,,Prineville,US,44.286999,-120.903999,3250
KS40,Prosser Airport,KS40,,Prosser,US,46.213402,-119.791000,697
KS42,Springer Municipal Airport,KS42,,Springer,US,36.327000,-104.620003,5891
KS45,Siletz Bay State Airport,KS45,,Gleneden Beach,US,44.876900,-124.028999,69
KS48,Country Squire Airpark,KS48,,Sandy,US,45.354401,-122.267998,1175
KS50,Auburn Municipal Airport,KS50,,Auburn,US,47.327702,-122.226997,63
KS52,Methow Valley State Airport,KS52,,Winthrop,US,48.424900,-120.146004,1706
KS59,Libby Airport,KS59,,Libby,US,48.283798,-115.489998,2601
KS64,Stanford Airport,KS64,,Stanford,US,47.147202,-110.230003,4327
KS67,Nampa Municipal Airport,KS67,,Nampa,US,43.581299,-116.523003,2537
KS69,Lincoln Airport,KS69,,Lincoln,US,46.954399,-112.650002,4603
KS70,Othello Municipal Airport,KS70,,Othello,US,46.794899,-119.079002,1139
KS71,Edgar G Obie Airport,KS71,,Chinook,US,48.592098,-109.250999,2416
KS72,St Maries Municipal Airport,KS72,,St Maries,US,47.327702,-116.577003,2127
KS73,Kamiah Municipal Airport,KS73,,Kamiah,US,46.219299,-116.013000,1194
KS75,Payette Municipal Airport,KS75,,Payette,US,44.091599,-116.901001,2228
KS78,Emmett Municipal Airport,KS78,,Emmett,US,43.849899,-116.542999,2350
KS80,Idaho County Airport,KS80,IDH,Grangeville,US,45.942600,-116.123001,3314
KS83,Shoshone County Airport,KS83,,Kellogg,US,47.547699,-116.188004,2223
KS84,Cottonwood Municipal Airport,KS84,,Cottonwood,US,46.038799,-116.332001,3474
KS85,Big Sky Field,KS85,,Culbertson,US,48.153301,-104.503998,1954
KS87,Weiser Municipal Airport,KS87,,Weiser,US,44.206799,-116.961998,2120
KS94,Port of Whitman Business Air Center Airport,KS94,,Colfax,US,46.858700,-117.414001,2181
KS95,Martin Field,KS95,,College Place,US,46.046902,-118.417000,746
KS97,Anderson Field,KS97,,Brewster,US,48.104900,-119.721001,914
KS98,Vista Field,KS98,VSK,Kennewick,US,46.218601,-119.209999,534
KSAA,Shively Field,KSAA,,Saratoga,US,41.444901,-106.823997,7012
KSAC,Sacramento Executive Airport,KSAC,,Sacramento,US,38.512501,-121.492996,24
KSAD,Safford Regional Airport,KSAD,,Safford,US,32.854801,-109.635002,3179
KSAF,Santa Fe Municipal Airport,KSAF,SAF,Santa Fe,US,35.617100,-106.088997,6348
KSAN,San Diego International Airport,KSAN,SAN,San Diego,US,32.733601,-117.190002,17
KSAR,Sparta Community Hunter Field,KSAR,,Sparta,US,38.148899,-89.698700,538
KSAT,San Antonio International Airport,KSAT,SAT,San Antonio,US,29.533701,-98.469803,809
KSAV,Savannah Hilton Head International Airport,KSAV,SAV,Savannah,US,32.127602,-81.202103,50
KSAW,Sawyer International Airport,KSAW,MQT,Marquette,US,46.353600,-87.395401,1221
KSAZ,Staples Municipal Airport,KSAZ,,Staples,US,46.380901,-94.806602,1287
KSBA,Santa Barbara Municipal Airport,KSBA,SBA,Santa Barbara,US,34.426201,-119.839996,13
KSBD,San Bernardino International Airport,KSBD,SBD,San Bernardino,US,34.095402,-117.235001,1159
KSBM,Sheboygan County Memorial Airport,KSBM,,Sheboygan,US,43.769600,-87.851402,755
KSBN,South Bend Regional Airport,KSBN,SBN,South Bend,US,41.708698,-86.317299,799
KSBO,Emanuel County Airport,KSBO,,Swainsboro,US,32.609100,-82.369904,327
KSBP,San Luis County Regional Airport,KSBP,SBP,San Luis Obispo,US,35.236801,-120.641998,212
KSBS,Steamboat Springs Bob Adams Field,KSBS,SBS,Steamboat Springs,US,40.516300,-106.865997,6882
KSBU,Blue Earth Municipal Airport,KSBU,,Blue Earth,US,43.595299,-94.092796,1107
KSBX,Shelby Airport,KSBX,,Shelby,US,48.540699,-111.871002,3443
KSBY,Salisbury Ocean City Wicomico Regional Airport,KSBY,SBY,Salisbury,US,38.340500,-75.510300,52
