Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
KT00,Chambers County Airport,KT00,,Anahuac,US,29.770100,-94.662399,21
KT03,Tuba City Airport,KT03,TBC,Tuba City,US,36.092800,-111.383003,4513
KT05,Charles R Johnson Airport,KT05,,Port Mansfield,US,26.562799,-97.437798,10
KT12,Kirbyville Airport,KT12,,Kirbyville,US,30.646601,-93.914902,121
KT15,Marlin Airport,KT15,,Marlin,US,31.340700,-96.851997,411
KT16,Reserve Airport,KT16,,Reserve,US,33.694199,-108.848999,6360
KT17,New Gulf Airport,KT17,,New Gulf,US,29.276100,-95.888603,100
KT19,Duval Freer Airport,KT19,,Freer,US,27.883600,-98.600304,564
KT20,Roger M. Dreyer Memorial Airport,KT20,,Gonzales,US,29.528000,-97.461403,354
KT23,Albany Municipal Airport,KT23,,Albany,US,32.719002,-99.267601,1425
KT24,Pineland Municipal Airport,KT24,,Pineland,US,31.233500,-93.981903,260
KT27,Horizon Airport,KT27,,El Paso,US,31.719801,-106.237000,4007
KT30,Mc Kinley Field,KT30,,Pearsall,US,28.822300,-99.109001,586
KT31,Aero Country Airport,KT31,,Mc Kinney,US,33.208500,-96.741898,792
KT35,Cameron Municipal Airpark,KT35,,Cameron,US,30.879400,-96.971100,402
KT36,Paul Pittman Memorial Airport,KT36,,Tylertown,US,31.146000,-90.168098,384
KT39,Archer City Municipal Airport,KT39,,Archer City,US,33.582298,-98.618698,1065
KT41,La Porte Municipal Airport,KT41,,La Porte,US,29.669300,-95.064201,25
KT42,Ruth Airport,KT42,,Ruth,US,40.211300,-123.297997,2781
KT45,Panhandle Carson County Airport,KT45,,Panhandle,US,35.361698,-101.364998,3454
KT50,Menard County Airport,KT50,,Menard,US,30.933500,-99.817001,1930
KT51,Dan Jones International Airport,KT51,,Houston,US,30.042801,-95.667198,166
KT54,Lane Airpark,KT54,,Rosenberg,US,29.524401,-95.775200,94
KT55,Dimmitt Municipal Airport,KT55,,Dimmitt,US,34.566700,-102.322998,3883
KT59,Wheeler Municipal Airport,KT59,,Wheeler,US,35.451099,-100.199997,2470
KT60,Stonewall County Airport,KT60,,Aspermont,US,33.172298,-100.197998,1744
KT65,Mid Valley Airport,KT65,,Weslaco,US,26.177601,-97.973099,70
KT67,Hicks Air Field,KT67,,Fort Worth,US,32.931198,-97.411697,855
KT69,Alfred C 'Bubba' Thomas Airport,KT69,,Sinton,US,28.039200,-97.542397,48
KT70,Laughlin Air Force Base Auxiliary Nr 1 Airport,KT70,,Spofford,US,29.125999,-100.481003,976
KT74,Taylor Municipal Airport,KT74,,Taylor,US,30.572599,-97.443199,600
KT77,Presidio Lely International Airport,KT77,,Presidio,US,29.634100,-104.362000,2932
KT78,Liberty Municipal Airport,KT78,,Liberty,US,30.077801,-94.698601,70
KT82,Gillespie County Airport,KT82,,Fredericksburg,US,30.243200,-98.909203,1695
KT85,Yoakum Municipal Airport,KT85,,Yoakum,US,29.313200,-97.138397,365
KT88,Colorado City Airport,KT88,,Colorado City,US,32.468399,-100.920998,2214
KT90,Chambers County Winnie Stowell Airport,KT90,,Winnie/Stowell,US,29.804100,-94.431000,25
KT92,Mason County Airport,KT92,,Mason,US,30.732201,-99.184303,1502
KT93,Follett Lipscomb County Airport,KT93,,Follett,US,36.440800,-100.124001,2601
KTAD,Perry Stokes Airport,KTAD,TAD,Trinidad,US,37.259399,-104.341003,5762
KTAN,Taunton Municipal King Field,KTAN,,Taunton,US,41.874401,-71.016602,43
KTAZ,Taylorville Municipal Airport,KTAZ,,Taylorville,US,39.534199,-89.327797,622
KTBN,Waynesville-St. Robert Regional Forney field,KTBN,TBN,Fort Leonard Wood,US,37.741600,-92.140701,1159
KTBR,Statesboro Bulloch County Airport,KTBR,TBR,Statesboro,US,32.482700,-81.736900,187
KTCC,Tucumcari Municipal Airport,KTCC,TCC,Tucumcari,US,35.182800,-103.602997,4065
KTCL,Tuscaloosa Regional Airport,KTCL,TCL,Tuscaloosa,US,33.220600,-87.611397,170
KTCM,McChord Air Force Base,KTCM,TCM,Tacoma,US,47.137699,-122.475998,322
KTCS,Truth Or Consequences Municipal Airport,KTCS,TCS,Truth Or Consequences,US,33.236900,-107.272003,4853
KTCY,Tracy Municipal Airport,KTCY,,Tracy,US,37.688999,-121.442001,193
KTDF,Person County Airport,KTDF,,Roxboro,US,36.284901,-78.984200,609
KTDO,Ed Carlson Memorial Field South Lewis County Airport,KTDO,TDO,Toledo,US,46.477200,-122.806000,374
KTDW,Tradewind Airport,KTDW,TDW,Amarillo,US,35.169899,-101.825996,3649
KTDZ,Toledo Executive Airport,KTDZ,TDZ,Toledo,US,41.564899,-83.482300,623
KTEB,Teterboro Airport,KTEB,TEB,Teterboro,US,40.850101,-74.060799,9
KTEL,Perry County Municipal Airport,KTEL,,Tell City,US,38.017700,-86.690903,660
KTEW,Mason Jewett Field,KTEW,,Mason,US,42.565800,-84.423203,920
KTEX,Telluride Regional Airport,KTEX,TEX,Telluride,US,37.953800,-107.907997,9070
KTFP,McCampbell-Porter Airport,KTFP,,Ingleside,US,27.913000,-97.211502,18
KTGC,Gibson County Airport,KTGC,,Trenton,US,35.932499,-88.848900,359
KTGI,Tangier Island Airport,KTGI,,Tangier,US,37.825100,-75.997803,5
KTHA,Tullahoma Regional Arpt/Wm Northern Field,KTHA,THA,Tullahoma,US,35.380100,-86.246399,1083
KTHM,Thompson Falls Airport,KTHM,,Thompson Falls,US,47.573502,-115.280998,2467
KTHP,Hot Springs Co Thermopolis Municipal Airport,KTHP,,Thermopolis,US,43.658298,-108.212997,4592
KTHV,York Airport,KTHV,,York,US,39.917000,-76.873001,495
KTIF,Thomas County Airport,KTIF,,Thedford,US,41.962200,-100.569000,2925
KTIK,Tinker Air Force Base,KTIK,,Oklahoma City,US,35.414700,-97.386597,1291
KTIP,Rantoul National Avn Center-Frank Elliot field,KTIP,,Rantoul,US,40.293598,-88.142403,737
KTIW,Tacoma Narrows Airport,KTIW,,Tacoma,US,47.267899,-122.578003,294
KTIX,Space Coast Regional Airport,KTIX,,Titusville,US,28.514799,-80.799202,34
KTKC,Tracy Municipal Airport,KTKC,,Tracy,US,44.249100,-95.607300,1340
KTKI,Collin County Regional At Mc Kinney Airport,KTKI,,Dallas,US,33.177898,-96.590500,585
KTKO,Mankato Airport,KTKO,,Mankato,US,39.802799,-98.221199,1859
KTKV,Tomahawk Regional Airport,KTKV,,Tomahawk,US,45.469101,-89.805702,1487
KTKX,Kennett Memorial Airport,KTKX,KNT,Kennett,US,36.225899,-90.036598,262
KTLH,Tallahassee Regional Airport,KTLH,TLH,Tallahassee,US,30.396500,-84.350304,81
KTLR,Mefford Field,KTLR,,Tulare,US,36.156300,-119.325996,265
