Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
LJAJ,Ajdovščina Airport,LJAJ,,Ajdovscina,SI,45.889198,13.886900,381
LJBL,Lesce Bled Glider Airport,LJBL,,Bled,SI,46.357201,14.173900,1654
LJBO,Bovec Letalisce Airport,LJBO,,Bovec,SI,46.328602,13.548600,1417
LJCL,Celje Glider Airport,LJCL,,Celje,SI,46.245602,15.223100,801
LJLJ,Ljubljana Jože Pučnik Airport,LJLJ,LJU,Ljubljana,SI,46.223701,14.457600,1273
LJMB,Maribor Edvard Rusjan Airport,LJMB,MBX,Maribor,SI,46.479722,15.686111,876
LJMS,Murska Sobota Airport,LJMS,,Murska Sobota,SI,46.629398,16.174999,600
LJNM,Novo Mesto Airport,LJNM,,Novo mesto,SI,45.810299,15.112700,572
LJPZ,Portoroz Airport,LJPZ,POW,Portoroz,SI,45.473400,13.615000,7
LJSG,Slovenj Gradec Airport,LJSG,,Slovenc Gradec,SI,46.472000,15.117000,1645
LJVE,Šoštanj Airport,LJVE,,Sostanj,SI,46.397499,15.045300,1283
