Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
NH06,Dynasty Farms Heliport,NH06,,Salem,US,42.803398,-71.182800,295
NH07,Cooper Farm Airport,NH07,,Loudon,US,43.280399,-71.456596,485
NH09,Seabrook Station Heliport,NH09,,Seabrook,US,42.895901,-70.861198,41
NH13,Concord Hospital Heliport,NH13,,Concord,US,43.197300,-71.560600,400
NH15,Locke Lake Airport,NH15,,Barnstead,US,43.386700,-71.233398,702
NH16,Brookline Airport,NH16,,Brookline,US,42.741798,-71.707603,415
NH17,Zim Airport,NH17,,Mason,US,42.727600,-71.717598,520
NH18,Chickville Airport,NH18,,Center Ossipee,US,43.733398,-71.151199,560
NH19,Air-Wood Heliport,NH19,,Plainfield,US,43.543098,-72.352303,540
NH20,Ward Field,NH20,,Sanbornton,US,43.492298,-71.645897,440
NH21,Abbott Heliport,NH21,,Jackson,US,44.148102,-71.168098,1300
NH22,Lancaster Heliport,NH22,,Lancaster,US,44.503700,-71.569298,860
NH24,Prescott Hill Heliport,NH24,,Grafton,US,43.545300,-71.996101,1460
NH25,Flying H Skyport Airport,NH25,,Melvin Village,US,43.686699,-71.289200,620
NH26,Dragonwings Heliport,NH26,,Bedford,US,42.967300,-71.572800,630
NH28,Hillsboro Ford Heliport,NH28,,Hillsboro,US,43.110001,-71.917297,551
NH29,Hollander's Heliport,NH29,,Plainfield,US,43.582001,-72.203102,1300
NH31,Mountain View Field,NH31,,Wolfeboro,US,43.650101,-71.149498,965
NH32,Bentley Heliport,NH32,,Exeter,US,42.981499,-70.918701,66
NH33,Brigham Heliport,NH33,,Pembroke,US,43.195900,-71.477303,360
NH34,Wharf Heliport,NH34,,Portsmouth,US,43.084000,-70.761398,14
NH35,Fisher Scientific Heliport,NH35,,Hampton,US,42.950401,-70.857002,60
NH37,Southern Nh Medical Center Heliport,NH37,,Nashua,US,42.755798,-71.461998,96
NH38,Leavitt Airport,NH38,,Albany,US,43.972599,-71.169800,860
NH39,Frank D. Comerford Airport,NH39,,Walpole,US,43.033401,-72.429802,640
NH40,Eagles Nest Airport,NH40,,New London,US,43.404701,-71.950401,998
NH41,Merrimack Heliport,NH41,,Merrimack,US,42.817001,-71.505302,209
NH42,C.S.S. Heliport,NH42,,Nashua,US,42.736801,-71.481499,212
NH43,Murphy-Sherwood Park Airport,NH43,,Nottingham,US,43.179501,-71.137001,200
NH44,Dean Kamen Heliport,NH44,,Bedford,US,42.916698,-71.512100,250
NH45,Foss Heliport,NH45,,Hampton,US,42.937599,-70.842598,20
NH46,Austin's Landing Heliport,NH46,,New Boston,US,42.979801,-71.695602,620
NH48,Springfield Point Heliport,NH48,,Wolfeboro,US,43.557899,-71.191704,504
NH49,Bradley Field,NH49,,Woodstock,US,43.970299,-71.679497,650
NH50,Gordon Brown Heliport,NH50,,Atkinson,US,42.841801,-71.159500,330
NH51,Wickson Heliport,NH51,,Jackson,US,44.155899,-71.156898,1650
NH52,Waste Heliport,NH52,,Concord,US,43.205101,-71.484200,332
NH53,Norden Systems Heliport,NH53,,Merrimack,US,42.830898,-71.510902,200
NH55,Chopper One Heliport,NH55,,Derry,US,42.847000,-71.218903,240
NH56,Wentworth-Douglass Heliport,NH56,,Dover,US,43.212898,-70.873398,149
NH57,Exeter Hospital Heliport,NH57,,Exeter,US,42.981998,-70.936203,83
NH58,D.W. Heliport,NH58,,Franklin,US,43.417900,-71.644798,440
NH59,Speedway Heliport,NH59,,Loudon,US,43.358398,-71.463402,491
NH60,Huff Memorial Airport,NH60,,New Boston,US,42.960602,-71.653397,840
NH61,Heaton Airport,NH61,,Chester,US,42.968102,-71.181198,188
NH62,Millipore Heliport,NH62,,Jaffrey,US,42.798698,-71.982903,1132
NH63,Weston Street Heliport,NH63,,Derry,US,42.866798,-71.218002,224
NH64,Pow-Wow Seaplane Base,NH64,,Kingston,US,42.911201,-71.034103,116
NH65,Dean Kamen Ii Heliport,NH65,,Bedford,US,42.922298,-71.508400,500
NH66,Temple Heliport,NH66,,Temple,US,42.789799,-71.834503,920
NH67,Winterwood Airport,NH67,,Brentwood,US,42.978401,-71.009499,130
NH68,Merrymeeting Lake Seaplane Base,NH68,,New Durham,US,43.480000,-71.170197,647
NH69,Windsock Village Airport,NH69,,West Ossipee,US,43.830601,-71.186996,460
NH70,Forbes Heliport,NH70,,North Conway,US,44.045300,-71.157799,540
NH71,Loons Nest Seaplane Base,NH71,,Tuftonboro,US,43.638699,-71.323097,504
NH73,Meader's Heliport,NH73,,Center Ossipee,US,43.792900,-71.177299,420
NH74,Crowley Heliport,NH74,,Loudon,US,43.340900,-71.470901,570
NH75,Psnh Heliport,NH75,,Bow,US,43.145100,-71.475304,190
NH76,Mason Airfield,NH76,,Mason,US,42.729000,-71.784203,740
NH77,Smiling Jack Heliport,NH77,,Meredith,US,43.626202,-71.559196,730
NH78,Steck Farm Airport,NH78,,Pelham,US,42.747200,-71.369202,460
NH79,Falcon Station Heliport,NH79,,West Epping,US,43.040600,-71.125603,160
NH80,Shanklin Heliport,NH80,,Wilton,US,42.825600,-71.741699,820
NH81,Franklin Regional Hospital Heliport,NH81,,Franklin,US,43.448399,-71.646202,480
NH82,Dartmouth Hitchcock Medical Center Heliport,NH82,,Lebanon,US,43.676701,-72.270401,730
NH83,Chiefs Hut Heliport,NH83,,Dunbarton,US,43.109501,-71.638397,616
NH84,Northwood Airport,NH84,,Northwood,US,43.207600,-71.221199,640
NH85,Apte Heliport,NH85,,North Conway,US,44.033401,-71.146202,760
NH86,Intervale Airport,NH86,,Henniker,US,43.175098,-71.787300,425
NH87,Blue Light Heliport,NH87,,Plymouth,US,43.733898,-71.679100,825
NH88,Country Club Air Park,NH88,,Goffstown,US,43.067299,-71.611198,780
NH91,Cheney Heliport,NH91,,Hales Location,US,44.050301,-71.176201,600
NH92,Littleton Hospital Heliport,NH92,,Littleton,US,44.317402,-71.826500,1155
NH93,Sean Heliport,NH93,,Pelham,US,42.762901,-71.315300,150
NH94,Spring Creek Heliport,NH94,,Milford,US,42.807800,-71.685799,400
NH96,Wentworth Aerodrome Airport,NH96,,Wentworth,US,43.873444,-71.904722,610
