Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
NV00,Valley View Airport,NV00,,Pahrump,US,36.255501,-115.992996,2740
NV02,O'Toole Ranch Airport,NV02,,Austin,US,39.066601,-117.421997,6520
NV03,Las Vegas Helicopters Heliport,NV03,,Las Vegas,US,36.108101,-115.174004,2133
NV04,Marys River Ranch Airport,NV04,,Deeth,US,41.316299,-115.250000,5600
NV05,Soldier Meadow Nr 2 Airport,NV05,,Gerlach,US,41.123501,-119.139000,4150
NV06,Soldier Meadow Nr 1 Airport,NV06,,Gerlach,US,41.382702,-119.168999,4494
NV07,Sunnyside/Kirch Wildlife Mgmt Area Airport,NV07,,Lund,US,38.414700,-115.037003,5288
NV08,Petan Ranch Airport,NV08,,Mountain City,US,41.737999,-116.216003,5616
NV09,H Bar H Airport,NV09,,Reno,US,39.724400,-119.899002,5220
NV10,Car Country Heliport,NV10,,Henderson,US,35.987999,-114.926003,2300
NV11,Yucca Airstrip,NV11,,Mercury,US,36.945801,-116.038002,3919
NV12,I-L Ranch Airport,NV12,,Tuscarora,US,41.563801,-116.408997,5368
NV13,Bailey Ranch Airport,NV13,,Carson City,US,39.282799,-119.828003,5060
NV14,Juniper Airport,NV14,,Montello,US,41.355499,-114.230003,5400
NV15,Carson-Tahoe Regional Medical Center Heliport,NV15,,Carson City,US,39.202801,-119.783997,4850
NV16,Lackerman Ranch Airport,NV16,,Gerlach,US,40.999298,-119.936996,4706
NV17,Youngberg Ranch Airport,NV17,,Lemmon Valley,US,39.673199,-119.813004,4960
NV19,Nevada Dept of Wildlife State Headquarters Heliport,NV19,,Reno,US,39.539600,-119.806999,4500
NV20,Topaz Ranch Heliport,NV20,,Wellington,US,38.761002,-119.533997,580
NV21,Sky Ranch Heliport,NV21,,Sandy Valley,US,35.795300,-115.626999,2600
NV22,Red Rock Ranch Airport,NV22,,Elko,US,40.312698,-115.897003,6158
NV23,Air Sailing Gliderport,NV23,,Sparks,US,39.872101,-119.700996,4300
NV24,Fort Ruby Ranch Airstrip,NV24,,Ruby Valley,US,40.057999,-115.505997,6006
NV25,St. Rose Dominican Hospital Heliport,NV25,,Henderson,US,36.041599,-114.984001,1890
NV26,Voc Tech Airport,NV26,,Henderson,US,36.079102,-115.069000,1913
NV27,Circle L Ranch Airport,NV27,,Dyer,US,37.716599,-118.084000,4835
NV28,Rlb Heliport,NV28,,Reno,US,39.392399,-119.820999,5707
NV29,Excalibur Hotel/Casino Heliport,NV29,,Las Vegas,US,36.098000,-115.176003,2375
NV30,Dixie Valley Airport,NV30,,Fallon,US,39.966599,-117.828003,3443
NV31,Barker Creek Ranch Airstrip,NV31,,Round Mountain,US,38.805801,-117.030998,6620
NV32,Nev Fish & Game Reg III Headquarters Heliport,NV32,,Las Vegas,US,36.187500,-115.204002,2200
NV33,Farias Wheel Airport,NV33,,Smith Valley,US,38.833199,-119.396004,4848
NV34,University Medical Center-Southern Nevada Heliport,NV34,,Las Vegas,US,36.160000,-115.166000,2096
NV35,Hudson Airport,NV35,,Austin,US,39.544399,-117.750999,5180
NV36,Imvite Airport,NV36,,Amargosa Valley,US,36.447701,-116.454002,2250
NV37,Eldorado Substation Heliport,NV37,,Nelson,US,35.794399,-115.011002,1800
NV38,Klas Channel 8 Heliport,NV38,,Las Vegas,US,36.130600,-115.158997,2100
NV40,Action Heliport,NV40,,Las Vegas,US,35.950001,-115.167000,2460
NV41,Sulfur Airport,NV41,,Gerlach,US,40.863800,-118.735001,4068
NV42,Heritage Airport,NV42,,Jean,US,35.775799,-115.630997,2575
NV44,Justover Field,NV44,,Sparks,US,39.755199,-119.598999,4480
NV47,Palomino Airport,NV47,,Sparks,US,39.833199,-119.681999,4240
NV48,Circus Circus Heliport,NV48,,Las Vegas,US,36.137501,-115.167999,2122
NV49,Hacienda Hotel Heliport,NV49,,Las Vegas,US,36.091599,-115.174004,2172
NV52,City Hall Complex Heliport,NV52,,Las Vegas,US,36.172199,-115.140999,2000
NV53,Valley Hospital Medical Center Heliport,NV53,,Las Vegas,US,36.163300,-115.166000,2055
NV54,Flying S Ranch Ultralightport,NV54,,Pahrump,US,36.306999,-115.988998,2800
NV55,Pinenut Airport,NV55,,Gardnerville,US,38.898899,-119.649002,5260
NV56,Wine Glass Ranch Airport,NV56,,Round Mountain,US,38.799400,-117.175003,5568
NV57,Washoe Medical Center Heliport,NV57,,Reno,US,39.526299,-119.795998,4504
NV58,St Mary's Regional Medical Center Heliport,NV58,,Reno,US,39.533199,-119.818001,4600
NV60,Carson-Tahoe Hospital Heliport,NV60,,Carson City,US,39.171299,-119.772003,4710
NV61,Gilbert Development Corp Heliport,NV61,,Las Vegas,US,36.217999,-115.134003,1981
NV62,Valley Medical Center Heliport,NV62,,Las Vegas,US,36.162875,-115.167736,2057
NV63,Claude I. Howard Heliport,NV63,,Las Vegas,US,36.083302,-115.176003,2170
NV64,Swanson Ranch 3 Airport,NV64,,Battle Mountain,US,40.008301,-117.391998,4940
NV67,Pilot Creek Ranches Airport,NV67,,Montello,US,41.115799,-114.113998,4980
NV68,Pine Grove Airport,NV68,,Orovada,US,41.565701,-117.808998,4250
NV69,Northern Nevada Medical Center Heliport,NV69,,Sparks,US,39.505501,-119.693001,4460
NV72,Sweetwater (USMC) Airport,NV72,,Wellington,US,38.509800,-119.217003,6837
NV73,Precious Materials Heliport,NV73,,Pahrump,US,36.341599,-116.049004,2850
NV74,Calvada Meadows Airport,NV74,,Pahrump,US,36.271099,-115.995003,2726
NV75,Sce Mohave Generating Station Heliport,NV75,,Laughlin,US,35.151100,-114.592003,705
NV77,Empire Farms Airport,NV77,,Empire,US,40.435699,-119.461998,4085
NV78,Remsa/Care Flight Heliport,NV78,,Reno,US,39.500999,-119.751999,4400
NV83,Hadley Airport,NV83,,Round Mountain,US,38.694098,-117.146752,5744
NV96,Rolling Thunder Airport,NV96,,Sparks,US,39.825298,-119.653999,4240
NV97,Desert Creek Airport,NV97,,Wellington,US,38.684200,-119.321999,5358
NV98,Caas Airport,NV98,,Pahrump,US,36.150299,-115.900002,2800
NV99,Maverick Heliport,NV99,,Las Vegas,US,35.934399,-115.181999,2550
NVSA,Mota Lava Airport,NVSA,MTV,Ablow,VU,-13.666000,167.712006,63
NVSC,Sola Airport,NVSC,SLH,Sola,VU,-13.851700,167.537003,7
NVSE,Sangafa Airport,NVSE,EAE,Sangafa,VU,-17.090300,168.343002,7
NVSF,Craig Cove Airport,NVSF,CCV,Craig Cove,VU,-16.264999,167.923996,69
NVSG,Longana Airport,NVSG,LOD,Longana,VU,-15.306700,167.966995,167
