Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
OK00,Jacktown Airport,OK00,,Jacktown,US,35.516300,-97.022102,954
OK01,Sky Haven Airpark/Sellmeyer Field,OK01,,Vera,US,36.429001,-95.903297,675
OK02,Dick's Airport,OK02,,Goldsby,US,35.110802,-97.481697,1160
OK03,Downtown Airpark,OK03,DWN,Oklahoma City,US,35.449200,-97.533096,1180
OK04,Canadian River Ranch Airport,OK04,,Eufaula,US,35.309399,-95.808296,850
OK05,Ray Preston Airport,OK05,,Hollis,US,34.700100,-99.925400,1660
OK06,Snake Creek Wilderness Airport,OK06,,Cookson,US,35.647800,-94.949997,1130
OK07,Djs Airport,OK07,,Lawton,US,34.518200,-98.325600,1115
OK08,Hill Top Private Airport,OK08,,Lawton,US,34.533401,-98.350304,1100
OK09,Mercy Memorial Health Center Heliport,OK09,,Ardmore,US,34.189400,-97.141899,931
OK10,Entropy Airport,OK10,,Elmore City,US,34.581902,-97.409698,1020
OK11,Ksa Orchards Airport,OK11,,Comanche,US,34.317501,-98.014999,1080
OK12,Jones Farm Field,OK12,,Walters,US,34.399167,-98.266389,1042
OK13,Erroport Airport,OK13,,Mounds,US,35.845798,-95.971100,660
OK14,Woodlake Airport,OK14,,Alva,US,36.835201,-98.657700,1420
OK15,Avian Country Estates Airport,OK15,,Oolagah,US,36.376099,-95.705299,750
OK16,Fairmont Field Airport,OK16,,Fairmont,US,36.364700,-97.667801,1168
OK17,Bass Aero Airport,OK17,,Ardmore,US,34.218250,-97.052567,840
OK18,Grand Isle Airport,OK18,,Adair,US,36.423401,-95.171097,636
OK19,Integris Baptist Medical Center Heliport,OK19,,Oklahoma City,US,35.530602,-97.578102,1276
OK20,Sageeyah Airfield,OK20,,Claremore,US,36.383701,-95.648003,640
OK21,Longs Airport North Airport,OK21,,Pryor,US,36.333401,-95.304398,650
OK22,Bluebird Airpark,OK22,,Shawnee,US,35.403000,-96.832199,1030
OK23,Taliaferro Field,OK23,,Ardmore,US,34.198299,-97.231201,930
OK24,Colby Field,OK24,,Lone Grove,US,34.206200,-97.231102,930
OK25,Cherokee Ranch Airport,OK25,,Haskell,US,35.813301,-95.753304,710
OK26,Atwoods Heliport,OK26,,Enid,US,36.392799,-97.947800,1296
OK27,Venture Aerodrome Airpark Nr 2 Ultralightport,OK27,,Roland,US,35.435600,-94.474899,450
OK28,Mcdaniel Aviation Airport,OK28,,Ravia,US,34.229167,-96.749167,700
OK29,Travis Airport,OK29,,Marietta,US,33.935902,-97.054497,862
OK2A,Patton Army Heliport,OK2A,,Camp Arifjan,KW,28.863611,48.151111,168
OK30,Grandcraft Landing Strip,OK30,,Langley,US,36.491798,-95.050201,827
OK31,Whittington Ranch Airport,OK31,,Thackerville,US,33.778542,-97.131458,845
OK32,Triad Eye Medical Clinic Heliport,OK32,,Muskogee,US,35.766716,-95.401341,587
OK33,Muskogee Community Hospital Heliport,OK33,,Muskogee,US,35.782500,-95.360278,1238
OK34,Gustafson Airport,OK34,,Sallisaw,US,35.484299,-94.841904,855
OK35,Choctaw Indian Hospital Heliport,OK35,,Talihina,US,34.813900,-95.094101,890
OK36,W C Ranch STOLport,OK36,,Crowder,US,35.119701,-95.703903,725
OK37,Dog Iron Ranch Airport,OK37,,Oologah,US,36.469502,-95.667801,760
OK38,Perry Memorial Hospital Heliport,OK38,,Perry,US,36.288399,-97.300003,1022
OK39,Judy Ranch Airport,OK39,,Forgan,US,36.966702,-100.317001,2240
OK40,Eden Ranch Airport,OK40,,Freedom,US,36.758400,-99.033699,1641
OK41,Police Civic Center Heliport,OK41,,Tulsa,US,36.149502,-95.997200,740
OK42,Siegmanns Airport,OK42,,Hennessey,US,36.083401,-97.717003,1053
OK43,Logsdon Ranch Airport,OK43,,Alva,US,36.530602,-98.636703,1475
