Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
OO42,Manston Air Base,OO42,,Manston,OM,16.990400,53.358799,3182
OOBR,Buraimi Airport,OOBR,RMB,Buraimi,OM,24.233000,55.783001,970
OODQ,Duqm International Airport,OODQ,DQM,Duqm,OM,19.500000,57.643056,364
OOFD,Fahud Airport,OOFD,FAU,Fahud,OM,22.354759,56.484146,552
OOFQ,Firq Air Base,OOFQ,,Firq,OM,22.869200,57.543301,1560
OOGB,Qarn Alam Airport,OOGB,RNM,Ghaba,OM,21.382999,57.049999,443
OOHA,Haima Airport,OOHA,,Haima,OM,19.966999,56.283001,400
OOIA,Ibra Airport,OOIA,,Ibra,OM,22.732778,58.513611,1500
OOIZ,Izki Air Base,OOIZ,,Izki,OM,22.891701,57.758301,1700
OOKB,Khasab Air Base,OOKB,KHS,Khasab,OM,26.171000,56.240601,100
OOMA,Masirah Air Base,OOMA,MSH,Masirah,OM,20.675400,58.890499,64
OOMK,Mukhaizna Airport,OOMK,UKH,Mukhaizna Oil Field,OM,19.388889,56.397222,479
OOMS,Muscat International Airport,OOMS,MCT,Muscat,OM,23.593300,58.284401,48
OOMX,Marmul Airport,OOMX,OMM,Marmul,OM,18.136000,55.182098,925
OOSA,Salalah Airport,OOSA,SLL,Salalah,OM,17.038700,54.091301,73
OOSH,Sohar Airport,OOSH,OHS,Sohar,OM,24.464167,56.628333,20
OOSQ,Saiq Airport,OOSQ,,Saiq,OM,23.066999,57.650002,6500
OOSR,Sur Airport,OOSR,SUH,Sur,OM,22.533001,59.483002,20
OOTH,Thumrait Air Base,OOTH,TTH,Thumrait,OM,17.666000,54.024601,1570
