Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
PFA,Harbin Pingfang General Airport,,PFA,Heilongjiang,CN,45.598611,126.651667,599
PFAK,Akiak Airport,PFAK,AKI,Akiak,US,60.902901,-161.231003,30
PFAL,Allakaket Airport,PFAL,AET,Allakaket,US,66.551804,-152.621994,441
PFCB,Chenega Bay Airport,PFCB,NCN,Chenega,US,60.077301,-147.992004,72
PFCL,Clarks Point Airport,PFCL,CLP,Clarks Point,US,58.833698,-158.529007,80
PFEL,Elim Airport,PFEL,ELI,Elim,US,64.614700,-162.272003,162
PFKA,Kasigluk Airport,PFKA,,Kasigluk,US,60.874401,-162.524002,48
PFKK,Kokhanok Airport,PFKK,KNK,Kokhanok,US,59.433201,-154.804001,115
PFKO,Kotlik Airport,PFKO,KOT,Kotlik,US,63.030602,-163.533005,15
PFKT,Brevig Mission Airport,PFKT,,Brevig Mission,US,65.331299,-166.466003,38
PFKU,Koyukuk Airport,PFKU,KYU,Koyukuk,US,64.876099,-157.727005,149
PFKW,Kwethluk Airport,PFKW,KWT,Kwethluk,US,60.790298,-161.444000,25
PFM,Primrose Aerodrome,,PFM,Primrose,CA,55.390556,-111.120278,2304
PFNO,Robert (Bob) Curtis Memorial Airport,PFNO,ORV,Noorvik,US,66.817902,-161.018997,55
PFSH,Shaktoolik Airport,PFSH,SKK,Shaktoolik,US,64.371101,-161.223999,24
PFTO,Tok Junction Airport,PFTO,,Tok,US,63.329498,-142.953995,1639
PFWS,South Naknek Nr 2 Airport,PFWS,WSN,South Naknek,US,58.703400,-157.007996,162
PFYU,Fort Yukon Airport,PFYU,FYU,Fort Yukon,US,66.571503,-145.250000,433
