Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
PHBK,Barking Sands Airport,PHBK,BKH,Kekaha,US,22.022800,-159.785004,23
PHDH,Dillingham Airfield,PHDH,HDH,Mokuleia,US,21.579500,-158.197006,14
PHHF,French Frigate Shoals Airport,PHHF,,Tern Island,US,23.869400,-166.285004,6
PHHI,Wheeler Army Airfield,PHHI,HHI,Wahiawa,US,21.483500,-158.039993,837
PHHN,Hana Airport,PHHN,HNM,Hana,US,20.795601,-156.014008,78
PHIK,Hickam Field,PHIK,HIK,Honolulu,US,21.318611,-157.922500,13
PHJH,Kapalua Airport,PHJH,JHM,Lahaina,US,20.962900,-156.673004,256
PHJR,Kalaeloa (John Rodgers Field) Airport,PHJR,JRF,Kapolei,US,21.307400,-158.070007,30
PHKO,Kona International At Keahole Airport,PHKO,KOA,Kailua/Kona,US,19.738800,-156.046005,47
PHLI,Lihue Airport,PHLI,LIH,Lihue,US,21.976000,-159.339005,153
PHLU,Kalaupapa Airport,PHLU,LUP,Kalaupapa,US,21.211000,-156.973999,24
PHMK,Molokai Airport,PHMK,MKK,Kaunakakai,US,21.152901,-157.095993,454
PHMU,Waimea Kohala Airport,PHMU,MUE,Kamuela,US,20.001301,-155.667999,2671
PHNG,Kaneohe Bay MCAS (Marion E. Carl Field) Airport,PHNG,,Kaneohe,US,21.450500,-157.768005,24
PHNL,Honolulu International Airport,PHNL,HNL,Honolulu,US,21.318701,-157.921997,13
PHNP,Ford Island Naval Auxiliary Landing Field,PHNP,,Honolulu,US,21.364901,-157.960007,18
PHNY,Lanai Airport,PHNY,LNY,Lanai City,US,20.785601,-156.951004,1308
PHOG,Kahului Airport,PHOG,OGG,Kahului,US,20.898600,-156.429993,54
PHPA,Port Allen Airport,PHPA,PAK,Hanapepe,US,21.896900,-159.602997,24
PHSF,Bradshaw Army Airfield,PHSF,BSF,Camp Pohakuloa,US,19.760099,-155.554001,6190
PHTO,Hilo International Airport,PHTO,ITO,Hilo,US,19.721399,-155.048004,38
PHUP,Upolu Airport,PHUP,UPP,Hawi,US,20.265301,-155.860001,96
