Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
SJAA,Fazenda São José do Rio Branco Airport,SJAA,,Pontes E Lacerda,BR,-15.071389,-59.153332,1142
SJAC,Fazenda Rio Preto Airport,SJAC,,São Félix Do Araguaia,BR,-11.475556,-51.687222,886
SJAD,Tecno Bag Heliport,SJAD,,Lorena,BR,-22.756666,-45.108612,1765
SJAE,Fazenda Furnas Airport,SJAE,,Ribeirão Cascalheira,BR,-13.140278,-51.801109,1618
SJAF,Fazenda Água Limpa Airport,SJAF,,Campo Novo Do Parecis,BR,-13.670833,-57.895557,1804
SJAG,Fazenda Paredão Airport,SJAG,,Vila Bela Da Santíssima Trindade,BR,-13.628611,-60.288334,804
SJAI,Fazenda Davilândia Airport,SJAI,,Montividiu Do Norte,BR,-13.187500,-48.750000,1359
SJAJ,Estação Convention Center Heliport,SJAJ,,Curitiba,BR,-25.438334,-49.267223,3084
SJAK,Fazenda F5 Airport,SJAK,,Tupaciguara,BR,-18.364166,-48.871944,1624
SJAL,Fazenda Santa Maria Airport,SJAL,,Açailândia,BR,-4.646389,-47.233334,1077
SJAM,Estância Lajota Heliport,SJAM,,Mairiporã,BR,-23.248333,-46.571110,3183
SJAN,Grupo Santander Banespa - Panamericana Park Heliport,SJAN,,São Paulo,BR,-23.653889,-46.725555,2405
SJAO,Natura Heliport,SJAO,,Cajamar,BR,-23.404167,-46.828609,2414
SJAP,Fazenda Mrajan Heliport,SJAP,,Valinhos,BR,-22.915001,-46.984165,2290
SJAQ,Fazenda Renascença Airport,SJAQ,,Unaí,BR,-16.120277,-46.360001,2999
SJAR,Fazenda Bela Manhã Airport,SJAR,,Santa Clara D`Oeste,BR,-20.018600,-50.899200,1198
SJAS,Fazenda São Roque Airport,SJAS,,Reginópolis,BR,-21.669167,-49.173058,1450
SJAU,Araguacema Airport,SJAU,,Araguacema,BR,-8.837720,-49.557499,680
SJAV,Nauto Najar Heliport,SJAV,,Americana,BR,-22.748611,-47.301109,1871
SJAW,Fazenda Citrícola Airport,SJAW,,Gavião Peixoto,BR,-21.725279,-48.451942,2057
SJAX,Fazenda Acalanto Airport,SJAX,,São Desidério,BR,-12.965000,-45.976112,2657
SJAY,Fazenda Ventura Airport,SJAY,,São Desidério,BR,-13.160833,-46.200832,3127
SJAZ,Fazenda Querubim Airport,SJAZ,,São Desidério,BR,-12.768889,-46.021389,2733
SJBA,Friboi Heliport,SJBA,,São Paulo,BR,-23.513332,-46.730831,2445
SJBE,Ortosíntese Heliport,SJBE,,São Paulo,BR,-23.440832,-46.723888,2743
SJBF,Fazenda J.K. Airport,SJBF,,Mimoso De Goiás,BR,-15.158889,-48.283890,2136
SJBG,Edifício Torre Almirante Heliport,SJBG,,Rio De Janeiro,BR,-22.909166,-43.178890,417
SJBH,Tranportadora Americana Heliport,SJBH,,São Paulo,BR,-23.514723,-46.738335,2407
SJBI,Edra Heliport,SJBI,,Ipeúna,BR,-22.440277,-47.697777,2002
SJBJ,Guancan Heliport,SJBJ,,Cotia,BR,-23.613056,-46.851391,2690
SJBK,Iriri Airport,SJBK,,Altamira,BR,-5.679167,-54.244999,581
SJBL,Fazenda São José Heliport,SJBL,,Rio Claro,BR,-22.330000,-47.488609,2113
SJBN,Aldeia Pykany Airport,SJBN,,Altamira,BR,-8.166667,-54.829723,1100
