Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
SN00,J Roesner Airport,SN00,,Salina,US,38.846901,-97.550301,1211
SN01,Dwight Eisenhower Va Medical Center Heliport,SN01,,Leavenworth,US,39.282799,-94.888000,897
SN02,Wright International Airport,SN02,,Kanorado,US,39.408298,-102.021004,3883
SN03,Lenora Municipal Airport,SN03,,Lenora,US,39.629398,-100.014999,2373
SN04,Roberts Memorial Airport,SN04,,Emporia,US,38.423100,-96.371902,1185
SN05,Halstead Airport,SN05,,Halstead,US,38.031399,-97.509201,1412
SN07,Beaumont Hotel Airport,SN07,,Beaumont,US,37.659199,-96.527199,1617
SN08,Fisher Airport,SN08,,Burrton,US,37.991699,-97.656403,1430
SN09,Solomon Valley Airpark,SN09,,Minneapolis,US,39.113899,-97.683098,1205
SN10,Belle Plaine Farms Airport,SN10,,Belle Plaine,US,37.395802,-97.209999,1190
SN11,Caney Municipal Hospital Helicopter Pad Heliport,SN11,,Caney,US,37.006500,-95.931602,755
SN12,Jenkinson Airport,SN12,,Meade,US,37.363899,-100.471001,2737
SN13,Albers Airport,SN13,,Cheney,US,37.658298,-97.774498,1380
SN14,Schoolcraft Airport,SN14,,Agricola,US,38.416698,-95.516899,1165
SN16,Curtis Airport,SN16,,Kechi,US,37.856400,-97.269798,1380
SN17,Shupe Airport,SN17,,Ashland,US,37.071999,-99.605103,1769
SN18,Sills Air Park,SN18,,Augusta,US,37.666698,-97.016998,1295
SN19,Flying H Ranch Airport,SN19,,Augusta,US,37.625000,-97.096199,1400
SN20,Brady-Pippin Airport,SN20,,Augusta,US,37.719501,-97.048897,1300
SN21,Flory /Private/ Airport,SN21,,Baldwin City,US,38.822800,-95.287804,1100
SN22,Hoelting Airport,SN22,,Basehor,US,39.112202,-94.956100,960
SN23,Overmiller Airport,SN23,,Smith Center,US,39.911999,-98.665604,2010
SN25,Lucas Airport,SN25,,Big Bow,US,37.418598,-101.557999,3172
SN26,Horttor Airport,SN26,,Blue Mound,US,38.177799,-95.002998,970
SN27,Bovinair Airport,SN27,,Bonner Springs,US,39.062500,-94.944702,920
SN28,Belcher Airport,SN28,,Brookville,US,38.868599,-97.937798,1420
SN29,Rucker Burdett Airport,SN29,,Burdett,US,38.187500,-99.533997,2151
SN30,Marysville Mediport Heliport,SN30,,Marysville,US,39.847801,-96.635002,1283
SN31,William Newton Memorial Hospital Heliport,SN31,,Winfield,US,37.245201,-96.982002,1156
SN32,Rands Airport,SN32,,Belle Plaine,US,37.426399,-97.269501,1210
SN33,Callaway Airpark,SN33,,Clay Center,US,39.433300,-97.121101,1275
SN34,Rucker Airport,SN34,,Clearwater,US,37.575001,-97.491997,1300
SN35,Menorah Medical Park Heliport,SN35,,Overland Park,US,38.910599,-94.650200,907
SN36,Wamsley Field,SN36,,Conway Springs,US,37.426399,-97.637802,1335
SN37,Harold K. Wells Airport,SN37,,Elmdale,US,38.387001,-96.729698,1100
SN38,Lawrence Memorial Hospital Heliport,SN38,,Lawrence,US,38.980000,-95.248901,858
SN39,Baldock Farm Airport,SN39,,Delphos,US,39.250000,-97.650299,1350
SN40,Olson Aerodrome,SN40,,Derby,US,37.523602,-97.198402,1325
SN41,Ziggy Carline Airport,SN41,,Girard,US,37.504200,-94.826698,1300
SN42,Harrod Airport,SN42,,Ottawa,US,38.561401,-95.208199,990
SN43,Strafuss Airport,SN43,,Effingham,US,39.504200,-95.471100,1050
SN44,Bob Faler Airport,SN44,,Elk City,US,37.300098,-95.900299,850
SN45,Michael's Airport,SN45,,Lawrence,US,38.831402,-95.266403,1105
SN46,Taylor Airport,SN46,,Benton,US,37.871899,-97.072197,1340
SN47,Converse Farm Airport,SN47,,Eskridge,US,38.766701,-96.107201,1231
SN48,Moore Field,SN48,,Byers,US,37.788300,-98.849800,1992
SN49,Mc Collough Airfield,SN49,,Randall,US,39.685299,-97.971199,1465
SN50,Mt Carmel Medical Center Heliport,SN50,,Pittsburg,US,37.380299,-94.685204,915
SN51,Meitl Airport,SN51,,Dresden,US,39.589699,-100.428001,2725
SN52,Pilot Pointe Estates Airport,SN52,,Douglass,US,37.481400,-97.012001,1237
SN53,Bonner Field,SN53,,Fredonia,US,37.433399,-95.916901,950
SN54,Overland Park Regional Medical Center Heliport,SN54,,Overland Park,US,38.837502,-94.724403,961
SN55,R J C Farms Inc Airport,SN55,,Friend,US,38.215302,-101.002998,2900
SN56,Mercy Hospital Heliport,SN56,,Fort Scott,US,37.836201,-94.708298,905
SN57,Witham Airport,SN57,,Ottawa,US,38.698601,-95.300301,1110
SN58,Foster Field,SN58,,El Dorado,US,37.869999,-96.646698,1440
SN59,Hermon Farm Airport,SN59,,Gardner,US,38.852798,-94.910004,1060
SN60,Lcf Heliport,SN60,,Lansing,US,39.250000,-94.900200,760
SN61,Yoder Airpark,SN61,,Goddard,US,37.659698,-97.629501,1475
SN62,Roberts Field,SN62,,Bentley,US,37.874199,-97.512497,1384
SN63,Gail Ballard Airport,SN63,,Haviland,US,37.608398,-99.115700,2165
SN64,Eck Field,SN64,,Goddard,US,37.695801,-97.539200,1330
SN65,Lake Waltanna Airport,SN65,,Goddard,US,37.591702,-97.616997,1440
SN66,Beesley Farms Airport,SN66,,Gove,US,38.818298,-100.455002,2635
SN67,Button Airport,SN67,,Great Bend,US,38.383301,-98.750397,1845
SN68,Lil Bird Airport,SN68,,Valley Center,US,37.879200,-97.310303,1456
SN69,Emmerson Airport,SN69,,Hammond,US,37.931400,-94.642700,860
SN70,Kaypod Airport,SN70,,Harper,US,37.251400,-97.954498,1379
SN71,Bob Park Airport,SN71,,Harper,US,37.302799,-97.964203,1396
SN72,Graham Farms Airport,SN72,,Harris,US,38.299999,-95.440002,985
SN73,Salina Regional Health Center Heliport,SN73,,Salina,US,38.831100,-97.610901,1228
SN74,Hays Medical Center Heliport,SN74,,Hays,US,38.880299,-99.299004,2000
SN75,Sommers Airport,SN75,,Highland,US,39.866699,-95.333603,1070
SN76,Sunflower Aerodrome,SN76,,Hutchinson,US,37.926399,-97.906197,1582
SN77,Johns Airport,SN77,,Johnson,US,37.400002,-101.766998,3390
SN78,Albright Airport,SN78,,Bucyrus,US,38.698101,-94.718803,1000
SN79,Municipal Office Building Heliport,SN79,,Kansas City,US,39.113098,-94.626099,1026
SN80,Girard District Hospital Heliport,SN80,,Girard,US,37.515598,-94.856697,995
SN81,Hancock Airport,SN81,,Piper,US,39.181900,-94.870003,940
SN83,Highcrest Air Park,SN83,,Lansing,US,39.227200,-94.951401,1000
SN84,Blaser's Airport,SN84,,Leavenworth,US,39.270802,-94.987701,1000
SN85,Fox Fire Airport,SN85,,Wellsville,US,38.733601,-95.102203,1058
SN86,Arrow B Ranch Airport,SN86,,Leoti,US,38.704201,-101.420998,3430
SN87,Supreme Feeders Airport,SN87,,Liberal,US,37.259998,-100.906998,2830
SN88,Crosswind Airfield,SN88,,Louisburg,US,38.571400,-94.712700,1100
SN89,Somerset Airport,SN89,,Louisburg,US,38.537800,-94.726898,1100
SN90,D'Field Airport,SN90,,Mc Louth,US,39.226398,-95.191902,1100
SN91,Godfrey Airport,SN91,,Madison,US,38.109699,-96.115601,1100
SN92,Sunshine Ranch Airport,SN92,,Manhattan,US,39.333302,-96.700302,1300
SN93,Dickson /Private/ Airport,SN93,,Miller,US,38.645802,-95.989197,1140
SN94,Amy Airport,SN94,,Minneola,US,37.466702,-100.000000,2560
SN95,Roberts Air Field,SN95,,Sylvia,US,37.977501,-98.404198,1765
SN97,Brollier Airport,SN97,,Moscow,US,37.326401,-101.197998,3056
SN98,Anton Flying Uv Airport,SN98,,Satanta,US,37.420799,-100.942001,2954
SN99,Laflin Ranch Airport,SN99,,Olsburg,US,39.400002,-96.616997,1190
SNAB,Araripina Airport,SNAB,,Araripina,BR,-7.586760,-40.535500,2194
SNAC,Fazenda Santa Rosa Airport,SNAC,,Xinguara,BR,-7.036670,-50.088902,699
SNAD,Fazenda Águia Branca Airport,SNAD,,Gurupi,BR,-3.327778,-46.779720,410
SNAE,Arcoverde Airport,SNAE,,Arcoverde,BR,-8.407880,-37.088200,2080
SNAF,Fazenda Água Comprida Airport,SNAF,,Água Comprida,BR,-19.946943,-48.033611,2211
SNAG,Araguari Airport,SNAG,,Araguari,BR,-18.668301,-48.190498,3107
SNAH,Adustina Airport,SNAH,,Adustina,BR,-10.580900,-38.088799,892
SNAI,Alto Parnaíba Airport,SNAI,APY,Alto Parnaíba,BR,-9.083611,-45.950558,968
SNAJ,Fazenda Jaguaré Airport,SNAJ,,Paragominas,BR,-3.421667,-48.335556,436
SNAK,Carajás Heliport,SNAK,,Parauapebas,BR,-6.081667,-50.073334,2106
SNAL,Arapiraca Airport,SNAL,APQ,Arapiraca,BR,-9.775360,-36.629200,886
SNAM,Santo Antônio do Amparo Airport,SNAM,,Santo Antônio Do Amparo,BR,-20.913500,-44.892899,3601
SNAP,Janaúba Airport,SNAP,,Janaúba,BR,-15.732000,-43.323101,1732
SNAQ,Elisa Heliport,SNAQ,,Jarinu,BR,-23.154167,-46.779722,2671
SNAR,Cirilo Queiróz Airport,SNAR,AMJ,Almenara,BR,-16.183890,-40.667220,640
SNAS,Três Marias Airport,SNAS,,Três Marias,BR,-18.222401,-45.188999,2579
SNAT,Aracati Airport,SNAT,,Aracati,BR,-4.567140,-37.799999,128
SNAV,Agrovale Airport,SNAV,,Juazeiro,BR,-9.504170,-40.369440,1289
SNAW,Fazenda Boa Fé Airport,SNAW,,Conquista,BR,-19.876944,-47.679722,2461
SNAX,Marcelo Pires Halzhausen Airport,SNAX,AIF,Assis,BR,-22.640000,-50.453056,1850
SNAY,Fazenda Rio Lages Airport,SNAY,,São Félix Do Xingu,BR,-6.281111,-51.746113,853
SNAZ,Amargosa Airport,SNAZ,,Amargosa,BR,-12.993600,-39.639900,1394
SNBB,Fazenda Agronol Airport,SNBB,,Luís Eduardo Magalhães,BR,-11.947222,-45.725277,2464
SNBC,Barra do Corda Airport,SNBC,BDC,Barra Do Corda,BR,-5.502500,-45.215833,509
SNBD,Sobradinho Airport,SNBD,,Juazeiro,BR,-9.462010,-40.824299,1240
SNBE,Fazenda Botuverá Airport,SNBE,,Paranatinga,BR,-14.470278,-53.667778,1001
SNBG,Baixo Guandu - Aimorés Airport,SNBG,,Baixo Guandu,BR,-19.499001,-41.041801,279
SNBH,Biocor Heliport,SNBH,,Nova Lima,BR,-19.981943,-43.944721,3907
SNBI,Bacabal Airport,SNBI,,Bacabal,BR,-4.227710,-44.820000,64
SNBJ,Belo Jardim Airport,SNBJ,,Belo Jardim,BR,-8.345270,-36.441200,2100
SNBK,Bocaíuva Airport,SNBK,,Bocaíuva,BR,-17.000000,-43.000000,2395
SNBL,Belmonte Airport,SNBL,BVM,Belmonte,BR,-15.871700,-38.871899,33
SNBM,Cristiano Ferreira Varella Airport,SNBM,,Muriaé,BR,-21.126101,-42.394402,886
SNBN,Balbinot Airport,SNBN,,Portel,BR,-2.875833,-50.491669,203
SNBR,Barreiras Airport,SNBR,BRA,Barreiras,BR,-12.078900,-45.008999,2447
SNBS,Balsas Airport,SNBS,BSS,Balsas,BR,-7.526030,-46.053299,930
SNBT,Benedito Leite Airport,SNBT,,Benedito Leite,BR,-7.216944,-44.550556,984
SNBU,Sócrates Mariani Bittencourt Airport,SNBU,BMS,Brumado,BR,-14.255400,-41.817501,1673
SNBV,Campo de Boi Airport,SNBV,,Ipixuna Do Pará,BR,-2.523310,-47.517399,186
SNBW,Baião Airport,SNBW,,Baião,BR,-2.800278,-49.667221,105
SNBX,Barra Airport,SNBX,BQQ,Barra,BR,-11.080800,-43.147499,1345
SNBY,Bambuí Airport,SNBY,,Bambuí,BR,-20.036400,-45.972301,2523
SNBZ,Paramirim Airport,SNBZ,,Paramirim,BR,-13.446111,-42.249168,1788
SNCA,Campo Belo Airport,SNCA,,Campo Belo,BR,-20.892300,-45.335098,3182
SNCB,Castanhal Airport,SNCB,,Prainha,BR,-2.523611,-53.939720,502
SNCC,Calçoene Airport,SNCC,,Calçoene,BR,2.514720,-50.952202,59
SNCD,Catuama Heliport,SNCD,,Goiana,BR,-7.690556,-34.875832,16
SNCF,Continental Airport,SNCF,,Altamira,BR,-3.295278,-52.259167,485
SNCG,Campos Gerais Airport,SNCG,,Campos Gerais,BR,-21.226110,-45.779167,2838
SNCI,Cibrasa Airport,SNCI,,Capanema,BR,-1.231000,-47.200600,174
SNCJ,Piquiatuba Airport,SNCJ,,Santarém,BR,-2.546667,-54.705002,407
SNCL,Lorenzo Airport,SNCL,,Cairu,BR,-13.389444,-38.910000,3
SNCM,Caponga Heliport,SNCM,,Cascavel,BR,-4.023611,-38.208889,20
SNCP,Planalto Serrano Regional Airport,SNCP,EEA,Correia Pinto,BR,-27.634167,-50.358333,2887
SNCQ,Cocorobó Airport,SNCQ,,Euclides Da Cunha,BR,-10.527222,-39.033054,1509
SNCR,Viganó I Heliport,SNCR,,Belo Horizonte,BR,-19.963057,-43.955555,3426
SNCS,Campos Sales Airport,SNCS,,Campos Sales,BR,-7.053020,-40.358501,2001
SNCT,Ubaporanga Airport,SNCT,,Caratinga,BR,-19.725300,-42.112099,2067
SNCU,Cururupu Airport,SNCU,CPU,Cururupu,BR,-1.821111,-44.866944,39
SNCW,Centro de Lançamento de Alcântara Airport,SNCW,,Alcântara,BR,-2.373000,-44.396400,148
SNCX,Colatina Airport,SNCX,QCH,Colatina,BR,-19.487000,-40.579399,492
SNCY,Campo da Praia Airport,SNCY,,Coruripe,BR,-10.220833,-36.286110,138
