Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
TE00,Coastal Bend Hospital Heliport,TE00,,Aransas Pass,US,27.913401,-97.159203,9
TE01,Dillard Ranch Airport,TE01,,Centerville,US,31.304899,-95.796600,225
TE02,Aresti Aerodrome,TE02,,Godley,US,32.470699,-97.560303,985
TE03,Huntsville Memorial Hospital Heliport,TE03,,Huntsville,US,30.697399,-95.557999,436
TE04,Split B Ranch Airport,TE04,,Canadian,US,35.702499,-100.285004,2580
TE05,MX Ranch Heliport,TE05,,Ennis,US,32.379166,-96.686943,500
TE06,Casey Field,TE06,,Leonard,US,33.379299,-96.316902,670
TE07,Gulf Coast Medical Center Heliport,TE07,,Wharton,US,29.344400,-96.117203,110
TE08,Flying W Airport,TE08,,Wingate,US,32.149601,-100.160004,2200
TE09,Minard Pegasus Airport,TE09,,Alvin,US,29.331900,-95.276001,25
TE10,Pierce Airport,TE10,,Henrietta,US,33.815399,-98.228104,885
TE11,Life Flight/Refuel Heliport,TE11,,Houston,US,29.569700,-95.437698,65
TE12,Cleveland Airport,TE12,,La Vernia,US,29.300200,-98.183601,600
TE13,Weiblen Airport,TE13,,Castroville,US,29.400200,-98.887497,830
TE14,Winns Heliport,TE14,,Jonestown,US,30.401300,-97.959999,750
TE15,M & M Land Company Airport,TE15,,Menard,US,30.891001,-99.632599,1800
TE16,Cow Pasture Airport,TE16,,Parker,US,32.250425,-97.297236,795
TE17,Heathrow Airport,TE17,,Robinson,US,31.439100,-97.146896,525
TE18,Mother Frances Hospital Heliport,TE18,,Tyler,US,32.509300,-95.289902,520
TE19,Tyler County Hospital Heliport,TE19,,Woodville,US,30.776300,-94.428299,265
TE20,Putman Heliport,TE20,,Wylie,US,33.022598,-96.536903,550
TE21,Lobo Mountain Ranch Airport,TE21,,Bandera,US,29.651300,-99.086403,1540
TE22,Texas Scottish Rite Hospital For Children Heliport,TE22,,Dallas,US,32.799999,-96.800003,622
TE23,Santa Rosa Northwest Hospital Heliport,TE23,,San Antonio,US,29.511101,-98.588600,932
TE24,Horseshoe Lake Airport,TE24,,Sanger,US,33.393200,-97.205299,725
TE25,Texas Dept of Public Safety Heliport,TE25,,Waco,US,31.640200,-97.091904,500
TE26,Arrow 'S' Ranch Airport,TE26,,Cambellton,US,28.783600,-98.349998,275
TE27,Harrison Piloncillo Ranch Airport,TE27,,Catarina,US,28.254400,-99.599197,520
TE28,Shell Deer Park Refinery Heliport,TE28,,Deer Park,US,29.712999,-95.125099,29
TE29,La Esperanza Ranch Airport,TE29,,Encinal,US,28.073099,-99.574203,750
TE30,Harris Hospital Heliport,TE30,,Fort Worth,US,32.736801,-97.338097,753
TE31,Mc David Pontiac Company Heliport,TE31,,Irving,US,32.836201,-97.000000,510
TE32,Rancho Blanco Airport,TE32,,Laredo,US,27.308599,-99.481400,385
TE33,Eagles Nest Gliderport,TE33,,Midland,US,31.683500,-102.183998,2985
TE34,Reb Folbre's Place Airport,TE34,,Millsap,US,32.762600,-97.972801,940
TE35,Mc Coy Bldg Sup 16 Heliport,TE35,,New Braunfels,US,29.694700,-98.146896,667
TE36,Gerum Farm Airport,TE36,,Shiner,US,29.391899,-97.184700,425
TE37,Canyon Ranch Airport,TE37,,Sonora,US,30.269100,-100.450996,2306
TE38,Loghouse /Stol/ STOLport,TE38,,Goodrich,US,30.592699,-94.909401,184
TE39,Bucker Field,TE39,,Era,US,33.443199,-97.273399,877
TE40,Caselman Ranch Airport,TE40,,Breckenridge,US,32.674801,-98.826202,1387
TE41,Montgomery Co Law Enforcement Cntr Heliport,TE41,,Conroe,US,30.335199,-95.453003,210
TE42,D.F.C.H. Heliport,TE42,,Corpus Christi,US,27.748600,-97.384697,31
TE43,Parkland Health & Hospital System Heliport,TE43,,Dallas,US,32.809799,-96.839500,486
TE44,My Heliport,TE44,,Dayton,US,30.106300,-94.855797,45
TE45,Buffalo Chips Airpark,TE45,,Joshua,US,32.469898,-97.465302,960
TE46,Memorial Hospital Heliport,TE46,,Refugio,US,28.306400,-97.796898,50
TE47,Cross Wind Acres Airport,TE47,,Rio Vista,US,32.209000,-97.317802,760
TE48,King's Ranch Airport,TE48,,Lampasas,US,31.044901,-98.042801,1025
TE49,H.S.I. Heliport,TE49,,Tomball,US,30.061001,-95.557800,150
TE50,Hirok Airport,TE50,,Milford,US,32.173199,-96.966103,700
TE51,Lackorn Airport,TE51,,Seguin,US,29.539101,-97.834999,420
TE52,Chigger Field,TE52,,Cresson,US,32.535999,-97.588600,950
TE53,Spring Branch Memorial Hospital Heliport,TE53,,Spring Valley,US,29.804899,-95.508003,83
TE54,Alba-Golden Heliport,TE54,,Golden,US,32.729401,-95.564697,425
TE55,Flyin Armadillo Airport,TE55,,Jacksboro,US,33.421700,-98.190598,995
