Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
UA30,Batken Airport,UA30,,Batken,KG,40.042702,70.838097,3517
UA34,Chardara Airport,UA34,,Shardara,KZ,41.276501,67.971001,709
UA36,Lugovoy Airport,UA36,,Lugovoy,KZ,42.973598,72.726402,2130
UA66,Chirchik Airport,UA66,,Chirchik,UZ,41.516800,69.575401,2296
UAAA,Almaty Airport,UAAA,ALA,Almaty,KZ,43.352100,77.040497,2234
UAAH,Balkhash Airport,UAAH,BXH,Balkhash,KZ,46.893299,75.004997,1446
UAAL,Usharal Airport,UAAL,USJ,Usharal,KZ,46.195833,80.833333,1294
UAAR,Boralday Airport,UAAR,BXJ,Aima Ata,KZ,43.352600,76.883698,2313
UAAT,Taldykorgan Airport,UAAT,TDK,Taldykorgan,KZ,45.126202,78.446999,1946
UACC,Astana International Airport,UACC,NQZ,Astana,KZ,51.022202,71.466904,1165
UACK,Kokshetau Airport,UACK,KOV,Kokshetau,KZ,53.329102,69.594597,900
UACP,Petropavlosk South Airport,UACP,PPK,Petropavlosk,KZ,54.774700,69.183899,453
UADD,Taraz Airport,UADD,DMB,Taraz,KZ,42.853600,71.303596,2184
UAFB,Batken Airport,UAFB,,Batken,KG,40.042702,70.838097,3517
UAFG,Cholpon-Ata Airport,UAFG,,Cholpon-Ata,KG,42.653702,77.056702,5420
UAFI,Isfana Airport,UAFI,,Isfana,KG,39.824737,69.568820,4625
UAFL,Issyk-Kul International Airport,UAFL,,Tamchy,KG,42.588299,76.713303,5425
UAFP,Karakol Airport,UAFP,,Karakol,KG,42.508099,78.407799,5590
UAFW,Kant Air Base,UAFW,,Kant,KG,42.853199,74.846497,2549
UAFZ,Kazarman Airport,UAFZ,,Kazarman,KG,41.410291,74.044418,4298
UAII,Shymkent Airport,UAII,CIT,Shymkent,KZ,42.364201,69.478897,1385
UAIT,Turkistan Airport,UAIT,HSA,Turkistan,KZ,43.311116,68.550349,989
UAKD,Zhezkazgan Airport,UAKD,DZN,Zhezkazgan,KZ,47.708302,67.733299,1250
UAKK,Sary-Arka Airport,UAKK,KGF,Karaganda,KZ,49.670799,73.334396,1765
UAON,Yubileyniy Airfield,UAON,,Baikonur,KZ,46.055000,63.250000,328
UAOO,Kzyl-Orda Southwest Airport,UAOO,KZO,Kzyl-Orda,KZ,44.706902,65.592499,433
UARR,Uralsk Airport,UARR,URA,Uralsk,KZ,51.150799,51.543098,125
UASA,Ayaguz Airport,UASA,,Ayaguz,KZ,47.918598,80.452797,2119
UASB,Ekibastuz Airport,UASB,EKB,Ekibastuz,KZ,51.591000,75.214996,621
UASK,Ust-Kamennogorsk Airport,UASK,UKK,Ust Kamenogorsk,KZ,50.036598,82.494202,939
UASP,Pavlodar Airport,UASP,PWQ,Pavlodar,KZ,52.195000,77.073898,410
UASS,Semipalatinsk Airport,UASS,PLX,Semey,KZ,50.351299,80.234398,761
UATA,Aralsk Airport,UATA,,Aralsk,KZ,46.833000,61.617001,223
UATE,Aktau Airport,UATE,SCO,Aktau,KZ,43.860100,51.091999,73
UATG,Atyrau Airport,UATG,GUW,Atyrau,KZ,47.121899,51.821400,-72
UATT,Aktobe Airport,UATT,AKX,Aktyuinsk,KZ,50.245800,57.206699,738
UAUR,Arkalyk North Airport,UAUR,AYK,Arkalyk,KZ,50.318600,66.952797,1266
UAUU,Kostanay West Airport,UAUU,KSN,Kostanay,KZ,53.206902,63.550301,595
