Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
VLAP,Attopeu Airport,VLAP,AOU,Attopeu,LA,14.814715,106.821699,344
VLBK,Bokeo International Airport,VLBK,BOR,Bokeo Province,LA,20.323889,100.165556,1175
VLFL,Boun Neau Airport,VLFL,PCQ,Phongsaly,LA,21.647500,101.900000,50
VLLB,Luang Phabang International Airport,VLLB,LPQ,Luang Phabang,LA,19.897301,102.161003,955
VLLN,Luang Namtha Airport,VLLN,LXG,Luang Namtha,LA,20.966999,101.400002,1968
VLOS,Oudomsay Airport,VLOS,ODY,Oudomsay,LA,20.682699,101.994003,1804
VLPS,Pakse International Airport,VLPS,PKZ,Pakse,LA,15.132100,105.780998,351
VLSB,Sayaboury Airport,VLSB,ZBY,Sayaboury,LA,19.233000,101.733002,1247
VLSK,Savannakhet Airport,VLSK,ZVK,Savannakhet,LA,16.556667,104.759444,509
VLSN,Nathong Airport,VLSN,NEU,Xam Neua,LA,20.418333,104.066111,100
VLSV,Saravane Airport,VLSV,VNA,Saravane,LA,15.709439,106.410699,574
VLTK,Thakhek Airport,VLTK,THK,Thakhek,LA,17.400000,104.800003,449
VLVT,Wattay International Airport,VLVT,VTE,Vientiane,LA,17.988300,102.563004,564
VLXK,Xieng Khouang Airport,VLXK,XKH,Xieng Khouang,LA,19.450001,103.157997,3445
