Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
YDBY,Derby Airport,YDBY,DRB,Derby,AU,-17.370000,123.660556,24
YDEA,Delara Airfield,YDEA,,Bulman,AU,-13.668750,134.291100,488
YDEK,Denmark Airport,YDEK,,Denmark,AU,-34.945000,117.397003,230
YDGA,Dalgaranga Gold Mine Airport,YDGA,,Daggar Hills,AU,-27.830278,117.316389,1713
YDGU,Degrussa Airport,YDGU,,Degrussa,AU,-25.558333,119.287500,1823
YDIX,Dixie Airport,YDIX,DXD,New Dixie,AU,-15.117494,143.316050,580
YDKG,Duketon Gold Airport,YDKG,,De La Poer Range,AU,-27.601900,122.333900,1770
YDLO,Darlot Airport,YDLO,,Darlot-Centenary Gold Mine,AU,-27.873611,121.271667,1513
YDLW,Daly Waters Airport,YDLW,DYW,Daly Waters,AU,-16.264695,133.383379,700
YDOC,Dochra Airfield,YDOC,,Singleton,AU,-32.650002,151.207993,185
YDPO,Devonport Airport,YDPO,DPO,Devonport,AU,-41.169701,146.429993,33
