Code,Name,ICAO,IATA,Location,CountryISO2,Latitude,Longitude,AltitudeFeet
YXAH,Armidale - Lambert Park Helipad,YXAH,,Armidale,AU,-30.511300,151.655200,3246
YXAL,Albury Base Hospital Helipad,YXAL,,Albury,AU,-36.079212,146.938565,588
YXBA,Ballina - Kingsford Smith Park Helipad,YXBA,,Ballina,AU,-28.869200,153.571300,17
YXBD,Bundaberg Base Hospital Helipad,YXBD,,Bundaberg,AU,-24.869446,152.335045,60
YXBI,Biggenden Hospital Helipad,YXBI,,Biggenden,AU,-25.506941,152.050651,391
YXBM,Batemans Bay Helipad,YXBM,,Batemans Bay,AU,-35.713010,150.187200,3
YXBS,Beaudesert Hospital Helipad,YXBS,,Beaudesert,AU,-27.985710,153.002345,265
YXCB,Canberra Hospital Helipad,YXCB,,Canberra,AU,-35.343777,149.099953,1953
YXCH,Cherbourg Hospital Helipad,YXCH,,Cherbourg,AU,-26.291240,151.957420,1006
YXCI,Chinchilla Hospital Helipad,YXCI,,Chinchilla,AU,-26.740660,150.634250,1007
YXCM,Cooma Hospital Helipad,YXCM,,Cooma,AU,-36.242155,149.130147,2656
YXCV,Collinsville Hospital Helipad,YXCV,,Collinsville,AU,-20.546745,147.837734,706
YXCY,Calvary - Bruce Oval Helipad,YXCY,,Canberra,AU,-35.247000,149.092700,2031
YXDH,Royal Darwin Hospital Helipad,YXDH,,Darwin,AU,-12.352840,130.881645,50
YXDR,Munduberra Hospital Helipad,YXDR,,Munduberra,AU,-25.588150,151.293190,470
YXDU,Dunwich Hospital Helipad,YXDU,,Dunwich,AU,-27.496960,153.399233,32
YXDY,Dysart Hospital Helipad,YXDY,,Dysart,AU,-22.582854,148.353544,744
YXEE,Moree Hospital Helipad,YXEE,,Moree,AU,-29.470890,149.840540,694
YXEI,Eidsvold Hospital Helipad,YXEI,,Eidsvold,AU,-25.382466,151.125000,647
YXES,Esk Hospital Helipad,YXES,,Esk,AU,-27.240860,152.418000,395
YXFV,Newcastle Westpac Base Heliport,YXFV,,Newcastle,AU,-32.920300,151.729996,28
YXGI,Gayndah Hospital Helipad,YXGI,,Gayndah,AU,-25.632020,151.604750,459
