ICAO,Manufacturer,Model,Engines,EngineTypeCode,EnginePlacementCode,SpeciesCode,WakeTurbulenceCode,IsActive
B06,Agusta,AB-206 JetRanger,1,T,,H,L,1
B06,Agusta,AB-206 LongRanger,1,T,,H,L,1
B06,Agusta,Hkp6 JetRanger,1,T,,H,L,1
B06,Agusta,JetRanger,1,T,,H,L,1
B06,Agusta,LongRanger,1,T,,H,L,1
B06,Bell,206A JetRanger,1,T,,H,L,1
B06,Bell,206B JetRanger,1,T,,H,L,1
B06,Bell,206L LongRanger,1,T,,H,L,1
B06,Bell,406,1,T,,H,L,1
B06,Bell,406 Combat Scout,1,T,,H,L,1
B06,Bell,CH-136,1,T,,H,L,1
B06,Bell,CH-139,1,T,,H,L,1
B06,Bell,COH-58,1,T,,H,L,1
B06,Bell,Combat Scout,1,T,,H,L,1
B06,Bell,Creek,1,T,,H,L,1
B06,Bell,JetRanger,1,T,,H,L,1
B06,Bell,Kiowa,1,T,,H,L,1
B06,Bell,Kiowa Warrior,1,T,,H,L,1
B06,Bell,LongRanger,1,T,,H,L,1
B06,Bell,OH-58 Kiowa,1,T,,H,L,1
B06,Bell,OH-58 Kiowa Warrior,1,T,,H,L,1
B06,Bell,SeaRanger,1,T,,H,L,1
B06,Bell,TH-206,1,T,,H,L,1
B06,Bell,TH-57 SeaRanger,1,T,,H,L,1
B06,Bell,TH-67 Creek,1,T,,H,L,1
B06,Bell,VH-4 JetRanger,1,T,,H,L,1
B06,Commonwealth Aircraft (Aus),BA-206 Kiowa,1,T,,H,L,1
B06,Commonwealth Aircraft (Aus),CA-32 Kiowa,1,T,,H,L,1
B06,Commonwealth Aircraft (Aus),Kiowa,1,T,,H,L,1
B06,Panha,2061,1,T,,H,L,1
B06T,Bell,206LT TwinRanger,2,T,,H,L,1
B06T,Bell,TwinRanger,2,T,,H,L,1
B06T,Tridair,206L-ST Gemini ST,2,T,,H,L,1
B06T,Tridair,Gemini ST,2,T,,H,L,1
B1,Rockwell,B-1 Lancer,4,J,,L,H,1
B1,Rockwell,Lancer,4,J,,L,H,1
B103,Beriev,Be-103 Bekas,2,P,,A,L,1
B103,Beriev,Bekas,2,P,,A,L,1
B105,Bolkow,BO-105,2,T,,H,L,1
B105,CASA,BO-105,2,T,,H,L,1
B105,CASA,HR-15,2,T,,H,L,1
B105,Dirgantara,NBO-105,2,T,,H,L,1
B105,Eurocopter,BO-105,2,T,,H,L,1
B105,Eurocopter,BO-105 Super Five,2,T,,H,L,1
B105,Eurocopter,Super Five,2,T,,H,L,1
B105,Korea Aerospace,BO-105,2,T,,H,L,1
B105,MBB,BO-105,2,T,,H,L,1
B105,MBB,BO-105 Twin Jet,2,T,,H,L,1
B105,MBB,Hkp9,2,T,,H,L,1
B105,MBB,Twin Jet,2,T,,H,L,1
B105,Messerschmitt-Bolkow,BO-105,2,T,,H,L,1
B105,Nurtanio,NBO-105,2,T,,H,L,1
B105,Nusantara,NBO-105,2,T,,H,L,1
B105,PADC,BO-105,2,T,,H,L,1
B13,Akaflieg Berlin,B-13,1,P,,L,L,1
B14A,Bellanca,14 Cruisair,1,P,,L,L,1
B14A,Bellanca,14 Cruisair Senior,1,P,,L,L,1
B14A,Bellanca,14 Cruisemaster,1,P,,L,L,1
B14A,Bellanca,14 Junior,1,P,,L,L,1
B14A,Bellanca,Cruisair,1,P,,L,L,1
B14A,Bellanca,Cruisair Senior,1,P,,L,L,1
B14A,Bellanca,Cruisemaster,1,P,,L,L,1
B14A,Bellanca,Junior,1,P,,L,L,1
B14A,Downer,14 Cruisemaster,1,P,,L,L,1
B14A,Downer,Cruisemaster,1,P,,L,L,1
B14A,Northern,14 Cruisemaster,1,P,,L,L,1
B14A,Northern,Cruisemaster,1,P,,L,L,1
B14B,Downer,14 Bellanca 260,1,P,,L,L,1
B14B,Downer,Bellanca 260,1,P,,L,L,1
B14C,Bellanca,14 Bellanca 260A,1,P,,L,L,1
B14C,Bellanca,14 Bellanca 260B,1,P,,L,L,1
B14C,Bellanca,14 Bellanca 260C,1,P,,L,L,1
B14C,Bellanca,Bellanca 260A,1,P,,L,L,1
B14C,Bellanca,Bellanca 260B,1,P,,L,L,1
B14C,Bellanca,Bellanca 260C,1,P,,L,L,1
B14C,Downer,14 Bellanca 260A,1,P,,L,L,1
B14C,Downer,Bellanca 260A,1,P,,L,L,1
B14C,Inter-Air,14 Bellanca 260A,1,P,,L,L,1
B14C,Inter-Air,14 Bellanca 260B,1,P,,L,L,1
B14C,Inter-Air,14 Bellanca 260C,1,P,,L,L,1
B14C,Inter-Air,Bellanca 260A,1,P,,L,L,1
B14C,Inter-Air,Bellanca 260B,1,P,,L,L,1
B14C,Inter-Air,Bellanca 260C,1,P,,L,L,1
B150,Winner,B-150,1,T,,H,L,1
B17,Boeing,B-17 Flying Fortress,4,P,,L,M,1
B17,Boeing,Flying Fortress,4,P,,L,M,1
B18T,Beech,18 (turbine),2,T,,L,L,1
B18T,Hamilton,Westwind 2,2,T,,L,L,1
B18T,Hamilton,Westwind 3,2,T,,L,L,1
B18T,Volpar,Turbo 18,2,T,,L,L,1
B18T,Volpar,Turboliner,2,T,,L,L,1
B190,Beech,1900,2,T,,L,M,1
B190,Beech,C-12J,2,T,,L,M,1
B190,Raytheon,1900,2,T,,L,M,1
B2,Northrop,B-2 Spirit,4,J,,L,H,1
B2,Northrop,Spirit,4,J,,L,H,1
B2,Northrop Grumman,B-2 Spirit,4,J,,L,H,1
B2,Northrop Grumman,Spirit,4,J,,L,H,1
B209,Bolkow,BO-209 Monsun,1,P,,L,L,1
B209,Bolkow,Monsun,1,P,,L,L,1
B209,MBB,BO-209 Monsun,1,P,,L,L,1
B209,MBB,Monsun,1,P,,L,L,1
B209,Messerschmitt-Bolkow,BO-209 Monsun,1,P,,L,L,1
B209,Messerschmitt-Bolkow,Monsun,1,P,,L,L,1
B212,Agusta,AB-212,2,T,,H,L,1
B212,Bell,212,2,T,,H,L,1
B212,Bell,212 Twin Two-Twelve,2,T,,H,L,1
B212,Bell,Twin Two-Twelve,2,T,,H,L,1
B212,Bell,UH-1N,2,T,,H,L,1
B212,Bell,VH-1,2,T,,H,L,1
B214,Bell,214A Isfahan,1,T,,H,M,1
B214,Bell,214B,1,T,,H,M,1
B214,Bell,214C BigLifter,1,T,,H,M,1
B214,Bell,BigLifter,1,T,,H,M,1
B214,Bell,Isfahan,1,T,,H,M,1
B222,Bell,222,2,T,,H,L,1
B23,Douglas,B-23 Dragon,2,P,,L,M,1
B23,Douglas,Dragon,2,P,,L,M,1
B23,Douglas,UC-67 Dragon,2,P,,L,M,1
B230,Bell,230,2,T,,H,L,1
B23E,BRM Aero,Bristell B23 Energic,1,E,,L,L,1
B24,Consolidated,B-24 Liberator,4,P,,L,M,1
B24,Consolidated,C-87 Liberator Express,4,P,,L,M,1
B24,Consolidated,LB-30 Liberator,4,P,,L,M,1
B24,Consolidated,Liberator,4,P,,L,M,1
B24,Consolidated,Liberator Express,4,P,,L,M,1
B24,Convair,B-24 Liberator,4,P,,L,M,1
B24,Convair,C-87 Liberator Express,4,P,,L,M,1
B24,Convair,Liberator,4,P,,L,M,1
B24,Convair,Liberator Express,4,P,,L,M,1
B24,Consolidated,C-87 Libeator Express,4,P,,L,M,0
B25,North American,B-25 Mitchell,2,P,,L,M,1
B25,North American,Mitchell,2,P,,L,M,1
B25,North American,PBJ Mitchell,2,P,,L,M,1
B25,North American,TB-25 Mitchell,2,P,,L,M,1
B26,Douglas,A-26 Invader,2,P,,L,M,1
B26,Douglas,B-26 Invader,2,P,,L,M,1
B26,Douglas,CB-26 Invader,2,P,,L,M,1
B26,Douglas,Invader,2,P,,L,M,1
B26,Douglas,RB-26 Invader,2,P,,L,M,1
B26,Douglas,TB-26 Invader,2,P,,L,M,1
B26,Douglas,UB-26 Invader,2,P,,L,M,1
B26,Douglas,VB-26 Invader,2,P,,L,M,1
B26,On Mark,Marketeer,2,P,,L,M,1
B26,On Mark,Marksman,2,P,,L,M,1
B26M,Martin,179 Marauder,2,P,,L,M,1
B26M,Martin,B-26 Marauder,2,P,,L,M,1
B26M,Martin,Marauder,2,P,,L,M,1
B29,Boeing,B-29 Superfortress,4,P,,L,M,1
B29,Boeing,Superfortress,4,P,,L,M,1
B305,Brantly,305,1,P,,H,L,1
B350,Beech,300 (B300) Super King Air 350,2,T,,L,L/M,1
B350,Beech,Super King Air 350,2,T,,L,L/M,1
B350,Beechcraft,300 (B300) King Air 350,2,T,,L,L/M,1
B350,Beechcraft,300 (B300) King Air 360,2,T,,L,L/M,1
B350,Beechcraft,King Air 350,2,T,,L,L/M,1
B350,Beechcraft,King Air 360,2,T,,L,L/M,1
B350,Hawker Beechcraft,300 (B300) King Air 350,2,T,,L,L/M,1
B350,Hawker Beechcraft,300 (B300) Shadow,2,T,,L,L/M,1
B350,Hawker Beechcraft,King Air 350,2,T,,L,L/M,1
B350,Hawker Beechcraft,MC-12,2,T,,L,L/M,1
B350,Hawker Beechcraft,Shadow,2,T,,L,L/M,1
B350,Raytheon,300 (B300) Super King Air 350,2,T,,L,L/M,1
B350,Raytheon,LR-2 Super King Air 350,2,T,,L,L/M,1
B350,Raytheon,Super King Air 350,2,T,,L,L/M,1
B350,Beechcraft,300 (B300) King Air 350,2,T,,L,L,0
B350,Beechcraft,King Air 350,2,T,,L,L,0
B360,Yakovlev Aircraft,Bear 360,1,P,,L,L,1
B36T,Allison,36 Turbine Bonanza,1,T,,L,L,1
B36T,Allison,Turbine Bonanza,1,T,,L,L,1
B36T,Beech,36 Bonanza (turbine),1,T,,L,L,1
B36T,Beech,"Bonanza (36, turbine)",1,T,,L,L,1
B36T,Raytheon,36 Bonanza (turbine),1,T,,L,L,1
B36T,Raytheon,"Bonanza (36, turbine)",1,T,,L,L,1
B36T,Tradewind Turbines,36 Prop-Jet Bonanza,1,T,,L,L,1
B36T,Tradewind Turbines,Prop-Jet Bonanza,1,T,,L,L,1
B37M,Boeing,737 MAX 7,2,J,,L,M,1
B37M,Boeing,737 MAX 7 BBJ,2,J,,L,M,1
B37M,Boeing,737-7,2,J,,L,M,1
B37M,Boeing,BBJ (737 MAX 7),2,J,,L,M,1
B38M,Boeing,737 MAX 8,2,J,,L,M,1
B38M,Boeing,737 MAX 8 BBJ,2,J,,L,M,1
B38M,Boeing,737 MAX 8200,2,J,,L,M,1
B38M,Boeing,737-8,2,J,,L,M,1
B38M,Boeing,737-8200,2,J,,L,M,1
B38M,Boeing,BBJ (737 MAX 8),2,J,,L,M,1
B38M,Boeing,737 MAX 200,2,J,,L,M,0
B39M,Boeing,737 MAX 9,2,J,,L,M,1
B39M,Boeing,737 MAX 9 BBJ,2,J,,L,M,1
B39M,Boeing,737-9,2,J,,L,M,1
B39M,Boeing,BBJ (737 MAX 9),2,J,,L,M,1
B3XM,Boeing,737 MAX 10,2,J,,L,M,1
B3XM,Boeing,737-10,2,J,,L,M,1
B407,Bell,407,1,T,,H,L,1
B407,Bell,Arapaho (RH-70),1,T,,H,L,1
B407,Bell,ARH-70 Arapaho,1,T,,H,L,1
B407,Bell,YRH-70 Arapaho,1,T,,H,L,1
B407,Nusantara,NBell-407,1,T,,H,L,1
B412,Agusta,AB-412,2,T,,H,L,1
B412,Agusta,AB-412 Griffon,2,T,,H,L,1
B412,Agusta,Griffon,2,T,,H,L,1
B412,Agusta,Hkp11,2,T,,H,L,1
B412,Bell,412,2,T,,H,L,1
B412,Bell,412 Arapaho,2,T,,H,L,1
B412,Bell,412 Griffin,2,T,,H,L,1
B412,Bell,412 Sentinel,2,T,,H,L,1
B412,Bell,Arapaho (412),2,T,,H,L,1
B412,Bell,CH-146 Griffon,2,T,,H,L,1
B412,Bell,Griffin,2,T,,H,L,1
B412,Bell,Griffon,2,T,,H,L,1
B412,Bell,Sentinel,2,T,,H,L,1
B412,Dirgantara,NBell-412,2,T,,H,L,1
B412,Nusantara,NBell-412,2,T,,H,L,1
B427,Bell,427,2,T,,H,L,1
B427,Korea Aerospace,SB-427,2,T,,H,L,1
B429,Bell,429 GlobalRanger,2,T,,H,L,1
B429,Bell,GlobalRanger,2,T,,H,L,1
B430,Bell,430,2,T,,H,L,1
B461,British Aerospace,BAe-146-100,4,J,,L,M,1
B461,British Aerospace,BAe-146-100 Statesman,4,J,,L,M,1
B461,British Aerospace,Statesman (100),4,J,,L,M,1
B462,British Aerospace,BAe-146-200,4,J,,L,M,1
B462,British Aerospace,BAe-146-200 Quiet Trader,4,J,,L,M,1
B462,British Aerospace,BAe-146-200 Statesman,4,J,,L,M,1
B462,British Aerospace,Quiet Trader,4,J,,L,M,1
B462,British Aerospace,Statesman (200),4,J,,L,M,1
B463,British Aerospace,BAe-146-300,4,J,,L,M,1
B47G,Agusta,AB-47G,1,P,,H,L,1
B47G,Bell,47D,1,P,,H,L,1
B47G,Bell,47G,1,P,,H,L,1
B47G,Bell,47G Trooper,1,P,,H,L,1
B47G,Bell,47H,1,P,,H,L,1
B47G,Bell,OH-13 Sioux,1,P,,H,L,1
B47G,Bell,Sioux,1,P,,H,L,1
B47G,Bell,TH-13T,1,P,,H,L,1
B47G,Bell,Trooper,1,P,,H,L,1
B47G,Bell,UH-13H,1,P,,H,L,1
B47G,Kawasaki,47G,1,P,,H,L,1
B47G,Westland,Sioux,1,P,,H,L,1
B47J,Agusta,AB-47J,1,P,,H,L,1
B47J,Bell,47J Ranger,1,P,,H,L,1
B47J,Bell,HH-13,1,P,,H,L,1
B47J,Bell,Ranger,1,P,,H,L,1
B47J,Bell,TH-13N,1,P,,H,L,1
B47J,Bell,UH-13J,1,P,,H,L,1
B47J,Bell,UH-13P,1,P,,H,L,1
B47J,Bell,UH-13R,1,P,,H,L,1
B47T,Soloy,Bell 47,1,T,,H,L,1
B505,Bell,505 Jet Ranger X,1,T,,H,L,1
B505,Bell,Jet Ranger X,1,T,,H,L,1
B52,Boeing,B-52 Stratofortress,8,J,,L,H,1
B52,Boeing,Stratofortress,8,J,,L,H,1
B525,Bell,525 Relentless,2,T,,H,M,1
B525,Bell,Relentless,2,T,,H,M,1
B58T,Beech,58P Pressurized Baron,2,P,,L,L,1
B58T,Beech,58TC Baron,2,P,,L,L,1
B58T,Beech,Baron (58TC),2,P,,L,L,1
B58T,Beech,Pressurized Baron,2,P,,L,L,1
B60,Boisavia,B-60 Mercurey,1,P,,L,L,1
B60,Boisavia,B-601 Mercurey,1,P,,L,L,1
B60,Boisavia,B-602 Mercurey,1,P,,L,L,1
B60,Boisavia,B-603 Mercurey,1,P,,L,L,1
B60,Boisavia,B-604 Mercurey,1,P,,L,L,1
B60,Boisavia,B-605 Mercurey,1,P,,L,L,1
B60,Boisavia,B-606 Mercurey,1,P,,L,L,1
B60,Boisavia,Mercurey,1,P,,L,L,1
B609,AgustaWestland,AW-609,2,T,,T,M,1
B609,Bell-Agusta,BA-609,2,T,,T,M,1
B60T,Beech,60 Royal Turbine Duke,2,T,,L,L,1
B60T,Beech,Royal Turbine Duke,2,T,,L,L,1
B60T,Northwest Turbine,60 Royal Turbine Duke,2,T,,L,L,1
B60T,Northwest Turbine,Royal Turbine Duke,2,T,,L,L,1
B701,Boeing,707-100,4,J,,L,M,1
B703,Boeing,707-300,4,J,,L,H,1
B703,Boeing,C-137,4,J,,L,H,1
B703,Boeing,C-18,4,J,,L,H,1
B703,Boeing,E-8 J-Stars,4,J,,L,H,1
B703,Boeing,EC-137,4,J,,L,H,1
B703,Boeing,EC-18,4,J,,L,H,1
B703,Boeing,J-Stars,4,J,,L,H,1
B703,Boeing,KC-137,4,J,,L,H,1
B703,Grumman,E-8 J-Stars,4,J,,L,H,1
B703,Grumman,J-Stars,4,J,,L,H,1
B703,IAI,707 Phalcon,4,J,,L,H,1
B703,IAI,Phalcon,4,J,,L,H,1
B703,Northrop Grumman,E-8 J-Stars,4,J,,L,H,1
B703,Northrop Grumman,J-Stars,4,J,,L,H,1
B712,Boeing,717-200,2,J,A,L,M,1
B712,Boeing,717-200 Business Express,2,J,A,L,M,1
B712,Boeing,Business Express,2,J,A,L,M,1
B720,Boeing,720,4,J,,L,M,1
B721,Boeing,727-100,3,J,A,L,M,1
B721,Boeing,C-22,3,J,A,L,M,1
B722,Boeing,727-200,3,J,A,L,M,1
B731,Boeing,737-100,2,J,,L,M,0
B732,Boeing,737-200,2,J,,L,M,1
B732,Boeing,737-200 Surveiller,2,J,,L,M,1
B732,Boeing,CT-43,2,J,,L,M,1
B732,Boeing,Surveiller,2,J,,L,M,1
B732,Boeing,VC-96,2,J,,L,M,1
B733,Boeing,737-300,2,J,,L,M,1
B734,Boeing,737-400,2,J,,L,M,1
B735,Boeing,737-500,2,J,,L,M,1
B736,Boeing,737-600,2,J,,L,M,1
B737,Boeing,737-700,2,J,,L,M,1
B737,Boeing,737-700 BBJ,2,J,,L,M,1
B737,Boeing,BBJ (737-700),2,J,,L,M,1
B737,Boeing,C-40,2,J,,L,M,1
B737,Boeing,C-40 Clipper,2,J,,L,M,1
B737,Boeing,Clipper,2,J,,L,M,1
B737,Boeing,737 MAX 7,2,J,,L,M,0
B737,Boeing,BBJ,2,J,,L,M,0
B738,Boeing,737-800,2,J,,L,M,1
B738,Boeing,737-800 BBJ2,2,J,,L,M,1
B738,Boeing,BBJ2,2,J,,L,M,1
B738,Boeing,737 MAX 8,2,J,,L,M,0
B738,Boeing,BBJ (737 MAX 8),2,J,,L,M,0
B739,Boeing,737-900,2,J,,L,M,1
B739,Boeing,737-900 BBJ3,2,J,,L,M,1
B739,Boeing,BBJ3,2,J,,L,M,1
B739,Boeing,737 MAX 9,2,J,,L,M,0
B739,Boeing,BBJ (737 MAX 9),2,J,,L,M,0
B741,Boeing,747-100,4,J,,L,H,1
B742,Boeing,747-200,4,J,,L,H,1
B742,Boeing,E-4,4,J,,L,H,1
B742,Boeing,VC-25,4,J,,L,H,1
B743,Boeing,747-300,4,J,,L,H,1
B744,Boeing,747-400,4,J,,L,H,1
B744,Boeing,747-400,4,J,,L,H,1
B744,Boeing,"747-400 (international, winglets)",4,J,,L,H,0
B744,Boeing,YAL-1,4,J,,L,H,0
B748,Boeing,747-8,4,J,,L,H,1
B748,Boeing,747-8 BBJ,4,J,,L,H,1
B748,Boeing,BBJ (747-8),4,J,,L,H,1
B74D,Boeing,"747-400 (domestic, no winglets)",4,J,,L,H,0
B74R,Boeing,747SR,4,J,,L,H,1
B74S,Boeing,747SP,4,J,,L,H,1
B752,Boeing,757-200,2,J,,L,M,1
B752,Boeing,C-32,2,J,,L,M,1
B753,Boeing,757-300,2,J,,L,M,1
B762,Boeing,767-200,2,J,,L,H,1
B762,Boeing,KC-46 Pegasus,2,J,,L,H,1
B762,Boeing,KC-767,2,J,,L,H,1
B762,Boeing,Pegasus,2,J,,L,H,1
B763,Boeing,767-300,2,J,,L,H,1
B764,Boeing,767-400,2,J,,L,H,1
B772,Boeing,777-200,2,J,,L,H,1
B772,Boeing,777-200ER,2,J,,L,H,1
B773,Boeing,777-300,2,J,,L,H,1
B778,Boeing,777-8,2,J,,L,H,1
B779,Boeing,777-9,2,J,,L,H,1
B77L,Boeing,777-200LR,2,J,,L,H,1
B77L,Boeing,777-200LR BBJ,2,J,,L,H,1
B77L,Boeing,777-F,2,J,,L,H,1
B77L,Boeing,BBJ (777-200LR),2,J,,L,H,1
B77W,Boeing,777-300ER,2,J,,L,H,1
B77W,Boeing,777-300ER BBJ,2,J,,L,H,1
B77W,Boeing,BBJ (777-300ER),2,J,,L,H,1
