ICAO,Manufacturer,Model,Engines,EngineTypeCode,EnginePlacementCode,SpeciesCode,WakeTurbulenceCode,IsActive
E110,Embraer,C-95 Bandeirante,2,T,,L,L,1
E110,Embraer,EC-95 Bandeirante,2,T,,L,L,1
E110,Embraer,EMB-110 Bandeirante,2,T,,L,L,1
E110,Embraer,EMB-111 Bandeirulha,2,T,,L,L,1
E110,Embraer,P-95 Bandeirulha,2,T,,L,L,1
E110,Embraer,R-95 Bandeirante,2,T,,L,L,1
E110,Embraer,SC-95 Bandeirante,2,T,,L,L,1
E110,Embraer,Bandeirante,2,T,,L,L,0
E110,Embraer,Bandeirulha,2,T,,L,L,0
E120,Embraer,EMB-120 Brasilia,2,T,,L,M,1
E120,Embraer,VC-97 Brasilia,2,T,,L,M,1
E120,Neiva,EMB-120 Brasilia,2,T,,L,M,1
E120,Embraer,Brasilia,2,T,,L,M,0
E120,Neiva,Brasilia,2,T,,L,M,0
E121,Embraer,EC-9 Xingu,2,T,,L,L,1
E121,Embraer,EMB-121 Xingu,2,T,,L,L,1
E121,Embraer,VU-9 Xingu,2,T,,L,L,1
E121,Embraer,Xingu,2,T,,L,L,0
E135,Embraer,EMB-135ER,2,J,A,L,M,1
E135,Embraer,EMB-135KE,2,J,A,L,M,1
E135,Embraer,EMB-135KL,2,J,A,L,M,1
E135,Embraer,EMB-135LR,2,J,A,L,M,1
E135,Embraer,ERJ-135,2,J,A,L,M,1
E135,Embraer,ERJ-140,2,J,A,L,M,1
E135,Embraer,VC-99C,2,J,A,L,M,1
E135,Embraer,EMB-135,2,J,A,L,M,0
E135,Embraer,EMB-135 Legacy 600,2,J,A,L,M,0
E135,Embraer,EMB-135 Legacy 650,2,J,A,L,M,0
E135,Embraer,Legacy 600,2,J,A,L,M,0
E135,Embraer,Legacy 650,2,J,A,L,M,0
E135,Embraer,VC-99B,2,J,A,L,M,0
E145,Embraer,C-99,2,J,A,L,M,1
E145,Embraer,E-99,2,J,A,L,M,1
E145,Embraer,EMB-145AEW&C,2,J,A,L,M,1
E145,Embraer,EMB-145EP,2,J,A,L,M,1
E145,Embraer,EMB-145ER,2,J,A,L,M,1
E145,Embraer,EMB-145EU,2,J,A,L,M,1
E145,Embraer,EMB-145LR,2,J,A,L,M,1
E145,Embraer,EMB-145LU,2,J,A,L,M,1
E145,Embraer,EMB-145MP,2,J,A,L,M,1
E145,Embraer,EMB-145MP/ASW,2,J,A,L,M,1
E145,Embraer,EMB-145RS,2,J,A,L,M,1
E145,Embraer,EMB-145SA,2,J,A,L,M,1
E145,Embraer,EMB-145SM,2,J,A,L,M,1
E145,Embraer,ERJ-145EP,2,J,A,L,M,1
E145,Embraer,ERJ-145ER,2,J,A,L,M,1
E145,Embraer,ERJ-145EU,2,J,A,L,M,1
E145,Embraer,ERJ-145LR,2,J,A,L,M,1
E145,Embraer,ERJ-145LU,2,J,A,L,M,1
E145,Embraer,ERJ-145MP,2,J,A,L,M,1
E145,Embraer,R-99,2,J,A,L,M,1
E145,Embraer,VC-99A,2,J,A,L,M,1
E145,Harbin,EMB-145LI,2,J,A,L,M,1
E145,Harbin,ERJ-145LI,2,J,A,L,M,1
E170,Embraer,170,2,J,,L,M,1
E170,Embraer,ERJ-170-100,2,J,,L,M,1
E170,Embraer,175,2,J,,L,M,0
E170,Embraer,ERJ-170,2,J,,L,M,0
E190,Embraer,190,2,J,,L,M,1
E190,Embraer,ERJ-190 Lineage 1000,2,J,,L,M,1
E190,Embraer,ERJ-190-100,2,J,,L,M,1
E190,Embraer,195,2,J,,L,M,0
E190,Embraer,ERJ-190,2,J,,L,M,0
E190,Embraer,Lineage 1000,2,J,,L,M,0
E195,Embraer,195,2,J,,L,M,1
E195,Embraer,ERJ-190-200,2,J,,L,M,1
E2,Grumman,E-2 Daya,2,T,,L,M,1
E2,Grumman,E-2 Hawkeye,2,T,,L,M,1
E2,Grumman,TE-2 Hawkeye,2,T,,L,M,1
E2,Northrop Grumman,E-2 Hawkeye,2,T,,L,M,1
E2,Northrop Grumman,TE-2 Hawkeye,2,T,,L,M,1
E2,Grumman,Daya,2,T,,L,M,0
E2,Grumman,Hawkeye,2,T,,L,M,0
E2,Northrop Grumman,Hawkeye,2,T,,L,M,0
E200,Extra,EA-200,1,P,,L,L,1
E230,Extra,EA-230,1,P,,L,L,1
E275,Embraer,E175-E2,2,J,,L,M,1
E275,Embraer,ERJ-190-500,2,J,,L,M,1
E290,Embraer,E190-E2,2,J,,L,M,1
E290,Embraer,ERJ-190-300,2,J,,L,M,1
E295,Embraer,E195-E2,2,J,,L,M,1
E295,Embraer,ERJ-190-400,2,J,,L,M,1
E29E,Binder (2),EB-29DE,1,E,,L,L,1
E2CB,Taylor,E-2 Cub,1,P,,L,L,1
E2CB,Taylor,Cub (E-2),1,P,,L,L,0
E300,Extra,EA-300,1,P,,L,L,1
E300,Extra,EA-330,1,P,,L,L,1
E300,Extra,EA-350,1,P,,L,L,1
E314,Embraer,A-29,1,T,,L,L,1
E314,Embraer,AT-29,1,T,,L,L,1
E314,Embraer,EMB-312H Super Tucano,1,T,,L,L,1
E314,Embraer,EMB-314 ALX,1,T,,L,L,1
E314,Embraer,EMB-314 Super Tucano,1,T,,L,L,1
E314,Embraer,YA-29 Super Tucano,1,T,,L,L,1
E314,Embraer,ALX,1,T,,L,L,0
E314,Embraer,Super Tucano,1,T,,L,L,0
E350,Cessna,E350,1,T,,L,L,1
E35L,Embraer,EMB-135BJ Legacy,2,J,A,L,M,1
E35L,Embraer,EMB-135BJ Legacy 600,2,J,A,L,M,1
E35L,Embraer,EMB-135BJ Legacy 650,2,J,A,L,M,1
E35L,Embraer,VC-99B Legacy,2,J,A,L,M,1
E35L,Embraer,VC-99B Legacy 600,2,J,A,L,M,1
E35L,Harbin,EMB-135BJ Legacy 650,2,J,A,L,M,1
E35L,Embraer,Legacy,2,J,A,L,M,0
E35L,Embraer,Legacy (EMB-135BJ),2,J,A,L,M,0
E35L,Embraer,Legacy (EMB-135BJ/VC-99B),2,J,A,L,M,0
E35L,Embraer,Legacy 600,2,J,A,L,M,0
E35L,Embraer,Legacy 650,2,J,A,L,M,0
E35L,Harbin,Legacy 650,2,J,A,L,M,0
E390,Embraer,C-390 Millennium,2,J,,L,M,1
E390,Embraer,EMB-390,2,J,,L,M,1
E390,Embraer,KC-390,2,J,,L,M,1
E390,Embraer,Millennium,2,J,,L,M,0
E3CF,Boeing,E-3A (CFM56) Sentry,4,J,,L,H,1
E3CF,Boeing,E-3D Sentry,4,J,,L,H,1
E3CF,Boeing,E-3F Sentry,4,J,,L,H,1
E3CF,Boeing,Sentry (CFM56),4,J,,L,H,0
E3TF,Boeing,E-3A (TF33) Sentry,4,J,,L,H,1
E3TF,Boeing,E-3B Sentry,4,J,,L,H,1
E3TF,Boeing,E-3C Sentry,4,J,,L,H,1
E3TF,Boeing,JE-3 Sentry,4,J,,L,H,1
E3TF,Boeing,Sentry (TF33),4,J,,L,H,0
E400,Extra,EA-400,1,P,,L,L,1
E45X,Embraer,EMB-145XR,2,J,A,L,M,1
E45X,Embraer,ERJ-145XR,2,J,A,L,M,1
E500,Extra,EA-500,1,T,,L,L,1
