ICAO,Manufacturer,Model,Engines,EngineTypeCode,EnginePlacementCode,SpeciesCode,WakeTurbulenceCode,IsActive
T1,Fuji,T-1,1,J,,L,L,1
T1,Fuji,T1F,1,J,,L,L,1
T10,TMM-Avia,T-10 Avia-Tor,1,P,,L,L,1
T10,TMM-Avia,Avia-Tor,1,P,,L,L,0
T101,Aeroprogress,T-101 Grach,1,T,,L,L,1
T101,Aeroprogress,Grach,1,T,,L,L,0
T134,Tupolev,Tu-134,2,J,,L,M,1
T144,Tupolev,Tu-144,4,J,,L,H,0
T154,Tupolev,Tu-154,3,J,,L,M,1
T160,Tupolev,Tu-160,4,J,,L,H,1
T18,Classic Sport,S-18,1,P,,L,L,1
T18,Sunderland,S-18,1,P,,L,L,1
T18,Thorp,T-18 Tiger,1,P,,L,L,1
T18,Thorp,Tiger,1,P,,L,L,0
T19,THK,T-19 Speedfire,1,P,,L,L,1
T19,THK,T-19 Türkkuşu,1,P,,L,L,1
T19,THK,Speedfire,1,P,,L,L,0
T19,THK,T-19 Turkkusu,1,P,,L,L,0
T19,THK,Turkkusu,1,P,,L,L,0
T19,THK,Türkkuşu,1,P,,L,L,0
T2,North American,T-2 Buckeye,2,J,,L,L,1
T2,North American Rockwell,T-2 Buckeye,2,J,,L,L,1
T2,Rockwell,T-2 Buckeye,2,J,,L,L,1
T2,North American,Buckeye,2,J,,L,L,0
T2,North American Rockwell,Buckeye,2,J,,L,L,0
T2,Rockwell,Buckeye,2,J,,L,L,0
T204,Tupolev,Tu-204,2,J,,L,M,1
T204,Tupolev,Tu-214,2,J,,L,M,1
T204,Tupolev,Tu-224,2,J,,L,M,1
T204,Tupolev,Tu-234,2,J,,L,M,1
T206,Cessna,T206 Stationair TC,1,P,,L,L,1
T206,Cessna,T206 Turbo Stationair,1,P,,L,L,1
T206,Cessna,TP206 Turbo Super Skylane,1,P,,L,L,1
T206,Cessna,TU206 Turbo Skywagon 206,1,P,,L,L,1
T206,Cessna,TU206 Turbo Stationair,1,P,,L,L,1
T206,Cessna,TU206 Turbo Stationair 6,1,P,,L,L,1
T206,Cessna,TU206 Turbo Super Skywagon,1,P,,L,L,1
T206,Cessna,Stationair TC,1,P,,L,L,0
T206,Cessna,TU206 Turbo Staionair,1,P,,L,L,0
T206,Cessna,TU206 Turbo Staionair 6,1,P,,L,L,0
T206,Cessna,Turbo Skywagon 206,1,P,,L,L,0
T206,Cessna,Turbo Staionair 6,1,P,,L,L,0
T206,Cessna,Turbo Stationair,1,P,,L,L,0
T206,Cessna,Turbo Stationair 6,1,P,,L,L,0
T206,Cessna,Turbo Super Skylane,1,P,,L,L,0
T206,Cessna,Turbo Super Skywagon,1,P,,L,L,0
T210,Cessna,T210 Turbo Centurion,1,P,,L,L,1
T210,Cessna,Turbo Centurion,1,P,,L,L,0
T211,AD Aerospace,T-211,1,P,,L,L,1
T211,Adams,T-211,1,P,,L,L,1
T211,DM Aerospace,T-211,1,P,,L,L,1
T211,IndUS,T-11 Sky Skooter,1,P,,L,L,1
T211,IndUS,T-211 Sport E,1,P,,L,L,1
T211,IndUS,T-211 Thorpedo,1,P,,L,L,1
T211,Starpac,Phoenix Flyer,1,P,,L,L,1
T211,Taneja,T-211,1,P,,L,L,1
T211,Thorp,T-211,1,P,,L,L,1
T211,Venture,T-211,1,P,,L,L,1
T211,IndUS,Sky Skooter,1,P,,L,L,0
T211,IndUS,Sport E,1,P,,L,L,0
T211,IndUS,Thorpedo,1,P,,L,L,0
T22M,Tupolev,Tu-22M,2,J,,L,M,1
T250,Anderson-Greenwood,51,1,P,,L,L,1
T250,Anderson-Greenwood,AG-51,1,P,,L,L,1
T250,Anderson-Greenwood,T-250 Aries,1,P,,L,L,1
T250,Bellanca,51,1,P,,L,L,1
T250,Bellanca,AG-51,1,P,,L,L,1
T250,Bellanca,T-250 Aries,1,P,,L,L,1
T250,Anderson-Greenwood,Aries,1,P,,L,L,0
T250,Bellanca,Aries,1,P,,L,L,0
T28,Hamilton,T-28 Nomair,1,P,,L,L,1
T28,North American,AT-28 Trojan,1,P,,L,L,1
T28,North American,T-28 Trojan,1,P,,L,L,1
T28,PacAero,T-28 Nomad,1,P,,L,L,1
T28,Pacific Airmotive,T-28 Nomad,1,P,,L,L,1
T28,Sud,T-28 Fennec,1,P,,L,L,1
T28,Hamilton,Nomair,1,P,,L,L,0
T28,North American,Trojan,1,P,,L,L,0
T28,PacAero,Nomad,1,P,,L,L,0
T28,Pacific Airmotive,Nomad,1,P,,L,L,0
T28,Sud,Fennec,1,P,,L,L,0
T30,Terzi,T-30 Katana,1,P,,L,L,1
T30,Terzi,Katana,1,P,,L,L,0
T33,Canadair,CL-30 Silver Star,1,J,,L,M,1
T33,Canadair,CT-133 Silver Star,1,J,,L,M,1
T33,Canadair,T-33 Silver Star,1,J,,L,M,1
T33,Kawasaki,T-33,1,J,,L,M,1
T33,Lockheed,AT-33,1,J,,L,M,1
T33,Lockheed,L-580 Shooting Star,1,J,,L,M,1
T33,Lockheed,L-580 T-Bird,1,J,,L,M,1
T33,Lockheed,NT-33,1,J,,L,M,1
T33,Lockheed,RT-33,1,J,,L,M,1
T33,Lockheed,T-33 Shooting Star,1,J,,L,M,1
T33,Lockheed,T-33 T-Bird,1,J,,L,M,1
T33,Canadair,Silver Star,1,J,,L,M,0
T33,Lockheed,Shooting Star,1,J,,L,M,0
T33,Lockheed,T-Bird,1,J,,L,M,0
T334,Tupolev,Tu-334,2,J,,L,M,1
T34P,Beech,45 Mentor,1,P,,L,L,1
T34P,Beech,T-34A Mentor,1,P,,L,L,1
T34P,Beech,T-34B Mentor,1,P,,L,L,1
T34P,CCF,T-34 Mentor,1,P,,L,L,1
T34P,DINFIA,T-34 Mentor,1,P,,L,L,1
T34P,Fuji,KM-2B Mentor,1,P,,L,L,1
T34P,Fuji,T-3 Mentor,1,P,,L,L,1
T34P,Fuji,T-34 Mentor,1,P,,L,L,1
T34P,Beech,Mentor,1,P,,L,L,0
T34P,CCF,Mentor,1,P,,L,L,0
T34P,DINFIA,Mentor,1,P,,L,L,0
T34P,Fuji,Mentor,1,P,,L,L,0
T34T,Beech,T-34C Turbo Mentor,1,T,,L,L,1
T34T,Fuji,T-3Kai,1,T,,L,L,1
T34T,Beech,Turbo Mentor,1,T,,L,L,0
T35,Temco,T-35 Buckaroo,1,P,,L,L,1
T35,Temco,TE-1 Buckaroo,1,P,,L,L,1
T35,Temco,Buckaroo,1,P,,L,L,0
T37,Cessna,318A,2,J,,L,L,1
T37,Cessna,318B,2,J,,L,L,1
T37,Cessna,318C,2,J,,L,L,1
T37,Cessna,T-37,2,J,,L,L,1
T38,Northrop,AT-38 Talon,2,J,,L,L,1
T38,Northrop,N-156T Talon,2,J,,L,L,1
T38,Northrop,T-38 Talon,2,J,,L,L,1
T38,Northrop,Talon,2,J,,L,L,0
T4,Kawasaki,T-4,2,J,,L,M,1
T40,Turner,T-40,1,P,,L,L,1
T411,Aeroprogress,T-411 Aist-2,1,P,,L,L,1
T411,Khrunichev,T-411 Aist,1,P,,L,L,1
