Prefix,CountryISO2,HasHyphen,DecodeFullRegex,DecodeNoHyphenRegex,FormatTemplate
2,GG,1,2-(?<code>[A-Z]{4}),2(?<code>[A-Z]{4}),2-{code}
3A,MC,1,3A-(?<code>[A-Z]{3}),3A(?<code>[A-Z]{3}),3A-{code}
3B,MU,1,3B-(?<code>[A-Z]{3}),3B(?<code>[A-Z]{3}),3B-{code}
3C,GQ,1,"3C-(?<code>[\dA-Z]{3,4})","3C(?<code>[\dA-Z]{3,4})",3C-{code}
3DC,SZ,1,3DC-(?<code>[A-Z]{3}),3DC(?<code>[A-Z]{3}),3DC-{code}
3X,GN,1,3X-(?<code>[\dA-Z]{3}),3X(?<code>[\dA-Z]{3}),3X-{code}
4K,AZ,1,"4K-(?<code>[\dA-Z]{3,5})","4K(?<code>[\dA-Z]{3,5})",4K-{code}
4L,GE,1,4L-(?<code>[A-Z]{3}|\d{5}),4L(?<code>[A-Z]{3}|\d{5}),4L-{code}
4O,ME,1,4O-(?<code>[A-Z]{3}),4O(?<code>[A-Z]{3}),4O-{code}
4R,LK,1,4R-(?<code>[A-Z]{3}),4R(?<code>[A-Z]{3}),4R-{code}
4U,ZZ,1,4U-(?<code>[A-Z]{3}),4U(?<code>[A-Z]{3}),4U-{code}
4W,TL,1,4W-(?<code>[A-Z]{3}),4W(?<code>[A-Z]{3}),4W-{code}
4X,IL,1,4X-(?<code>[A-Z]{3}),4X(?<code>[A-Z]{3}),4X-{code}
5A,LY,1,5A-(?<code>[A-Z]{3}),5A(?<code>[A-Z]{3}),5A-{code}
5B,CY,1,5B-(?<code>[A-Z]{3}),5B(?<code>[A-Z]{3}),5B-{code}
5H,TZ,1,5H-(?<code>[A-Z]{3}),5H(?<code>[A-Z]{3}),5H-{code}
5N,NG,1,5N-(?<code>[A-Z]{3}),5N(?<code>[A-Z]{3}),5N-{code}
5R,MG,1,5R-(?<code>[A-Z]{3}),5R(?<code>[A-Z]{3}),5R-{code}
5T,MR,1,5T-(?<code>[A-Z]{3}),5T(?<code>[A-Z]{3}),5T-{code}
5U,NE,1,5U-(?<code>[A-Z]{3}),5U(?<code>[A-Z]{3}),5U-{code}
5V,TG,1,5V-(?<code>[A-Z]{3}),5V(?<code>[A-Z]{3}),5V-{code}
5W,WS,1,5W-(?<code>[A-Z]{3}),5W(?<code>[A-Z]{3}),5W-{code}
5X,UG,1,5X-(?<code>[A-Z]{3}),5X(?<code>[A-Z]{3}),5X-{code}
5Y,KE,1,5Y-(?<code>[A-Z]{3}),5Y(?<code>[A-Z]{3}),5Y-{code}
6O,SO,1,6O-(?<code>[A-Z]{3}),6O(?<code>[A-Z]{3}),6O-{code}
6V,SN,1,6V-(?<code>[A-Z]{3}),6V(?<code>[A-Z]{3}),6V-{code}
6W,SN,1,6W-(?<code>[A-Z]{3}),6W(?<code>[A-Z]{3}),6W-{code}
6Y,JM,1,6Y-(?<code>[A-Z]{3}),6Y(?<code>[A-Z]{3}),6Y-{code}
7O,YE,1,7O-(?<code>[A-Z]{3}),7O(?<code>[A-Z]{3}),7O-{code}
7P,LS,1,7P-(?<code>[A-Z]{3}),7P(?<code>[A-Z]{3}),7P-{code}
7Q,MW,1,7Q-(?<code>[A-Z]{3}),7Q(?<code>[A-Z]{3}),7Q-{code}
7T,DZ,1,7T-(?<code>[V|W][A-Z]{2}),7T(?<code>[V|W][A-Z]{2}),7T-{code}
8P,BB,1,8P-(?<code>[A-Z]{3}),8P(?<code>[A-Z]{3}),8P-{code}
8Q,MV,1,8Q-(?<code>[A-Z]{3}),8Q(?<code>[A-Z]{3}),8Q-{code}
8R,GY,1,8R-(?<code>[A-Z]{3}),8R(?<code>[A-Z]{3}),8R-{code}
9A,HR,1,9A-(?<code>[A-Z]{3}),9A(?<code>[A-Z]{3}),9A-{code}
9G,GH,1,9G-(?<code>[A-Z]{3}),9G(?<code>[A-Z]{3}),9G-{code}
9H,MT,1,9H-(?<code>[A-Z]{3}),9H(?<code>[A-Z]{3}),9H-{code}
9J,ZM,1,9J-(?<code>[A-Z]{3}),9J(?<code>[A-Z]{3}),9J-{code}
9K,KW,1,9K-(?<code>[A-Z]{3}),9K(?<code>[A-Z]{3}),9K-{code}
9L,SL,1,9L-(?<code>[A-Z]{3}),9L(?<code>[A-Z]{3}),9L-{code}
9M,MY,1,9M-(?<code>[A-Z]{3}),9M(?<code>[A-Z]{3}),9M-{code}
9N,NP,1,9N-(?<code>[A-Z]{3}),9N(?<code>[A-Z]{3}),9N-{code}
9S,CD,1,9S-(?<code>[A-Z]{3}),9S(?<code>[A-Z]{3}),9S-{code}
9U,BI,1,9U-(?<code>[A-Z]{3}),9U(?<code>[A-Z]{3}),9U-{code}
9V,SG,1,9V-(?<code>[A-Z]{3}),9V(?<code>[A-Z]{3}),9V-{code}
9XR,RW,1,9XR-(?<code>[A-Z]{2}),9XR(?<code>[A-Z]{2}),9XR-{code}
9Y,TT,1,9Y-(?<code>[A-Z]{3}),9Y(?<code>[A-Z]{3}),9Y-{code}
A2,BW,1,A2-(?<code>[A-Z]{3}),A2(?<code>[A-Z]{3}),A2-{code}
A3,TO,1,A3-(?<code>[A-Z]{3}),A3(?<code>[A-Z]{3}),A3-{code}
A4O,OM,1,"A4O-(?<code>[A-Z]{2,3})","A4O(?<code>[A-Z]{2,3})",A4O-{code}
A5,BT,1,A5-(?<code>[A-Z]{3}),A5(?<code>[A-Z]{3}),A5-{code}
A6,AE,1,A6-(?<code>[\dA-Z]{3}),A6(?<code>[\dA-Z]{3}),A6-{code}
A7,QA,1,A7-(?<code>[A-Z]{3}),A7(?<code>[A-Z]{3}),A7-{code}
A8,LR,1,A8-(?<code>[A-Z]{3}),A8(?<code>[A-Z]{3}),A8-{code}
A9C,BH,1,"A9C-(?<code>[A-Z]{2,3})","A9C(?<code>[A-Z]{2,3})",A9C-{code}
AP,PK,1,AP-(?<code>[A-Z]{3}),AP(?<code>[A-Z]{3}),AP-{code}
B,CN,1,"B-(?<code>[^HKLM][\dA-Z]{3,4})","B(?<code>[^HKLM][\dA-Z]{3,4})",B-{code}
B,HK,1,B-(?<code>[H|K|L][\dA-Z]{2}),B(?<code>[H|K|L][\dA-Z]{2}),B-{code}
B,MO,1,B-(?<code>[M][\dA-Z]{2}),B(?<code>[M][\dA-Z]{2}),B-{code}
C,CA,1,C-(?<code>[A-Z]{4}),C(?<code>[A-Z]{4}),C-{code}
C2,NR,1,C2-(?<code>[A-Z]{3}),C2(?<code>[A-Z]{3}),C2-{code}
C3,AD,1,C3-(?<code>[A-Z]{3}),C3(?<code>[A-Z]{3}),C3-{code}
C5,GM,1,C5-(?<code>[A-Z]{3}),C5(?<code>[A-Z]{3}),C5-{code}
C6,BS,1,C6-(?<code>[A-Z]{3}),C6(?<code>[A-Z]{3}),C6-{code}
C9,MZ,1,C9-(?<code>[A-Z]{3}),C9(?<code>[A-Z]{3}),C9-{code}
CC,CL,1,CC-(?<code>[A-Z]{3}),CC(?<code>[A-Z]{3}),CC-{code}
CN,MA,1,CN-(?<code>[A-Z]{3}),CN(?<code>[A-Z]{3}),CN-{code}
CNA,MA,1,CNA-(?<code>[\dA-Z]{3}),CNA(?<code>[\dA-Z]{3}),CNA-{code}
CP,BO,1,CP-(?<code>\d{4}),CP(?<code>\d{4}),CP-{code}
CR,PT,1,CR-(?<code>[A-Z]{3}),CR(?<code>[A-Z]{3}),CR-{code}
CU,CU,1,CU-(?<code>[A-Z]\d{4}),CU(?<code>[A-Z]\d{4}),CU-{code}
CX,UY,1,CX-(?<code>[A-Z]{3}),CX(?<code>[A-Z]{3}),CX-{code}
D,DE,1,D-(?<code>[A-Z]{4}|\d{4}),D(?<code>[A-Z]{4}|\d{4}),D-{code}
D2,AO,1,D2-(?<code>[A-Z]{3}),D2(?<code>[A-Z]{3}),D2-{code}
D4,CV,1,D4-(?<code>[A-Z]{3}),D4(?<code>[A-Z]{3}),D4-{code}
D6,KM,1,D6-(?<code>[A-Z]{3}),D6(?<code>[A-Z]{3}),D6-{code}
DQ,FJ,1,DQ-(?<code>[A-Z]{3}),DQ(?<code>[A-Z]{3}),DQ-{code}
E3,ER,1,E3-(?<code>[A-Z]{4}),E3(?<code>[A-Z]{4}),E3-{code}
E4,PS,1,E4-(?<code>[A-Z]{3}),E4(?<code>[A-Z]{3}),E4-{code}
E5,CK,1,E5-(?<code>[A-Z]{3}),E5(?<code>[A-Z]{3}),E5-{code}
E7,BA,1,E7-(?<code>[A-Z]{3}),E7(?<code>[A-Z]{3}),E7-{code}
EC,ES,1,EC-(?<code>[\dA-Z]{3}),EC(?<code>[\dA-Z]{3}),EC-{code}
EI,IE,1,EI-(?<code>[A-Z]{3}),EI(?<code>[A-Z]{3}),EI-{code}
EJ,IE,1,EJ-(?<code>[A-Z]{4}),EJ(?<code>[A-Z]{4}),EJ-{code}
EK,AM,1,EK-(?<code>\d{5}),EK(?<code>\d{5}),EK-{code}
EM,ES,1,"EM-(?<code>[\dA-Z]{3,4})","EM(?<code>[\dA-Z]{3,4})",EM-{code}
EP,IR,1,EP-(?<code>[A-Z]{3}),EP(?<code>[A-Z]{3}),EP-{code}
ER,MD,1,ER-(?<code>[A-Z]{3}|\d{5}),ER(?<code>[A-Z]{3}|\d{5}),ER-{code}
ES,EE,1,ES-(?<code>[A-Z]{3}),ES(?<code>[A-Z]{3}),ES-{code}
ET,ET,1,ET-(?<code>[A-Z]{3}),ET(?<code>[A-Z]{3}),ET-{code}
EW,BY,1,EW-(?<code>[\dA-Z]{5}),EW(?<code>[\dA-Z]{5}),EW-{code}
EX,KG,1,"EX-(?<code>\d{3,5})","EX(?<code>\d{3,5})",EX-{code}
EY,TJ,1,"EY-(?<code>\d{3,5})","EY(?<code>\d{3,5})",EY-{code}
EZ,TM,1,EZ-(?<code>[A-Z]\d{3}),EZ(?<code>[A-Z]\d{3}),EZ-{code}
F,FR,1,F-(?<code>(?!O[A|D|E|I|M|N])[A-Z]{4}),F(?<code>(?!O[A|D|E|I|M|N])[A-Z]{4}),F-{code}
F,GF,1,F-(?<code>O[A|E|I|N][A-Z]{2}),F(?<code>O[A|E|I|N][A-Z]{2}),F-{code}
F,MQ,1,F-(?<code>OM[\dA-Z]{2}),F(?<code>OM[\dA-Z]{2}),F-{code}
F,RE,1,F-(?<code>OD[A-Z]{2}),F(?<code>OD[A-Z]{2}),F-{code}
G,GB,1,G-(?<code>[A-Z]{4}),G(?<code>[A-Z]{4}),G-{code}
G,GB,1,"G-(?<code>\d{1,2}-\d{1,2})","G(?<code>\d{1,2}-\d{1,2})",G-{code}
H4,SB,1,H4-(?<code>[A-Z]{3}),H4(?<code>[A-Z]{3}),H4-{code}
HA,HU,1,"HA-(?<code>[\dA-Z]{3,4})","HA(?<code>[\dA-Z]{3,4})",HA-{code}
HB,CH,1,"HB-(?<code>[A-Z]{3}|\d{3,4})","HB(?<code>[A-Z]{3}|\d{3,4})",HB-{code}
HC,EC,1,HC-(?<code>[A-Z]{3}),HC(?<code>[A-Z]{3}),HC-{code}
HH,HT,1,HH-(?<code>[A-Z]{3}),HH(?<code>[A-Z]{3}),HH-{code}
HI,DO,0,"HI(?<code>[\dA-Z]{3,5})","HI(?<code>[\dA-Z]{3,5})",HI{code}
HJ,CO,1,HJ-(?<code>\d{4}[A-Z]),HJ(?<code>\d{4}[A-Z]),HJ-{code}
HK,CO,1,HK-(?<code>\d{4}[A-Z]?),HK(?<code>\d{4}[A-Z]?),HK-{code}
HL,KR,0,HL(?<code>[C0-9]\d{3}),HL(?<code>[C0-9]\d{3}),HL{code}
HP,PA,1,"HP-(?<code>[\dA-Z]{1,7})","HP(?<code>[\dA-Z]{1,7})",HP-{code}
HR,HN,1,HR-(?<code>[A-Z]{3}),HR(?<code>[A-Z]{3}),HR-{code}
HS,TH,1,HS-(?<code>[A-Z]{3}),HS(?<code>[A-Z]{3}),HS-{code}
HZ,SA,1,"HZ-(?<code>[\dA-Z]{2,5})","HZ(?<code>[\dA-Z]{2,5})",HZ-{code}
I,IT,1,I-(?<code>[\dA-Z]{4}),I(?<code>[\dA-Z]{4}),I-{code}
J2,DJ,1,J2-(?<code>[A-Z]{3}),J2(?<code>[A-Z]{3}),J2-{code}
