Callsign,Code,Number,AirlineCode,AirportCodes
AAH11,AAH,11,AAH,PHNL-PHLI
AAH113,AAH,113,AAH,PHNL-PHLI
AAH114,AAH,114,AAH,PHLI-PHNL
AAH116,AAH,116,AAH,PHLI-PHNL
AAH12,AAH,12,AAH,PHLI-PHNL
AAH13,AAH,13,AAH,PHNL-PHLI
AAH14,AAH,14,AAH,PHLI-PHNL
AAH15,AAH,15,AAH,PHNL-PHLI
AAH16,AAH,16,AAH,PHLI-PHNL
AAH17,AAH,17,AAH,PHNL-PHLI
AAH18,AAH,18,AAH,PHLI-PHNL
AAH218,AAH,218,AAH,PHNL-PHOG
AAH219,AAH,219,AAH,PHOG-PHNL
AAH220,AAH,220,AAH,PHNL-PHOG
AAH221,AAH,221,AAH,PHOG-PHNL
AAH222,AAH,222,AAH,PHNL-PHOG
AAH223,AAH,223,AAH,PHOG-PHNL
AAH224,AAH,224,AAH,PHNL-PHOG
AAH225,AAH,225,AAH,PHOG-PHNL
AAH226,AAH,226,AAH,PHNL-PHOG
AAH227,AAH,227,AAH,PHOG-PHNL
AAH228,AAH,228,AAH,PHNL-PHOG
AAH229,AAH,229,AAH,PHOG-PHNL
AAH23,AAH,23,AAH,PHTO-PHOG
AAH230,AAH,230,AAH,PHNL-PHOG
AAH231,AAH,231,AAH,PHOG-PHNL
AAH24,AAH,24,AAH,PHNL-PHOG
AAH25,AAH,25,AAH,PHOG-PHNL
AAH26,AAH,26,AAH,PHNL-PHOG
AAH27,AAH,27,AAH,PHOG-PHNL
AAH28,AAH,28,AAH,PHNL-PHOG
AAH29,AAH,29,AAH,PHOG-PHNL
AAH42,AAH,42,AAH,PHNL-PHKO
AAH43,AAH,43,AAH,PHKO-PHNL
AAH44,AAH,44,AAH,PHNL-PHKO
AAH440,AAH,440,AAH,PHNL-PHKO
AAH442,AAH,442,AAH,PHNL-PHKO
AAH443,AAH,443,AAH,PHKO-PHNL
AAH444,AAH,444,AAH,PHNL-PHKO
AAH445,AAH,445,AAH,PHKO-PHNL
AAH446,AAH,446,AAH,PHNL-PHKO
AAH447,AAH,447,AAH,PHKO-PHNL
AAH448,AAH,448,AAH,PHNL-PHKO
AAH449,AAH,449,AAH,PHKO-PHNL
AAH45,AAH,45,AAH,PHKO-PHNL
AAH46,AAH,46,AAH,PHNL-PHKO
AAH47,AAH,47,AAH,PHKO-PHNL
AAH48,AAH,48,AAH,PHNL-PHKO
AAH49,AAH,49,AAH,PHKO-PHNL
AAH50,AAH,50,AAH,PHNL-PHTO
AAH504,AAH,504,AAH,PHNL-PHTO
AAH505,AAH,505,AAH,PHTO-PHNL
AAH506,AAH,506,AAH,PHNL-PHTO
AAH507,AAH,507,AAH,PHTO-PHNL
AAH51,AAH,51,AAH,PHTO-PHNL
AAH52,AAH,52,AAH,PHNL-PHTO
AAH53,AAH,53,AAH,PHTO-PHOG
AAH54,AAH,54,AAH,PHNL-PHTO
AAH55,AAH,55,AAH,PHTO-PHNL
AAH550,AAH,550,AAH,PHNL-PHTO
AAH551,AAH,551,AAH,PHTO-PHNL
AAH552,AAH,552,AAH,PHNL-PHTO
AAH553,AAH,553,AAH,PHTO-PHNL
AAH554,AAH,554,AAH,PHNL-PHTO
AAH555,AAH,555,AAH,PHTO-PHNL
AAH556,AAH,556,AAH,PHNL-PHTO
AAH557,AAH,557,AAH,PHTO-PHNL
AAH56,AAH,56,AAH,PHNL-PHTO
AAH57,AAH,57,AAH,PHTO-PHNL
AAH58,AAH,58,AAH,PHKO-PHTO
AAH59,AAH,59,AAH,PHTO-PHNL
AAH710,AAH,710,AAH,KONT-KGSO
AAH711,AAH,711,AAH,KGSO-KONT
AAH713,AAH,713,AAH,KGSO-KTUL
