Callsign,Code,Number,AirlineCode,AirportCodes
AAW103,AAW,103,AAW,EDDM-LJLJ
AAW108,AAW,108,AAW,LJLJ-EDDM
AAW109,AAW,109,AAW,EDDM-LJLJ
AAW116,AAW,116,AAW,LJLJ-EDDF
AAW117,AAW,117,AAW,EDDF-LJLJ
AAW124,AAW,124,AAW,LJLJ-EDDF
AAW125,AAW,125,AAW,EDDF-LJLJ
AAW1424,AAW,1424,AAW,HLLM-OEJN
AAW149,AAW,149,AAW,EDDF-LJLJ
AAW1602,AAW,1602,AAW,HLLM-OJAI
AAW1603,AAW,1603,AAW,LIMG-HLLM
AAW1607,AAW,1607,AAW,OJAI-HLLB
AAW1741,AAW,1741,AAW,OEMA-HLLB
AAW1742,AAW,1742,AAW,HLLB-OEMA
AAW1743,AAW,1743,AAW,OEMA-HLMS
AAW1744,AAW,1744,AAW,HLMS-OEMA
AAW1745,AAW,1745,AAW,OEMA-HLLM
AAW1746,AAW,1746,AAW,HLLM-OEMA
AAW1747,AAW,1747,AAW,OEMA-HLLM
AAW1748,AAW,1748,AAW,HLLM-OEMA
AAW1749,AAW,1749,AAW,HLLB-OEMA
AAW1811,AAW,1811,AAW,HLLT-HLGD
AAW1975,AAW,1975,AAW,LTFM-HLMS
AAW200,AAW,200,AAW,HLMS-HLLB
AAW201,AAW,201,AAW,HLLB-HLMS
AAW207,AAW,207,AAW,HLLB-HLMS
AAW208,AAW,208,AAW,HLMS-HLLB
AAW211,AAW,211,AAW,HLLS-HLLM
AAW213,AAW,213,AAW,HLLS-HLLB
AAW214,AAW,214,AAW,HLLM-HLLB
AAW215,AAW,215,AAW,HLLB-HLLM
AAW216,AAW,216,AAW,HLLM-HLLB
AAW217,AAW,217,AAW,HLLB-HLLT
AAW219,AAW,219,AAW,HLLB-HLMS
AAW220,AAW,220,AAW,HLLM-HLLB
AAW221,AAW,221,AAW,HLLB-HLMS
AAW3115,AAW,3115,AAW,EVRA-EFHK
AAW3116,AAW,3116,AAW,LEJR-LOWW
AAW3117,AAW,3117,AAW,EFHK-LJLJ
AAW323,AAW,323,AAW,LFPG-LJLJ
AAW3403,AAW,3403,AAW,EDDM-LJLJ
AAW3412,AAW,3412,AAW,LJLJ-HEGN
AAW342,AAW,342,AAW,LJLJ-LFPG
AAW347,AAW,347,AAW,LFPG-LJLJ
AAW365,AAW,365,AAW,LSZH-LJLJ
AAW376,AAW,376,AAW,LJLJ-EBBR
AAW377,AAW,377,AAW,EBBR-LJLJ
AAW395,AAW,395,AAW,EBBR-LJLJ
AAW410,AAW,410,AAW,HLLM-HSSS
