Callsign,Code,Number,AirlineCode,AirportCodes
ABR101,ABR,101,ABR,EGNX-EDDP
ABR105,ABR,105,ABR,EBLG-LCLK
ABR107J,ABR,107J,ABR,EIDW-LBBG
ABR10G,ABR,10G,ABR,LCLK-EBLG
ABR113,ABR,113,ABR,EBBR-EDDP
ABR1181,ABR,1181,ABR,LFLL-EDDP
ABR1255,ABR,1255,ABR,LFPG-EDDP
ABR1256,ABR,1256,ABR,EDDP-LEBL
ABR1257,ABR,1257,ABR,LEBL-LIRF
ABR1258,ABR,1258,ABR,LIRF-LFPG
ABR130,ABR,130,ABR,EDDP-LIME
ABR131,ABR,131,ABR,LIME-EDDP
ABR1361,ABR,1361,ABR,EGNX-LEMD
ABR1362,ABR,1362,ABR,LEMD-LIMC
ABR1363,ABR,1363,ABR,LIMC-EGNX
ABR139,ABR,139,ABR,LCLK-EDDK
ABR140,ABR,140,ABR,EDDK-LCLK
ABR142,ABR,142,ABR,LMML-EDDK
ABR143,ABR,143,ABR,EDDK-LMML
ABR144,ABR,144,ABR,LMML-EDDK
ABR1441,ABR,1441,ABR,EDDK-LIMC
ABR1442,ABR,1442,ABR,LIMC-EDDK
ABR1443,ABR,1443,ABR,EDDK-LEMD
ABR1444,ABR,1444,ABR,LEMD-EDDK
ABR1470,ABR,1470,ABR,EDDP-LFPG
ABR1471,ABR,1471,ABR,EGNX-EDDK
ABR1472,ABR,1472,ABR,EGNX-LIMC
ABR1480,ABR,1480,ABR,EDDK-EGNX
ABR1481,ABR,1481,ABR,EGNX-EDDK
ABR1482,ABR,1482,ABR,EDDK-EPKT
ABR1483,ABR,1483,ABR,EPKT-EDDK
ABR1537,ABR,1537,ABR,EDDV-EGNX
ABR1538,ABR,1538,ABR,EGNX-LFPG
ABR1539,ABR,1539,ABR,LFPG-LEMD
ABR1540,ABR,1540,ABR,LEMD-EDDV
ABR1551,ABR,1551,ABR,EGNX-EDDP
ABR1552,ABR,1552,ABR,EDDP-LIMC
ABR1553,ABR,1553,ABR,LIMC-LEMD
ABR1554,ABR,1554,ABR,LEMD-EGNX
ABR1623,ABR,1623,ABR,EGMC-LIMC
ABR1624,ABR,1624,ABR,LIMC-EGMC
ABR1625,ABR,1625,ABR,EGMC-LIMC
ABR1626,ABR,1626,ABR,LIMC-EGMC
ABR1630,ABR,1630,ABR,EDDK-EGAA
ABR1631,ABR,1631,ABR,EIDW-EDDK
ABR1737,ABR,1737,ABR,EGMC-LEBL
ABR1738,ABR,1738,ABR,LEMD-EGMC
ABR1739,ABR,1739,ABR,EGMC-LEMD
ABR1740,ABR,1740,ABR,LEMD-EGMC
ABR176,ABR,176,ABR,EBLG-LIMC
ABR177,ABR,177,ABR,LIMC-EBLG
ABR1895,ABR,1895,ABR,EDDP-EGMC
ABR1896,ABR,1896,ABR,EGMC-EDDP
ABR1897,ABR,1897,ABR,EDDP-LIRF
ABR190,ABR,190,ABR,EINN-LYBE
ABR1906,ABR,1906,ABR,EDDK-LLBG
ABR1907,ABR,1907,ABR,LLBG-EDDK
ABR1909,ABR,1909,ABR,LFLL-EDDK
ABR191,ABR,191,ABR,LFRD-EIDW
ABR1913,ABR,1913,ABR,LFRN-EDDK
ABR194,ABR,194,ABR,EIDW-LEVD
ABR195,ABR,195,ABR,LEVD-EIDW
ABR196,ABR,196,ABR,EIDW-LEVC
ABR197,ABR,197,ABR,LEVC-EIDW
ABR1BU,ABR,1BU,ABR,LROP-EDDK
ABR1CE,ABR,1CE,ABR,LFMN-LFLL-LFPG
ABR1CL,ABR,1CL,ABR,LSGG-LFPG
ABR1DI,ABR,1DI,ABR,EGPH-LFPG
ABR1MA,ABR,1MA,ABR,EDDH-EDDK
ABR1MX,ABR,1MX,ABR,EBLG-LIMC
ABR1P,ABR,1P,ABR,LFPG-EDDB
ABR1PH,ABR,1PH,ABR,EKCH-EBLG
ABR1RG,ABR,1RG,ABR,LKPR-LFPG
ABR1UC,ABR,1UC,ABR,EBLG-EDDM
ABR1WA,ABR,1WA,ABR,LFPG-EPWA
ABR1XH,ABR,1XH,ABR,EGBB-LFPG
ABR2070,ABR,2070,ABR,EDDP-LFPG
ABR2101,ABR,2101,ABR,EKBI-EDDK
ABR2151,ABR,2151,ABR,LIPZ-EDDK
ABR2220,ABR,2220,ABR,EDDK-LGAV
ABR2221,ABR,2221,ABR,LGAV-EDDK
ABR2230,ABR,2230,ABR,EDDK-LIPZ
ABR2240,ABR,2240,ABR,EDDK-EGNX
ABR231,ABR,231,ABR,LIMC-EPKT
ABR232,ABR,232,ABR,EPKT-LIMC
ABR233,ABR,233,ABR,LIRF-EDDV
ABR234,ABR,234,ABR,LIRF-LEBL
ABR2340,ABR,2340,ABR,LFPG-EDDV
ABR2364,ABR,2364,ABR,LIMC-EDDK
ABR2365,ABR,2365,ABR,LFML-EDDK
ABR2443,ABR,2443,ABR,LEMD-LEBL
ABR2538,ABR,2538,ABR,EGMC-EDDV
ABR255,ABR,255,ABR,LFPG-EDDV
ABR256,ABR,256,ABR,EDDV-LEBL
ABR257,ABR,257,ABR,LEBL-LIRF
ABR258,ABR,258,ABR,LIRF-LFPG
ABR273,ABR,273,ABR,UUDD-UWOO
ABR289,ABR,289,ABR,EDDV-LEBL
ABR290,ABR,290,ABR,LEBL-LFPG
ABR291,ABR,291,ABR,LEBL-EDDP
ABR292,ABR,292,ABR,EDDP-LFPG
ABR293,ABR,293,ABR,LFPG-LEBL
ABR294,ABR,294,ABR,EDDP-LEBL
ABR2960,ABR,2960,ABR,EDDP-EINN
ABR2961,ABR,2961,ABR,EINN-EDDP
ABR2BU,ABR,2BU,ABR,EDDK-LROP
ABR2CH,ABR,2CH,ABR,EBLG-EKCH
ABR2CL,ABR,2CL,ABR,LFPG-LSGG
ABR2DI,ABR,2DI,ABR,LFPG-EGPH
ABR2KT,ABR,2KT,ABR,EPKT-LFPG
ABR2LA,ABR,2LA,ABR,EGCC-LFPG
ABR2LS,ABR,2LS,ABR,LFPG-LFBO
ABR2MA,ABR,2MA,ABR,EDDK-EDDH
ABR2MX,ABR,2MX,ABR,LIMC-EBLG
ABR2RG,ABR,2RG,ABR,LFPG-LFBO
ABR2SL,ABR,2SL,ABR,ENGM-EKCH
ABR2VA,ABR,2VA,ABR,EDDK-LSGG
ABR2VE,ABR,2VE,ABR,EBLG-LOWW
ABR2XH,ABR,2XH,ABR,LFPG-EGBB
ABR361,ABR,361,ABR,LEMD-LFPG
ABR3611,ABR,3611,ABR,EFHK-EDDP
ABR3612,ABR,3612,ABR,EDDP-EFHK
ABR362,ABR,362,ABR,LFPG-LIMC
ABR363,ABR,363,ABR,LIMC-LEMD
ABR36K,ABR,36K,ABR,EGNX-EBLG
ABR3IE,ABR,3IE,ABR,LOWW-EBLG
ABR3KT,ABR,3KT,ABR,LFPG-EDDS-EPKT
ABR3LA,ABR,3LA,ABR,LFPG-EGCC-EGPF
ABR3LS,ABR,3LS,ABR,LFBO-LFPG
ABR3MA,ABR,3MA,ABR,EBLG-EGNX
ABR3UE,ABR,3UE,ABR,LFPG-EDDN
ABR3VE,ABR,3VE,ABR,LOWW-EBLG
ABR400,ABR,400,ABR,LEMD-LOWL
ABR401,ABR,401,ABR,LOWL-LEMD
ABR402,ABR,402,ABR,LEMD-EDDV
ABR403,ABR,403,ABR,EDDV-LEMD
ABR405J,ABR,405J,ABR,EIDW-LTBJ
ABR406J,ABR,406J,ABR,LTBJ-EIDW
ABR407,ABR,407,ABR,EIDW-LBBG
ABR407J,ABR,407J,ABR,EIDW-LBBG
ABR408,ABR,408,ABR,LBBG-EIDW
ABR408J,ABR,408J,ABR,LOWS-EIDW
ABR409J,ABR,409J,ABR,EIDW-LEPA
ABR411J,ABR,411J,ABR,EIDW-LIPX
ABR412,ABR,412,ABR,EIDW-ESSA
ABR412J,ABR,412J,ABR,LOWS-EIDW
ABR413,ABR,413,ABR,EIDW-LTBS
ABR413J,ABR,413J,ABR,EIDW-LTBS
ABR414,ABR,414,ABR,LTBS-EIDW
ABR414J,ABR,414J,ABR,LTBS-EIDW
ABR415J,ABR,415J,ABR,EIDW-LERS
ABR416J,ABR,416J,ABR,LIMF-EIDW
ABR418J,ABR,418J,ABR,LOWS-EIDW
ABR419J,ABR,419J,ABR,EIDW-LIPX
ABR420,ABR,420,ABR,LIMC-LEBL
ABR420J,ABR,420J,ABR,LIPX-EIDW
ABR421,ABR,421,ABR,LEBL-LIMC
ABR4211,ABR,4211,ABR,EDDS-EDDP
ABR4212,ABR,4212,ABR,EDDP-EDDS
ABR421J,ABR,421J,ABR,EIDW-LTBJ
ABR423,ABR,423,ABR,LIMC-EDDK
ABR423J,ABR,423J,ABR,EIDW-LDDU
ABR424,ABR,424,ABR,EDDK-LIMC
ABR425,ABR,425,ABR,LIMC-EBLG
ABR426,ABR,426,ABR,EBLG-LIMC
ABR431,ABR,431,ABR,EIDW-LFLB
ABR431J,ABR,431J,ABR,EIDW-LIRN
ABR432,ABR,432,ABR,LIRN-EIDW
ABR432J,ABR,432J,ABR,LIRN-EIDW
ABR4341,ABR,4341,ABR,EDDK-EGNX
ABR434J,ABR,434J,ABR,LOWS-EIDW
ABR436,ABR,436,ABR,EDDN-EDDW
ABR437J,ABR,437J,ABR,LFPG-EGPH
ABR440,ABR,440,ABR,LEMD-EGNX
ABR441,ABR,441,ABR,EGNX-LEBL
ABR4418,ABR,4418,ABR,FAOR-HKJK
ABR4419,ABR,4419,ABR,HKJK-OMDW
ABR442,ABR,442,ABR,LEBL-EDDK
ABR4420,ABR,4420,ABR,OMDW-HKJK
ABR4421,ABR,4421,ABR,HKJK-FAOR
ABR443,ABR,443,ABR,EDDK-LEMD
ABR444,ABR,444,ABR,LEMD-EDDK
ABR446,ABR,446,ABR,EBLG-LEMD
ABR447,ABR,447,ABR,LEMD-EBLG
ABR4546,ABR,4546,ABR,EBLG-EDDV
ABR455J,ABR,455J,ABR,EIDW-LTBJ
ABR457J,ABR,457J,ABR,EIDW-LTBJ
ABR458,ABR,458,ABR,LEMH-EIDW
ABR458J,ABR,458J,ABR,LTBJ-EIDW
ABR45T,ABR,45T,ABR,LIMC-EDDK
ABR4646,ABR,4646,ABR,EDDV-EBLG
ABR467,ABR,467,ABR,LFPG-EDDP
ABR468,ABR,468,ABR,EDDV-LIMC
ABR469,ABR,469,ABR,LIMC-EDDV
ABR470,ABR,470,ABR,EDDP-LFPG
ABR471,ABR,471,ABR,LFPG-LEMD
ABR472,ABR,472,ABR,LEMD-LIMC
ABR473,ABR,473,ABR,LIMC-EDDP
ABR474,ABR,474,ABR,LOWS-EDDH
ABR477,ABR,477,ABR,EIDW-LYBE-LLBG
ABR479,ABR,479,ABR,EICK-LYBE-LLBG
ABR480,ABR,480,ABR,EDDK-EGNX
ABR481,ABR,481,ABR,EGNX-EDDK
ABR482,ABR,482,ABR,EDDK-EPKT
ABR483,ABR,483,ABR,EPKT-EDDK
ABR4853,ABR,4853,ABR,LJLJ-EDDP
ABR486J,ABR,486J,ABR,LDSP-EIDW
ABR487J,ABR,487J,ABR,LDSP-EIDW
ABR490,ABR,490,ABR,EIDW-LFML
ABR4903,ABR,4903,ABR,LFSB-EDDP
ABR491,ABR,491,ABR,EINN-EGBB
ABR4910,ABR,4910,ABR,EKCH-EBLG
ABR4915,ABR,4915,ABR,LFSB-LIMC
ABR4937,ABR,4937,ABR,EBLG-EDDM
ABR494,ABR,494,ABR,LEVD-EIDW
ABR4945,ABR,4945,ABR,LIMC-EBLG
ABR495,ABR,495,ABR,EIDW-LEVD
ABR496,ABR,496,ABR,LEVC-EIDW
ABR497,ABR,497,ABR,EIDW-LEVC
ABR4CE,ABR,4CE,ABR,LFMN-LFPG
