Callsign,Code,Number,AirlineCode,AirportCodes
ACL1153,ACL,1153,ACL,TNCC-SKBO
ACL1154,ACL,1154,ACL,SKBO-TNCC
ACL1155,ACL,1155,ACL,MPTO-SKBO
ACL1156,ACL,1156,ACL,SKBO-MROC-MPTO
ACL1158,ACL,1158,ACL,SKBO-SPJC
ACL1163,ACL,1163,ACL,SVMI-SKBO
ACL1164,ACL,1164,ACL,SKBO-SVMI
ACL1165,ACL,1165,ACL,KMIA-SKBO
ACL1166,ACL,1166,ACL,SKBO-KMIA
ACL1169,ACL,1169,ACL,SKCG-SKBO
ACL1170,ACL,1170,ACL,SKBO-SKCG
ACL1171,ACL,1171,ACL,SEQM-SKBO
ACL1172,ACL,1172,ACL,SKBO-SEQM
ACL5139,ACL,5139,ACL,SLVR-SKBO
ACL864,ACL,864,ACL,SKBO-TNCC
ACL865,ACL,865,ACL,TNCC-SKBO
