Callsign,Code,Number,AirlineCode,AirportCodes
ADY10,ADY,10,ADY,OMAA-OBBI
ADY101,ADY,101,ADY,OMAA-VABB
ADY102,ADY,102,ADY,VABB-OMAA
ADY11,ADY,11,ADY,OBBI-OMAA
ADY111,ADY,111,ADY,OMAA-VAAH
ADY112,ADY,112,ADY,VAAH-OMAA
ADY121,ADY,121,ADY,OMAA-VOCL
ADY122,ADY,122,ADY,VOCL-OMAA
ADY123,ADY,123,ADY,OMAA-VOCL
ADY124,ADY,124,ADY,VOCL-OMAA
ADY125,ADY,125,ADY,OMAA-VOCI
ADY126,ADY,126,ADY,VOCI-OMAA
ADY127,ADY,127,ADY,OMAA-VOCI
ADY128,ADY,128,ADY,VOCI-OMAA
ADY131,ADY,131,ADY,OMAA-VOTV
ADY132,ADY,132,ADY,VOTV-OMAA
ADY133,ADY,133,ADY,OMAA-VOTV
ADY134,ADY,134,ADY,VOTV-OMAA
ADY135,ADY,135,ADY,OMAA-VOTV
ADY136,ADY,136,ADY,VOTV-OMAA
ADY141,ADY,141,ADY,OMAA-VOMM
ADY142,ADY,142,ADY,VOMM-OMAA
ADY143,ADY,143,ADY,OMAA-VOMM
ADY144,ADY,144,ADY,VOMM-OMAA
ADY15,ADY,15,ADY,OMAA-OBBI
ADY16,ADY,16,ADY,OBBI-OMAA
ADY161,ADY,161,ADY,OMAA-VIDP
ADY1610,ADY,1610,ADY,OMAA-VNKT
ADY1611,ADY,1611,ADY,VNKT-OMAA
ADY1612,ADY,1612,ADY,OMAA-VNKT
ADY1613,ADY,1613,ADY,VNKT-OMAA
ADY162,ADY,162,ADY,VIDP-OMAA
ADY166,ADY,166,ADY,OMAA-VECC
ADY167,ADY,167,ADY,VECC-OMAA
ADY168,ADY,168,ADY,OMAA-VECC
ADY169,ADY,169,ADY,VECC-OMAA
ADY17,ADY,17,ADY,OMAA-OBBI
ADY174,ADY,174,ADY,OMAA-VOCI
ADY175,ADY,175,ADY,VOCI-OMAA
ADY18,ADY,18,ADY,OBBI-OMAA
ADY181,ADY,181,ADY,OMAA-VOCL
ADY182,ADY,182,ADY,VOCL-OMAA
ADY183,ADY,183,ADY,OMAA-VOCI
ADY184,ADY,184,ADY,VOCI-OMAA
ADY197,ADY,197,ADY,OMAA-VCBI
ADY198,ADY,198,ADY,VCBI-OMAA
ADY20,ADY,20,ADY,OMAA-OKKK
ADY200,ADY,200,ADY,OMAA-VOCL
ADY201,ADY,201,ADY,VOCL-OMAA
ADY203,ADY,203,ADY,OMAA-VOCL
ADY204,ADY,204,ADY,VOCL-OMAA
ADY21,ADY,21,ADY,OKKK-OMAA
ADY215,ADY,215,ADY,OMAA-OPMT
ADY22,ADY,22,ADY,OMAA-OKKK
ADY23,ADY,23,ADY,OKKK-OMAA
ADY248,ADY,248,ADY,OMAA-VOTV
ADY249,ADY,249,ADY,VOTV-OMAA
ADY251,ADY,251,ADY,OMAA-OOMS
ADY252,ADY,252,ADY,OOMS-OMAA
ADY253,ADY,253,ADY,OMAA-OOMS
ADY254,ADY,254,ADY,OOMS-OMAA
ADY263,ADY,263,ADY,OMAA-OOSA
ADY264,ADY,264,ADY,OOSA-OMAA
ADY267,ADY,267,ADY,OMAA-OOSA
ADY268,ADY,268,ADY,OOSA-OMAA
ADY311,ADY,311,ADY,OMAA-OPST
ADY312,ADY,312,ADY,OPST-OMAA
ADY315,ADY,315,ADY,OMAA-OPFA
ADY316,ADY,316,ADY,OPFA-OMAA
ADY32,ADY,32,ADY,OMAA-OJAI
ADY33,ADY,33,ADY,OJAI-OMAA
ADY335,ADY,335,ADY,OMAA-OPMT
ADY336,ADY,336,ADY,OPMT-OMAA
ADY361,ADY,361,ADY,OMAA-LTFJ
ADY362,ADY,362,ADY,LTFJ-OMAA
ADY363,ADY,363,ADY,OMAA-LTFJ
ADY364,ADY,364,ADY,LTFJ-OMAA
ADY371,ADY,371,ADY,OMAA-LTCG
ADY372,ADY,372,ADY,LTCG-OMAA
ADY373,ADY,373,ADY,OMAA-LTCG
ADY374,ADY,374,ADY,LTCG-OMAA
ADY401,ADY,401,ADY,OMAA-HEBA
ADY402,ADY,402,ADY,HEBA-OMAA
ADY403,ADY,403,ADY,OMAA-HEBA
ADY404,ADY,404,ADY,HEBA-OMAA
ADY406,ADY,406,ADY,HEBA-OMAA
ADY413,ADY,413,ADY,OMAA-HESG
ADY414,ADY,414,ADY,HESG-OMAA
ADY421,ADY,421,ADY,HECA-OMAA
ADY422,ADY,422,ADY,OMAA-HECA
ADY423,ADY,423,ADY,HECA-OMAA
ADY424,ADY,424,ADY,OMAA-HECA
ADY425,ADY,425,ADY,HECA-OMAA
ADY427,ADY,427,ADY,HECA-OMAA
ADY428,ADY,428,ADY,OMAA-HECA
ADY429,ADY,429,ADY,HECA-OMAA
ADY43,ADY,43,ADY,OMAA-VNKT
ADY431,ADY,431,ADY,OMAA-HECA
ADY432,ADY,432,ADY,HECA-OMAA
ADY433,ADY,433,ADY,OMAA-HECA
ADY434,ADY,434,ADY,HECA-OMAA
ADY44,ADY,44,ADY,VNKT-OMAA
ADY441,ADY,441,ADY,OMAA-UDYZ
ADY442,ADY,442,ADY,UDYZ-OMAA
ADY45,ADY,45,ADY,OMAA-VNKT
ADY450,ADY,450,ADY,OMAA-OLBA
ADY451,ADY,451,ADY,OLBA-OMAA
ADY452,ADY,452,ADY,OMAA-OLBA
ADY453,ADY,453,ADY,OLBA-OMAA
ADY455,ADY,455,ADY,OLBA-OMAA
ADY46,ADY,46,ADY,VNKT-OMAA
ADY461,ADY,461,ADY,OMAA-VCBI
ADY462,ADY,462,ADY,VCBI-OMAA
ADY476,ADY,476,ADY,OMAA-OYSQ
ADY477,ADY,477,ADY,OYSQ-OMAA
ADY513,ADY,513,ADY,OMAA-HSSS
ADY514,ADY,514,ADY,HSSS-OMAA
ADY523,ADY,523,ADY,OMAA-OIIE
ADY525,ADY,525,ADY,OMAA-OIIE-OMAA
ADY526,ADY,526,ADY,OIIE-OMAA
ADY550,ADY,550,ADY,OMAA-UDYZ
ADY551,ADY,551,ADY,UDYZ-OMAA
ADY605,ADY,605,ADY,LQSA-OMAA
ADY61,ADY,61,ADY,OMAA-VGEG
ADY610,ADY,610,ADY,OMAA-LQSA
ADY611,ADY,611,ADY,LQSA-OMAA
ADY62,ADY,62,ADY,VGEG-OMAA
ADY63,ADY,63,ADY,OMAA-VGHS
ADY64,ADY,64,ADY,VGHS-OMAA
ADY690,ADY,690,ADY,OMAA-UGTB
ADY691,ADY,691,ADY,UGTB-OMAA
ADY708,ADY,708,ADY,OMAA-VCBI
ADY709,ADY,709,ADY,VCBI-OMAA
ADY714,ADY,714,ADY,OMAA-UGTB
ADY715,ADY,715,ADY,UGTB-OMAA
ADY716,ADY,716,ADY,OMAA-UGTB
ADY717,ADY,717,ADY,OMAA-UGTB
ADY718,ADY,718,ADY,UGTB-OMAA
ADY730,ADY,730,ADY,OMAA-UBBB
ADY731,ADY,731,ADY,UBBB-OMAA
ADY750,ADY,750,ADY,OMAA-UUDD
ADY751,ADY,751,ADY,UUDD-OMAA
ADY752,ADY,752,ADY,OMAA-UUDD
ADY753,ADY,753,ADY,UUDD-OMAA
ADY756,ADY,756,ADY,OMAA-USSS
ADY757,ADY,757,ADY,USSS-OMAA
ADY76,ADY,76,ADY,OMAA-ORBI
ADY763,ADY,763,ADY,OMAA-UTTT
ADY764,ADY,764,ADY,UTTT-OMAA
ADY77,ADY,77,ADY,ORBI-OMAA
ADY781,ADY,781,ADY,OMAA-UAAA
ADY782,ADY,782,ADY,UAAA-OMAA
ADY788,ADY,788,ADY,OMAA-UWKD
ADY789,ADY,789,ADY,UWKD-OMAA
ADY991,ADY,991,ADY,OMAA-OMSJ
ADY992,ADY,992,ADY,OMSJ-OMAA
ADY993,ADY,993,ADY,OMAA-OMSJ
ADY994,ADY,994,ADY,OMSJ-OMAA
ADY997,ADY,997,ADY,OMAA-OMSJ
ADY998,ADY,998,ADY,OMSJ-OMAA
